Actual Solution,Predicted Solution,Result,Similarity,Similarity (Non Case-Sensitive)
ZVnOu90y,,0,0.0,0.0
1I2TN4r,,0,0.0,0.0
FBQQ,,0,0.0,0.0
Ld8C,,0,0.0,0.0
YYWK,,0,0.0,0.0
uYG7nStDN,,0,0.0,0.0
KrJ66v9c,,0,0.0,0.0
7bqC,,0,0.0,0.0
iROC,,0,0.0,0.0
OtcWZ,,0,0.0,0.0
DRPD,,0,0.0,0.0
c7syF45,,0,0.0,0.0
I0sptI,,0,0.0,0.0
fOdpm02,,0,0.0,0.0
5SgG,,0,0.0,0.0
WD4K,wQK2,0,0.25,0.5
Q4rtfIi,QfRtli,0,0.46153846153846156,0.6153846153846154
YGSH,YCASH,0,0.6666666666666666,0.6666666666666666
RXAV,3BA,0,0.2857142857142857,0.2857142857142857
WJvY,wAVY,0,0.25,0.75
BJW7,BIW7,0,0.75,0.75
3BsT3DD,3BS73DD,0,0.7142857142857143,0.8571428571428571
swiFbYnwB,sWiFbymWb,0,0.4444444444444444,0.8888888888888888
d08jI2vHl,d0shvVH/,0,0.47058823529411764,0.47058823529411764
CECK,CECK,1,1.0,1.0
VQ4A4,NQA4,0,0.6666666666666666,0.6666666666666666
KnAr,KiAR,0,0.5,0.75
37lp6,3kpoo,0,0.4,0.4
8yiT,8Vu7T,0,0.4444444444444444,0.4444444444444444
F2fXaJ,F2XA0J,0,0.6666666666666666,0.8333333333333334
552Jp1Zgq,552AbGa,0,0.375,0.5
a5jXb,a5jXb,1,1.0,1.0
ERq5QRzG,EROSORZG,0,0.5,0.625
G2AM,G2aM,0,0.75,1.0
OKYC,g3nCyT4K,0,0.16666666666666666,0.16666666666666666
hLwWQ,hLWWg,0,0.6,0.8
FLBD,lBD,0,0.5714285714285714,0.8571428571428571
bXCB,bxBcB,0,0.4444444444444444,0.8888888888888888
xFxxJ4JA,mYXX4YA,0,0.26666666666666666,0.5333333333333333
PRnU,PRNU,0,0.75,1.0
QuwhI,quAM,0,0.2222222222222222,0.4444444444444444
N0OX,N00X,0,0.75,0.75
vEVTmNM,VEdmNM,0,0.6153846153846154,0.7692307692307693
KH6hjl,KH6hv,0,0.7272727272727273,0.7272727272727273
dX1sp,d7>Sp,0,0.4,0.6
dUhEIrZb,BxElIZb,0,0.5333333333333333,0.5333333333333333
qycR88f,qycR88f,1,1.0,1.0
DQeU0uqG,D0eLwG,0,0.42857142857142855,0.42857142857142855
WvHhI,vY3hi,0,0.4,0.6
VkQIYB4Yvh,vKONB4yWh,0,0.3157894736842105,0.631578947368421
BCBpjTwEci,v09Jtv8ci,0,0.21052631578947367,0.42105263157894735
T4CF,TACF,0,0.75,0.75
7KZg,7kzg,0,0.5,1.0
THDY,THDY,1,1.0,1.0
LvhLNVspx,vhlNZspx,0,0.7058823529411765,0.8235294117647058
A2VdzF,A2Vo1F,0,0.6666666666666666,0.6666666666666666
Em3QTRnD,Em3QRnD,0,0.9333333333333333,0.9333333333333333
3OboiP4N,3ObaP4N,0,0.8,0.8
DJIS,h4t5apphire,0,0.0,0.13333333333333333
bxoj,bXOj,0,0.5,1.0
wMfA,wmfA,0,0.75,1.0
Em752,E21752,0,0.7272727272727273,0.7272727272727273
olhm3J3v2l,0hm33V21,0,0.5555555555555556,0.6666666666666666
oNOhz,T2h0bsf1e9k7T,0,0.1111111111111111,0.1111111111111111
Tq1qpYz,T9L95YZ,0,0.2857142857142857,0.42857142857142855
5nTBJXxH6,oN76hAw9,0,0.11764705882352941,0.23529411764705882
l0aZ,0az,0,0.5714285714285714,0.8571428571428571
01G6I,01461,0,0.6,0.6
J9h2D,Jqh2D,0,0.8,0.8
ENevr5s9Y5,FAvs5sad5,0,0.42105263157894735,0.42105263157894735
DU414m1dhX,DU44mydhx,0,0.7368421052631579,0.8421052631578947
FZ3p0ZHi,FZ3p0zHi,0,0.875,1.0
zwgCyrm,ZWGDYTN,0,0.0,0.5714285714285714
DV5D,DVS0,0,0.5,0.5
5DVR,BDVR,0,0.75,0.75
0dvanOnBt,CbD ASNbT,0,0.0,0.5555555555555556
w7NXT,W>1+T,0,0.2,0.4
Pa0lFH3,Pa0lFH,0,0.9230769230769231,0.9230769230769231
bIn85R,bIn85R,1,1.0,1.0
5l5QliX,5750uix,0,0.42857142857142855,0.5714285714285714
DWhwv,DwhwW,0,0.6,0.8
YYgiEj,YVGSEJ,0,0.3333333333333333,0.6666666666666666
YORN,Xy2D5,0,0.0,0.2222222222222222
W9JMO2h,w91mO2h,0,0.5714285714285714,0.8571428571428571
1TEOA9,kEOA9,0,0.7272727272727273,0.7272727272727273
B5W5,B5E559,0,0.6,0.6
PU0OFW,PU00FW,0,0.8333333333333334,0.8333333333333334
Lmnir,Lmnir,1,1.0,1.0
eLfu7IJB,eIuYTB,0,0.42857142857142855,0.42857142857142855
aaJF,aafF,0,0.75,0.75
bJ1bs,bNn65,0,0.2,0.2
5FfPNkS,J5FipNKs,0,0.4,0.8
A9umwW2,a9umzW2,0,0.7142857142857143,0.8571428571428571
Vrq7r,Vzaor,0,0.4,0.4
wKIA,WKIA,0,0.75,1.0
ptwO,aTWO,0,0.25,0.75
4AYM,8AYM,0,0.75,0.75
VtkZ,vstimKZ,0,0.36363636363636365,0.7272727272727273
TOxNqI,dXioT1,0,0.16666666666666666,0.16666666666666666
FR3U,Fz7BUa56,0,0.3333333333333333,0.3333333333333333
LaKn,5akn,0,0.5,0.75
XXqj,Xxqj,0,0.75,1.0
s388w,s388w,1,1.0,1.0
K6s88,KkD88,0,0.6,0.6
ljRpBpstZZ,jRpRpostZ,0,0.7368421052631579,0.7368421052631579
QPhbc1z,QphbClz,0,0.5714285714285714,0.8571428571428571
cThV1,cTWN1,0,0.6,0.6
Jr58C,Jr58c,0,0.8,1.0
Xa8s3,xa8s3,0,0.8,1.0
0XG0,oXG0,0,0.75,0.75
FUnY8,FUn1148,0,0.6666666666666666,0.6666666666666666
WJB04,WJBOA,0,0.6,0.6
CBOa9,cBOa9,0,0.8,1.0
Iqkw9,VgkW9,0,0.4,0.6
jJlCP,J1CA,0,0.4444444444444444,0.4444444444444444
VMggu,m0 (;nsD,0,0.0,0.15384615384615385
RGER,poner,0,0.0,0.4444444444444444
rZYbt,RyBT,0,0.0,0.8888888888888888
FD9W4,FD9NA,0,0.6,0.6
UKF7,UKF7,1,1.0,1.0
XJnmlK,Xwnf5,0,0.36363636363636365,0.36363636363636365
fq4occDU,fQAOCCOU,0,0.25,0.75
