Actual Solution,Predicted Solution,Result,Similarity,Similarity (Non Case-Sensitive)
681RHPD15,REVEAL,0,0.13333333333333333,0.13333333333333333
7N732I0G8,TmT3ZlUax,0,0.1111111111111111,0.1111111111111111
QJO2LIKTU,QQQQ,0,0.15384615384615385,0.15384615384615385
AAI7PWL5Z,7PP5Z,0,0.5714285714285714,0.5714285714285714
8NNYBLA19,GZ7Z4Z .,0,0.0,0.0
R9DDWJA9Y,Movie Day,0,0.1111111111111111,0.3333333333333333
6R12L1DE2,EODING,0,0.13333333333333333,0.13333333333333333
73RIS7TID,88b dP 888,0,0.0,0.10526315789473684
K6UWWAV1Q,New beginnings,0,0.0,0.08695652173913043
5OOCCMTFO,88888P,0,0.0,0.0
6X5TOHSMP,Enabling,0,0.0,0.0
G1HDINXJE,glitchy razor,0,0.0,0.18181818181818182
N25KQZR19,WELCOME,0,0.0,0.0
BWU2LZLRD,twz36wz,0,0.0,0.25
K7SVFMZR6,Y8,0,0.0,0.0
FD53IM6TQ,FZX321C,0,0.25,0.25
FYT5AZ9PU,XJZZZZZZZZZXC,0,0.09090909090909091,0.09090909090909091
LZKS8F5B5,LIKELY CORRECT,0,0.17391304347826086,0.17391304347826086
81B89NH77,82L30666.,0,0.1111111111111111,0.1111111111111111
JTUINAW0Z,ITqgylLZc,0,0.2222222222222222,0.2222222222222222
TG9UKCDJ0,Y8P,0,0.0,0.0
18IUS1DCY,URZYC,0,0.2857142857142857,0.2857142857142857
940T2MV52,s%S,0,0.0,0.0
FOL6L21P8,FzzEzzEzzEzz.,0,0.09090909090909091,0.09090909090909091
5NBA46DXQ,Y8,0,0.0,0.0
G1T1Y272N,CGZJJZXC,0,0.11764705882352941,0.11764705882352941
C2F5TROB1,COMPUTER,0,0.35294117647058826,0.35294117647058826
7DNF3PEJH,Welcome Home.,0,0.09090909090909091,0.18181818181818182
XH75N228S,88888888,0,0.11764705882352941,0.11764705882352941
3HVO188NO,IEMBGBWZ,0,0.0,0.0
8QSXCC7G9,gggj88aaad88b,0,0.09090909090909091,0.09090909090909091
NBCJO5WD6,Imagine,0,0.0,0.125
XEBZE2VER,XWZZZOIH,0,0.23529411764705882,0.23529411764705882
K2JM4VWHG,KZ2AWMLZ,0,0.35294117647058826,0.35294117647058826
5TE58MLGD,Winterlight,0,0.0,0.4
GFP8YNC10,gqjydyqms,0,0.0,0.2222222222222222
865YPBZNW,88,0,0.18181818181818182,0.18181818181818182
MT8PGH31G,"Y8bo,,,0880",0,0.1,0.1
WQPPQE6OY,NNPZJLE,0,0.25,0.25
OF39RIKAL,8b,0,0.0,0.0
AO0GW4FSO,Zwiggles.,0,0.0,0.2222222222222222
VS2OEOCO7,UGGAFNEZ,0,0.11764705882352941,0.11764705882352941
YP4LDMSZ3,iyizigiz,0,0.0,0.23529411764705882
7B0YMGJ9S,The eight year,0,0.0,0.08695652173913043
MHDUPT6FF,wintertime,0,0.0,0.10526315789473684
LJOJ0Y1BZ,AMV,0,0.0,0.0
XNOUOJC85,xyzzyz,0,0.0,0.13333333333333333
RINR23RA5,233335,0,0.4,0.4
HUAYB89IU,"AAAAAAAA
99999999",0,0.15384615384615385,0.15384615384615385
3JM2AZ94T,4444444444,0,0.10526315789473684,0.10526315789473684
Y47SCJ6CU,Y8aa8P 88aaa88 Y88888b. 88baa,0,0.05263157894736842,0.05263157894736842
