Actual Solution,Predicted Solution,Result,Similarity,Similarity (Non Case-Sensitive)
XEeKE7Z,XECeKeN7,0,0.6666666666666666,0.8
fzEd4Hxb,7Ed4Ht6,0,0.5333333333333333,0.5333333333333333
lLwD8,ILNDS8,0,0.5454545454545454,0.5454545454545454
KMUR,KMUR,1,1.0,1.0
2VH5,2VH5,1,1.0,1.0
6OHN,60wW,0,0.25,0.25
OpnSunju,OpNSun2i,0,0.625,0.75
Jycab8N,MAb6oPN,0,0.2857142857142857,0.42857142857142855
7GDnEb,bENDgG>,0,0.15384615384615385,0.15384615384615385
lpe1yR8XX,pCETyR8M4,0,0.4444444444444444,0.5555555555555556
O1H1gxG,QHV8xG,0,0.46153846153846156,0.46153846153846156
CkLwrDK,cAWrDK,0,0.46153846153846156,0.7692307692307693
ZXEB,ZXE3B,0,0.8888888888888888,0.8888888888888888
Pr3llkv,pR3VkV,0,0.3076923076923077,0.7692307692307693
EK6N,EKGW,0,0.5,0.5
Kc0aAjc,KC0A4JC,0,0.42857142857142855,0.8571428571428571
Lw4rX,IwANx,0,0.2,0.4
PFLG,Pf1LG,0,0.6666666666666666,0.8888888888888888
XVinvye,XVinVye,0,0.8571428571428571,1.0
SJSN,SGcA4,0,0.2222222222222222,0.2222222222222222
WJXZZhxSL,YXVNhXSL,0,0.47058823529411764,0.5882352941176471
Qia4,QiA4,0,0.75,1.0
dfeSx4EX,qfEsXEk,0,0.4,0.6666666666666666
PEV51,PEL51,0,0.8,0.8
M75Y,Wf7kX,0,0.2222222222222222,0.2222222222222222
0OvUX35k,00vX35k,0,0.8,0.8
ARKA,Aa3KRp,0,0.4,0.4
rOtrfSHfpI,rOTvrSHpP,0,0.631578947368421,0.7368421052631579
BJBM,BCYM3,0,0.4444444444444444,0.4444444444444444
MCMW,MCMW,1,1.0,1.0
6CXV,6CXV,1,1.0,1.0
CMMJ,C3cAm7,0,0.2,0.4
pplL2gXf,ppIL9xf,0,0.5333333333333333,0.6666666666666666
2UXF1H,2UX3H,0,0.7272727272727273,0.7272727272727273
ujFux,Uj3Ux,0,0.4,0.8
7ADe3L,1ADe3l,0,0.6666666666666666,0.8333333333333334
H4M0o,H4M00,0,0.8,0.8
woxy,WoY4,0,0.25,0.75
54df,5ADfF7,0,0.4,0.6
TA3JL,TABJ,0,0.6666666666666666,0.6666666666666666
W02Zf,W02zFf,0,0.7272727272727273,0.9090909090909091
6A5W1kNU,6A3wMK0U,0,0.375,0.625
yYQm3,yPQn3,0,0.6,0.6
8XOWn,8XOwz2,0,0.5454545454545454,0.7272727272727273
tFEMIPhetP,EEM1pntP,0,0.4444444444444444,0.5555555555555556
kmTj,kmrj,0,0.75,0.75
WLCMWW,WCMWMW,0,0.8333333333333334,0.8333333333333334
nvNKBZ,wNKBL,0,0.5454545454545454,0.5454545454545454
397sH,3Q7SH1,0,0.5454545454545454,0.7272727272727273
jQaAp,JQ4AP,0,0.4,0.8
SmPS,smPS,0,0.75,1.0
2sIDAY5VI,2SRA547,0,0.375,0.5
2MmtFkc6A,2mmFkCcA,0,0.7058823529411765,0.8235294117647058
kpC6aOiZ,kPC6aOiI,0,0.75,0.875
AQKH,A0kH,0,0.5,0.75
fnkT,f1kT,0,0.75,0.75
8NBA,8NBA4,0,0.8888888888888888,0.8888888888888888
aj2lu,a2vu,0,0.6666666666666666,0.6666666666666666
8PYAh,8PYAh,1,1.0,1.0
qPiWE3M9A,qi8WE3M9A,0,0.8888888888888888,0.8888888888888888
15Xx6,15XfH6,0,0.7272727272727273,0.7272727272727273
gfOCB,8fOCB,0,0.8,0.8
KXpp,k4PpQ,0,0.2222222222222222,0.6666666666666666
BvbTIxi,BV6XHi,0,0.3076923076923077,0.46153846153846156
8qZRzA,8qZRLA,0,0.8333333333333334,0.8333333333333334
