Actual Solution,Predicted Solution,Result
1HVnL6,"1HVnL6
",0
FBEqqEv,"FBEΛqEN
",0
vZQMxTWBV,"LΩMXTwBV
",0
6KAHAVZm,"6KAHAvkm
",0
5R4M,"5R4M
",0
glBDv,"gBDv
",0
KhOOf,KhOof,0
rCEm,"rdm
",0
bOBF7AncK,"60BFAnCK7
",0
MN5H,"MACH
",0
OSYsj,"OsYsJ
",0
1tZb3BxJo,"1763BXJ0
",0
5YVmnBY,"5YVmnBy
",0
AHrJ,"AHrJ
",0
L1Qd4X,"LRddAx
",0
Mk6KDKzsys,"MM6KDZSYS
",0
WTXO,"wTxO
",0
wZs9N238,"Wzs9N238
",0
Qp1Cc4,"qP1cC4
",0
nbNP6,"XNP6
",0
j4WGX,"j4WNGX
",0
DQB6,"DalphaB6
",0
OfDo,"OfDO
",0
AkFxea,"AkFtea
",0
rSGjoOj,rSGooO,0
8z9JlJcY,"8z9Jk
",0
ylRTE,"LRE
",0
VCCZm,"VCczrm
",0
Vrd1,"Vrdrd1
",0
iz4OJuEZ,"AOJUE
",0
UHrJX6Kw,"UH+σKw
",0
2tgOv,"2TGOv
",0
tUcLG,"tuCZG
",0
rCoE94rvk,"rCOREg4rVk
",0
SjEhG,"SjEho
",0
nBlg2YhAo,"hBls2Yh0
",0
G88ISS,"G8lSS
",0
HkGZF,"HKGLF
",0
3BJQhON,"3BjφhON
",0
RnBTFQ8,"RMBTFPQ8
",0
aic8,"a.iG8
",0
MAtIe8E,"MATIE8E
",0
QXcgS16CYr,"excgS16cYr
",0
koUD,"k0uD
",0
PAJP,"PANP
",0
yq8V,"yq8V
",0
zD8YHGiT,"Z8Hgit
",0
NV3NzvEjd,"NV3NzVE
",0
A3zSVRF,"ABzSVrF
",0
ieYeo,"Vieo
",0
sgJv,"s8v
",0
rpW96NO,"pw96bvo
",0
PlW26C,"PW26C
",0
3JaZL8l4e,"3aZ8l4e
",0
QGw2,"QGW2
",0
hUdgqIaw,"nUdgqIaw
",0
Up3GOv,"UP3GOV
",0
E1NPR,"E4NR
",0
1mGAp,"YmGAp
",0
ELeEpa7,eEpa7EL,0
J4c0D2K,"4COD2K
",0
HIJB,WAJB,0
Dg11,"DG71
",0
MH7z,"MH72
",0
5F4LW,"5F4LW
",0
IHsBxfYuD,"IHSBXKwD
",0
mb4e,"mb4e
",0
Hv7ir,"HN7IK
",0
N4PK,"NAFK
",0
EKJY,"E7y
",0
ZL1O,"ZLvO
",0
doGWW,"dOGww
",0
vKJl,"VKJI
",0
qjNG,"ajNG
",0
uAsg,"uASg
",0
Pod0,PodA,0
NyhzI,"NyhzA
",0
5hFi,5hFi,1
eBoFl,"eBOA
",0
JS4BO04,"JS4B0o4
",0
ll6Gc0,"II6GXO
",0
oULo,"oULo
",0
Nx0cgoFT,"NoCgOFT
",0
Fmyib,"Kmiyib
",0
hIFijOJAC,"hIFigAC
",0
BVSW,"BVSW
",0
Po0fX,"POOfX
",0
SNYU,"SNYU
",0
cARqM9o,"CAR9M90
",0
fhMAKGq,"FHMakGQ
",0
PJmCUm,"Pvmcun
",0
rljxIMo,"rjXMo
",0
SUSF,"StaySafe
",0
drO6,aro,0
Y3ct0H7jg,Y3Cx07zj,0
1wVT,"kwVT
",0
ZZtpptuKa,zzptuk,0
s9ji1m,"s9;ilm
",0
DiON51ylQ,"Dion5ly1Q
",0
Ep6JqS,"EpσJqs
",0
Fv2mjSjGs,"Fv2mjSjGs
",0
Rw4VW,"RWXVW
",0
5RBB,"FBB
",0
npDyAlI,"hereIsIt
",0
7EER,"1EEr
",0
sivEvO,"SNEVO
",0
EPNK,EPALCS,0
QVFV,QvTixc0?,0
kXlfSJJ6,"kXASJ6
",0
CpVp,"RVP
",0
C0vBfrP,"c0vef rp
",0
IHO0k,"/H00k
",0
Ad25YTCQ,"Ad25yTCQ
",0
8A8G,"8A8G
",0
Z5RzwChp,"Z5RzwChp
",0
mvA5tHjI,"mvA5tHjI
",0
lnD2gJ,nD2g,0
SO7U9PW,"So7U9PW
",0
fdPu8,"fdpus8
",0
H65Y,"H65Y
",0
6rAY,"6rA1
",0
cdJLxr,"cdVLxr
",0
OWhMrR3V,"OwhMr3V
",0
5pxgJ3m,"5pXg3m
",0
JCT6,"JcT6
",0
fRtmmql2T,"fRAtm39k2T
",0
PZ3D,"PZD
",0
alClAZYwl,"a1CAZYw
",0
Okibcnu,"owkbcnu
",0
JB2lvon2o,"B^vo2n0
",0
Vs78H88gE,"VSpH88gE
",0
aucl,"auq
",0
