Actual Solution,Predicted Solution,Result,Similarity,Similarity (Non Case-Sensitive)
6IUy,6Lvy,0,0.5,0.5
46QY6,46QY6,1,1.0,1.0
pRIO,prO0,0,0.5,0.75
19e2G,19e2G,1,1.0,1.0
8D7A,8D7A,1,1.0,1.0
DTdD9G,D7dDgG,0,0.6666666666666666,0.6666666666666666
13bo7PvIBt,Z3orp1v8t,0,0.3157894736842105,0.3157894736842105
PyFiUPRQ,pyfUPR0,0,0.5333333333333333,0.8
JAxc7f2,Afc1f2,0,0.6153846153846154,0.6153846153846154
NL3Z,NL3Z,1,1.0,1.0
8EcAr,8eCAr,0,0.6,1.0
EavDl2,EAVDL2,0,0.5,1.0
VlphRij8,vVoKrj8,0,0.4,0.5333333333333333
XabSN820,xabsN82O,0,0.625,0.875
gf3iI,gf3k,0,0.6666666666666666,0.6666666666666666
zuOV,ZvoV,0,0.25,0.75
ix4bX9Ef4,iX4bX9ef4,0,0.7777777777777778,1.0
etJU8uDp1,eXju8UDnA,0,0.3333333333333333,0.6666666666666666
8aFlMkfXzk,Sorry I can't read CAPTCHA images.,0,0.045454545454545456,0.09090909090909091
OgE5OMdw,ogE50mdWTuHx,0,0.4,0.7
aj2lu,a2u,0,0.75,0.75
gEI5,GEN15,0,0.4444444444444444,0.6666666666666666
XCH2m,xCH2m,0,0.8,1.0
2UXF1H,pUXH2H,0,0.5,0.5
zVfq4sV,Zvfq4Sv,0,0.42857142857142855,1.0
rKgg6hzd,rK8o6hz-d,0,0.7058823529411765,0.7058823529411765
AuNS,A7M5,0,0.25,0.25
3I3N2JO0f0,3N2oo0f0,0,0.6666666666666666,0.7777777777777778
ujFux,uJ6xk,0,0.4,0.6
yYQm3,yQm3z,0,0.8,0.8
Yp4BY,V4kYb,0,0.2,0.4
TA3JL,TAB4L,0,0.6,0.6
6CXV,6CXV,1,1.0,1.0
6A5W1kNU,6Asw1KNU,0,0.625,0.875
pplL2gXf,pp1lgxf,0,0.6666666666666666,0.8
qugO12Pb,QUGO12PB,0,0.5,1.0
7ADe3L,1Ae3L,0,0.7272727272727273,0.7272727272727273
SwTRXZ,SwTRXz,0,0.8333333333333334,1.0
Rrh6Q4t,rh604t,0,0.7692307692307693,0.7692307692307693
W02Zf,wozf7,0,0.2,0.6
5y55NMWVkh,5d5M2Vh,0,0.5882352941176471,0.5882352941176471
kmTj,kmj,0,0.8571428571428571,0.8571428571428571
1OID,101D,0,0.5,0.5
8XOWn,8XOw2,0,0.6,0.8
EoXUDD,eQUDD,0,0.5454545454545454,0.7272727272727273
c3wdw,c3WdW,0,0.6,1.0
WLCMWW,WLCMNW,0,0.8333333333333334,0.8333333333333334
nvNKBZ,JNKBLZ,0,0.6666666666666666,0.6666666666666666
BTjhIc,BTjnC,0,0.5454545454545454,0.7272727272727273
397sH,B97SH,0,0.6,0.8
2sIDAY5VI,2SPA5VI,0,0.625,0.75
oSpevD8o,0SPeVD8O,0,0.5,0.875
SmPS,smPS,0,0.75,1.0
jQaAp,JQ4AP,0,0.4,0.8
tFEMIPhetP,eMpn3tP,0,0.35294117647058826,0.5882352941176471
H4M0o,H4M00O,0,0.7272727272727273,0.9090909090909091
o9lWO,0gXWO,0,0.4,0.4
GlYKVM,G1YkVM,0,0.6666666666666666,0.8333333333333334
MCMW,MCMW,1,1.0,1.0
rnOOAod,h00y0d,0,0.15384615384615385,0.15384615384615385
8vKe,8vKe,1,1.0,1.0
LMqP,Lq7p,0,0.5,0.75
NQ2F,NC02F,0,0.6666666666666666,0.6666666666666666
0AilUI,OAiL8,0,0.36363636363636365,0.5454545454545454
QiaUp3qv,qiap3qV,0,0.6666666666666666,0.9333333333333333
sAXP0U,SapoU,0,0.18181818181818182,0.7272727272727273
q8NPV,a8nPV,0,0.6,0.8
foY4,f0Y,0,0.5714285714285714,0.5714285714285714
JJVS,JVs7,0,0.5,0.75
2y4Fl,2L4F1,0,0.6,0.6
4KLh,4Kh9h,0,0.6666666666666666,0.6666666666666666
i9oH8nxe1,i90H8nxe1,0,0.8888888888888888,0.8888888888888888
GlfEmEZTy,GfmeTv,0,0.5333333333333333,0.6666666666666666
q6RLVEHt,96RLvEHTt,0,0.7058823529411765,0.8235294117647058
aoEd,a0Fd,0,0.5,0.5
hqbAVS,h0b4s,0,0.36363636363636365,0.5454545454545454
Dbak9,D9BAK9,0,0.36363636363636365,0.9090909090909091
6xoR,6XoR,0,0.75,1.0
IDbi5ZM,7b5ZM,0,0.6666666666666666,0.6666666666666666
5S4MC2V,5S4MC2V,1,1.0,1.0
f8bjSFy,f8bjsFY,0,0.7142857142857143,1.0
7Xbb,7xdb,0,0.5,0.75
2KoZWpQ,2k0Zwpr0,0,0.4,0.6666666666666666
kpwxPJe,k0wXPjE,0,0.42857142857142855,0.8571428571428571
8Q54V,80S4N,0,0.4,0.4
SS0y,SS0A,0,0.75,0.75
bkRcCTe,bkRCTe,0,0.9230769230769231,0.9230769230769231
JCYG,JCYG,1,1.0,1.0
59vgmjZp,59vgmjZP,0,0.875,1.0
pb2J,pB2v,0,0.5,0.75
XbNsx,XbNsX,0,0.8,1.0
3H3M,3hBM,0,0.5,0.75
rNGh0,rGho,0,0.6666666666666666,0.6666666666666666
bM5hMbqE,vM5hm6QE,0,0.5,0.75
87hwh,8A1hWh,0,0.5454545454545454,0.7272727272727273
hICC,h3cC,0,0.5,0.75
XPSBy,XPSBy,1,1.0,1.0
a6DOh,6DOh,0,0.8888888888888888,0.8888888888888888
My4vfNgH,MY4vfNgH,0,0.875,1.0
3qhCiVK,3qhCiLk,0,0.7142857142857143,0.8571428571428571
ubA9i7,UBA917,0,0.5,0.8333333333333334
qDuf3LHe,aDu3IH3e,0,0.625,0.625
m5HAoNy,m5H0N7Y,0,0.5714285714285714,0.7142857142857143
