Actual Solution,Predicted Solution
5Riv0BjzY,SRIVOBUZ
0zGJn,OZarp
wrNsq7SP,wNSa7SP
Q7HYmpN,q7hYmPn
gRvaR5,GrYArS5
2Y3gZM,2Y3gZM
Usinkt1tR,UsInKItR
DywXxJj,DyW+Xjj
A7M5Y3Zo,A7M5J3Z0
Xg33RNxh,X83RNVXh
0evFaD,OeVfAD
INZt,WmT
88ONkkQ,88ONYAKO
WHQiFMsjV,WHqFMSv
jxQYo,ixqyo
sS2Wx5,SS2WX5
sF5mLQ,Sf5mvic
sJdNsVhH,SJdnSVnhH
5xtW,5XtW
Sei9NFeC,Se1gNfEc
CAuIGBFUW,CMAGBFUN
v0A8M,V0A8M
jwSQl7N,WsQ17N
ZaH0,aH0
MPpbzUb,MPp6zUb
znbOa,zNboa
u0RHggs,U0RGGS
mgtf,m00tf
T9f4x,9f4x
MP5A,Mp5A
174CFY,17AC4
EkOkKq,EkOKkq
4MF5fgX,AWP5f6x
FLfj,F<t;j
vWklI5,Vwkl5
K5SfkR,k5fkR
i3AMBwZR8,i3AMBWZR8
8Z04,8Z04
6MMAWogLU,6MnIOgLU
bbxZ,bZXz
cQGv,CQG
8Z6EVZds,826EVeDS
wh93,whg3
nNlBpxb6,N1BPXv6
UB5A,UB5A
WN6HrVA,Wn6yrKA
yaY0,y4y0
KvP7LyIqt,KvsZ7yI9t
PQojbq32,pqOj6932
HhToT,HnCOT
iDq2,iDq2
lKHiQ14e8,khiqA4e8
HArbk,HArbk
WkXNreB7l,wkxnREB7
gACmTP,gACmTP
PaxTq,P4XTQ
irMtPzBJ,iRMTsZB
vLgU,V1gC
NGxy,NQXY
lW3W7,Iw3W7
oJUcwdq0,ojccwd9
OeFJhMUj,oEWHmuj
TOSD,WcEw2009
F5vyX,F5Vγ
D3Jr6,D3jN6
gRFLUFg,gRFlUCFg
UgefBrN,UsefBrN
DZXZ,DZX2
vyDz5,yOZ5
8Js6Zb,J5zB
K53E,K53E
ZNI9fRg,Zn19Fr0
JZdG,jzdG
71gM1BS,-t9m7BS
yfyef,Vryef
9ME6,9ME6
YwitW4l19V,Ywitw4179v
F9lEm,F9lEm
y8LifRQ,V8L1VRQ
s2hMBlQe,s24mB9e
TSEdh,TSEqh
2y0P0K6,2y0P0k6
YM4A,Y4NKA
xnAKFeH,X4K7CH
AYPcs,A7pCS
PTIy,PIN355
bbzwOl5,BBZW0<5
CREC,CRRC45
F8fIXU,F8fINU
aa01MQ,AaoMQ
HHpze3W,HPZEW
EaQSGuH,EaQsGH
6h0BhL,6HOBHL
waLVTzD,h4w7ZD
GWg14IGy,Gwg146A
ZFWE,ZNWE
T3jqYcS,F3i9YCS
bRwx,bRwx
qtAmBdJ,9tAmBdS
ZCuXd,yZ9wwxLOIy5
PvbVR,Pv3vR
MXR5,MXR5
p0QxOg,POQXOG
FNYQ,F1NyQ
vmAzI,Vm4z!
j29X2Z1j,129x2z41
C2v0zoDAdz,C2woz0dA
3GWP,sAWw
T6HM,T6IM
2qNXR,2qNxR
TM63Gqf,TM63CAj
ZV4SxS,Zv4Sr5
zwdtq7,Wdt9
RXB3,RV88
n4iYjqXWb,n4ivjxwvb
sWRVOo,SWrVOO
TCFK,TCFK3W7Q9F
yd4Q,yL4Q
qCer,Xer
KOBW,iGgOW?
bNAW9suIx,bNAw9suW
DBdCH,dbdch!
J6JY,JS7X
x4at9yxPn,K4ATOYKPN
YODD,y0dKt5
rEXKKZsL9,Fx4kzSL9
XEmn,xEm9
WfyPsv,WfjpSv
CyEjCO,cyEiCo
Zw4Od3m,Zn40d3m
6tovV,6OVV
33FF,3n5
1s4Go,15aGO
AXCplnQ,4xCplnQ
VqbNqw,V9bN9m
R2sIN7H,R2SNH
1xUNEi7Z,1XuRnF17z
8pxnY8k,8RXnygk
kv5mmCF,k5mmcF
sL07e6,sL07e6
IpVTuPw,IpXtupXw
W3T8,W3T8
KWNC,RWNC1420
kUrbL,KurBl
ArSq2ef,Arsq2ef
hmiD,H31D
DiG1d2ZMi,D1 griad2zmi
JM6luuW9,M0bUW9
HBYK,HBYK
vEcLJkX2z,WeCLwX2Z
W3vdg4fH,W7dg4sH
32XHFkU,32XH4U
i77KE5PUu6,i7E5pUc6
ZckB,ZCkB
DAWP,Danko005
bo6LQKIQ,b0qLqf1o
7zbw52Gj,7Zb52Gj
CHAP,CY4P
V2A6,V46
Zyvx,-yVx
KjQnMLI,KjQnMl1
oIpF,Opr4m
RXjiP,RxJip
OhRvZwp9U,JrVNnp9J
UArE5LsI6,UARe5VS16
HAFT7gJbo,HApTgY60
eoJfkMO,eOJfkMO
pAzFcvEL1,P4zFCvEU
ARC09lE,ARc09ne
AYy0mTok,A7yOmT0K
29Bn2,29B12
ubix64xRW,UbXa4RW
7mN0Gp2P,7mN0GP2P
KK5F,KWSP197
PqQD,p4pD
6t53,t653
KxZcX,K1Cx
aa23,a9g23
e4DjSM7,E4DJsM=>
