Actual Solution,Predicted Solution,Result,Similarity,Similarity (Non Case-Sensitive)
wKIA,wkiA,0,0.5,1.0
Vrq7r,V207r,0,0.6,0.6
K6s88,K6588,0,0.8,0.8
VtkZ,vtkZR,0,0.6666666666666666,0.8888888888888888
ptwO,rtWo,0,0.25,0.75
TOxNqI,p1q2o3,0,0.16666666666666666,0.16666666666666666
4AYM,AAVM,0,0.5,0.5
FR3U,F3R3,0,0.75,0.75
LaKn,Zakn,0,0.5,0.75
XXqj,Xxqj,0,0.75,1.0
s388w,S388W,0,0.6,1.0
ljRpBpstZZ,iRpdostz,0,0.4444444444444444,0.5555555555555556
QPhbc1z,OPHPbClZ,0,0.26666666666666666,0.6666666666666666
Jr58C,Jr58C,1,1.0,1.0
cThV1,CFrNl1,0,0.18181818181818182,0.36363636363636365
Xa8s3,xa8s3,0,0.8,1.0
0XG0,o^xG0,0,0.4444444444444444,0.6666666666666666
Iqkw9,19tKw9,0,0.36363636363636365,0.5454545454545454
WJB04,WJBDA,0,0.6,0.6
FUnY8,Fun1v8,0,0.5454545454545454,0.7272727272727273
CBOa9,cBOa9,0,0.8,1.0
jJlCP,jJ1Cq,0,0.6,0.6
VMggu,viooed,0,0.0,0.18181818181818182
RGER,RGER,1,1.0,1.0
fq4occDU,fq4oc0u,0,0.6666666666666666,0.8
UKF7,UKYT,0,0.5,0.5
xXx3x66,x+x3x66,0,0.8571428571428571,0.8571428571428571
Qn1kSuOR,Qm1ksuQR,0,0.625,0.75
rZYbt,RyBT,0,0.0,0.8888888888888888
a7X6V,876V,0,0.6666666666666666,0.6666666666666666
XJnmlK,Xnrrt,0,0.36363636363636365,0.36363636363636365
FD9W4,FD9NA,0,0.6,0.6
YYMY,X2Y-17-120Z,0,0.13333333333333333,0.13333333333333333
RN7G,RANG,0,0.75,0.75
Spia8,spa8,0,0.6666666666666666,0.8888888888888888
TolJk1O7,Tq1kJohn7,0,0.35294117647058826,0.35294117647058826
lHBm,KBm,0,0.5714285714285714,0.5714285714285714
3IB0v,31BOA,0,0.4,0.4
SHOK,stivz,0,0.0,0.2222222222222222
NSUxU,NSU*U,0,0.8,0.8
KYN4bqr,kKN4bqcr,0,0.8,0.8
y3lgS,V3lgs,0,0.6,0.8
IYWA,NYAH,0,0.5,0.5
GWIZG6,OldVG6,0,0.3333333333333333,0.3333333333333333
Hfx1uZ,H2xIUz,0,0.3333333333333333,0.6666666666666666
Y2hbwv0PV,Y2h6wv0pV,0,0.7777777777777778,0.8888888888888888
SJNjN,NVMJ,0,0.2222222222222222,0.2222222222222222
CQLTk,CQLT Leak,0,0.7142857142857143,0.7142857142857143
AQSS,ACBSTC,0,0.4,0.4
bOSu7nhsn,b0S1nzhSh,0,0.4444444444444444,0.5555555555555556
W321,W321,1,1.0,1.0
y39m,Y39m,0,0.75,1.0
nG8gM3,ngggM3,0,0.6666666666666666,0.8333333333333334
OO6F,o06f,0,0.25,0.75
agIZo7p1ne,agizozpine,0,0.6,0.8
XNWma,Blinkx,0,0.0,0.18181818181818182
mDwfnkUw,mDwellipseCiZ,0,0.2857142857142857,0.2857142857142857
AEVN,AEMN,0,0.75,0.75
4ZUNr0,4l-unr0,0,0.46153846153846156,0.7692307692307693
UujjxY,cuCisy,0,0.16666666666666666,0.3333333333333333
VpNp,VPN-P,0,0.4444444444444444,0.8888888888888888
fNqy7vl,fNvJwH,0,0.46153846153846156,0.46153846153846156
2MX8,2MYX8,0,0.8888888888888888,0.8888888888888888
THDY,THDY,1,1.0,1.0
Em3QTRnD,Em3O7RnD,0,0.75,0.75
01G6I,01&61,0,0.6,0.6
l0aZ,aZ,0,0.6666666666666666,0.6666666666666666
wMfA,wMf*A,0,0.8888888888888888,0.8888888888888888
5nTBJXxH6,nTBJCMFG,0,0.47058823529411764,0.47058823529411764
Tq1qpYz,T919^pYZ,0,0.5333333333333333,0.6666666666666666
ENevr5s9Y5,Fenvers5x5,0,0.5,0.6
DU414m1dhX,DU44mydhx,0,0.7368421052631579,0.8421052631578947
J9h2D,J9hYD,0,0.8,0.8
FZ3p0ZHi,FZ3p0zH,0,0.8,0.9333333333333333
w7NXT,w><v+tT,0,0.3333333333333333,0.3333333333333333
zwgCyrm,zUggYRaM,0,0.26666666666666666,0.6666666666666666
0dvanOnBt,dvnBt,0,0.7142857142857143,0.7142857142857143
5l5QliX,5750lix,0,0.5714285714285714,0.7142857142857143
DV5D,dVSD,0,0.25,0.75
bIn85R,bin85R,0,0.8333333333333334,1.0
DWhwv,DWHwW,0,0.6,0.8
Pa0lFH3,paolfH3,0,0.5714285714285714,0.8571428571428571
W9JMO2h,w91W02h,0,0.42857142857142855,0.5714285714285714
5DVR,EDVR,0,0.75,0.75
YORN,Tanks,0,0.0,0.2222222222222222
B5W5,B9WS,0,0.5,0.5
YYgiEj,yygSEJ,0,0.3333333333333333,0.8333333333333334
A9umwW2,A9um2W2,0,0.8571428571428571,0.8571428571428571
aaJF,exact6,0,0.2,0.2
5FfPNkS,5f5p5nks5,0,0.375,0.75
Lmnir,Lmnit,0,0.8,0.8
PU0OFW,PUOOW,0,0.7272727272727273,0.7272727272727273
yh8Ev2vXb,yh8EKYt6,0,0.47058823529411764,0.47058823529411764
1TEOA9,KEOA9,0,0.7272727272727273,0.7272727272727273
nshYOoTW,nshYOOTW,0,0.875,1.0
qoOt,qoot,0,0.75,1.0
vfOtb,v6tb,0,0.6666666666666666,0.6666666666666666
eLfu7IJB,eXu7PB,0,0.5714285714285714,0.5714285714285714
RQiAk,RoiAyk,0,0.7272727272727273,0.7272727272727273
frlgTLi,TPoTNv,0,0.15384615384615385,0.15384615384615385
kWz1TcC,mkwz1Tc,0,0.7142857142857143,0.8571428571428571
egX4qzDsT,e3vA7+s7,0,0.23529411764705882,0.23529411764705882
QRMA,QRMX,0,0.75,0.75
43PyUd5O,3pyua50,0,0.4,0.6666666666666666
7kWW,7kW,0,0.8571428571428571,0.8571428571428571
