Actual Solution,Predicted Solution,Result,Similarity,Similarity (Non Case-Sensitive)
a5jXb,a5jXb6,0,0.9090909090909091,0.9090909090909091
F2fXaJ,F2XdJ,0,0.7272727272727273,0.7272727272727273
KnAr,KRAR,0,0.5,0.75
OKYC,YXc?,0,0.25,0.5
hLwWQ,hNWQ,0,0.6666666666666666,0.6666666666666666
N0OX,NyOX,0,0.75,0.75
xFxxJ4JA,PrxV41a,0,0.26666666666666666,0.4
CECK,CHECK,0,0.8888888888888888,0.8888888888888888
bXCB,bXCB,1,1.0,1.0
FLBD,HLBD,0,0.75,0.75
VQ4A4,NQA4,0,0.6666666666666666,0.6666666666666666
qycR88f,qyCR88f,0,0.8571428571428571,1.0
DQeU0uqG,DOgoodG,0,0.26666666666666666,0.26666666666666666
VkQIYB4Yvh,KONS4YWH,0,0.2222222222222222,0.4444444444444444
dUhEIrZb,AUSEIZO,0,0.5333333333333333,0.5333333333333333
QuwhI,QU41,0,0.2222222222222222,0.4444444444444444
vEVTmNM,VeYmNM,0,0.6153846153846154,0.7692307692307693
dX1sp,dT/Sp,0,0.4,0.6
WvHhI,WHEEL,0,0.4,0.4
PRnU,PenU,0,0.75,0.75
KH6hjl,Km6H,0,0.4,0.6
A2VdzF,A2vdJF,0,0.6666666666666666,0.8333333333333334
BCBpjTwEci,BCBPiTWECl,0,0.5,0.8
olhm3J3v2l,oIm33V21,0,0.5555555555555556,0.6666666666666666
T4CF,T(&F,0,0.5,0.5
7KZg,7kZgCSkDiEakUAdaHngOOGs,0,0.2222222222222222,0.2962962962962963
LvhLNVspx,YHLNSpx,0,0.5,0.75
3OboiP4N,3ob4P4N,0,0.6666666666666666,0.8
oNOhz,NOW,0,0.5,0.5
Em752,FUN219,0,0.18181818181818182,0.18181818181818182
DJIS,M2TR1CKY,0,0.0,0.0
bxoj,bXoj,0,0.75,1.0
wMfA,WMfA,0,0.75,1.0
THDY,THDAY,0,0.8888888888888888,0.8888888888888888
Em3QTRnD,EmsQTRnD,0,0.875,0.875
l0aZ,10aZ,0,0.75,0.75
01G6I,01661,0,0.6,0.6
5nTBJXxH6,5NTb1-x06,0,0.4444444444444444,0.6666666666666666
Tq1qpYz,T919PYZ,0,0.42857142857142855,0.7142857142857143
FZ3p0ZHi,FZ3p0zH,0,0.8,0.9333333333333333
J9h2D,JqhHD,0,0.6,0.6
DU414m1dhX,DU44rvdh17,0,0.6,0.6
w7NXT,W>V+T,0,0.2,0.4
ENevr5s9Y5,ENewsads,0,0.4444444444444444,0.4444444444444444
bIn85R,bIN85R,0,0.8333333333333334,1.0
zwgCyrm,Zw3drm,0,0.46153846153846156,0.6153846153846154
DV5D,DBSD,0,0.5,0.5
0dvanOnBt,0dYanoNBt,0,0.6666666666666666,0.8888888888888888
5l5QliX,S75Q1X,0,0.46153846153846156,0.46153846153846156
W9JMO2h,w9MO2h,0,0.7692307692307693,0.9230769230769231
5DVR,DVR,0,0.8571428571428571,0.8571428571428571
Pa0lFH3,Pa01FE3,0,0.7142857142857143,0.7142857142857143
YORN,Y0R4E,0,0.4444444444444444,0.4444444444444444
YYgiEj,YGSEJ,0,0.36363636363636365,0.7272727272727273
Lmnir,Lmnir,1,1.0,1.0
DWhwv,DWhnWV,0,0.5454545454545454,0.9090909090909091
B5W5,BSWS,0,0.5,0.5
A9umwW2,49umskW2,0,0.6666666666666666,0.6666666666666666
1TEOA9,KfOA9,0,0.5454545454545454,0.5454545454545454
PU0OFW,PurdueW,0,0.3076923076923077,0.46153846153846156
eLfu7IJB,eValu7IB,0,0.625,0.75
bJ1bs,bN6s,0,0.4444444444444444,0.4444444444444444
aaJF,aaf,0,0.5714285714285714,0.8571428571428571
nshYOoTW,nshY00TW,0,0.75,0.75
5FfPNkS,5TipNks,0,0.42857142857142855,0.7142857142857143
vfOtb,V6tb,0,0.4444444444444444,0.6666666666666666
yh8Ev2vXb,yh8EVHYTb,0,0.5555555555555556,0.6666666666666666
RQiAk,RoiAx,0,0.6,0.6
qoOt,q00t,0,0.5,0.5
QRMA,QZMA2009,0,0.5,0.5
43PyUd5O,-3pyUa50,0,0.5,0.625
frlgTLi,ProTV,0,0.3333333333333333,0.3333333333333333
nUBUP,nUBU,0,0.8888888888888888,0.8888888888888888
egX4qzDsT,C8+M47D5T,0,0.3333333333333333,0.3333333333333333
kWz1TcC,kWz1Tc,0,0.9230769230769231,0.9230769230769231
0u390L2jA,mU39oVJ,0,0.25,0.5
urRxuM,urRxU^,0,0.6666666666666666,0.8333333333333334
RX5G,RXSG,0,0.75,0.75
Vrq7r,V207R,0,0.4,0.6
VtkZ,VtkZ,1,1.0,1.0
wKIA,WIKIA,0,0.6666666666666666,0.8888888888888888
ptwO,p7wo,0,0.5,0.75
TOxNqI,TOXiq,0,0.5454545454545454,0.7272727272727273
4AYM,4AYN,0,0.75,0.75
FR3U,FR3U,1,1.0,1.0
LaKn,Zakn,0,0.5,0.75
XXqj,XxQj,0,0.5,1.0
s388w,S88w,0,0.6666666666666666,0.8888888888888888
K6s88,K6988,0,0.8,0.8
ljRpBpstZZ,FRpostZZ,0,0.6666666666666666,0.6666666666666666
QPhbc1z,QphbClz,0,0.5714285714285714,0.8571428571428571
Jr58C,J58C,0,0.8888888888888888,0.8888888888888888
cThV1,CTHEN1,0,0.36363636363636365,0.7272727272727273
Xa8s3,Xa8s3,1,1.0,1.0
0XG0,XG0,0,0.8571428571428571,0.8571428571428571
Iqkw9,IQTW9,0,0.4,0.8
WJB04,WJB0x,0,0.8,0.8
FUnY8,Fun8,0,0.6666666666666666,0.8888888888888888
CBOa9,CBOa9,1,1.0,1.0
jJlCP,jJ1CP,0,0.8,0.8
RGER,Roger?,0,0.2,0.8
VMggu,Vega,0,0.4444444444444444,0.4444444444444444
fq4occDU,IqAOC0U,0,0.26666666666666666,0.5333333333333333
xXx3x66,X3X66,0,0.6666666666666666,0.8333333333333334
UKF7,UKF7,1,1.0,1.0
Qn1kSuOR,QliksOR,0,0.5333333333333333,0.6666666666666666
rZYbt,RYBT,0,0.2222222222222222,0.8888888888888888
a7X6V,e7x6v,0,0.4,0.8
XJnmlK,XrWmT,0,0.36363636363636365,0.36363636363636365
7WNrF,Jr.NY,0,0.2,0.2
qIoGQ1,q1o0c1,0,0.5,0.3333333333333333
dk8H,qL8H,0,0.5,0.5
A8XE,A8XKE,0,0.8888888888888888,0.8888888888888888
4343,4343,1,1.0,1.0
UYLP,BTiw2000z,0,0.0,0.0
bWOqX,Bw0qX,0,0.4,0.8
BZCM,B2CM,0,0.75,0.75
7kWW,7KWN,0,0.5,0.75
PS10FGk,Ps10fGk,0,0.7142857142857143,1.0
1377,Fjklf,0,0.0,0.0
WrKe,wrke,0,0.5,1.0
TgGJ,T8GJ,0,0.75,0.75
HIwMWd3,H1wWra3,0,0.5714285714285714,0.5714285714285714
P8CK,PBCK,0,0.75,0.75
XKFI,h3ll0W0rld!,0,0.0,0.0
X3WR,X3WR,1,1.0,1.0
sRNP,SRNP,0,0.75,1.0
h1EU6,h1EUr6,0,0.9090909090909091,0.9090909090909091
wz2b,WZ2b,0,0.5,1.0
lIaaMb4L,Kaamb4L,0,0.6666666666666666,0.8
6GAMEwbV,6GAMEBoV,0,0.75,0.875
5sbWX,J5SbWX,0,0.7272727272727273,0.9090909090909091
tvPqHMP8,tWqHnP8,0,0.6666666666666666,0.6666666666666666
1ICtq,Icqta,0,0.4,0.6
0YCYlIhOY9,OYCW0Y9,0,0.35294117647058826,0.35294117647058826
3pbBK,3pbBk,0,0.8,1.0
yoWpL,yOWpL,0,0.8,1.0
NAaj,N4a,0,0.5714285714285714,0.5714285714285714
mfA7TbGB1,mfA77bGBx,0,0.7777777777777778,0.7777777777777778
dLn5mV,d1n5mV,0,0.8333333333333334,0.8333333333333334
3AAmFmngu,3AmFn8su,0,0.7058823529411765,0.7058823529411765
8PMMdbtlY,SPMd6V,0,0.4,0.4
1ObtbUwV,10btbUWN,0,0.625,0.75
D5HIYX,D5WYK,0,0.5454545454545454,0.5454545454545454
PyaPq,Rycq,0,0.4444444444444444,0.4444444444444444
KThM3dr,kitf9bar,0,0.13333333333333333,0.4
cCGGif,cGif,0,0.8,0.8
zz2j8U3,ZL2j8U3,0,0.7142857142857143,0.8571428571428571
0BWa4Wq,OBAAWQ,0,0.3076923076923077,0.6153846153846154
EKXy8Js,Br+y8jS,0,0.2857142857142857,0.5714285714285714
WrRzCItN,WRACjN,0,0.5714285714285714,0.5714285714285714
qxL93cwn,qRx930WN,0,0.5,0.75
U1xAPtuLR,UserbUfR,0,0.23529411764705882,0.35294117647058826
6X4HG,6x4IG,0,0.6,0.8
8DRCQ,8DRCQ,1,1.0,1.0
9Wvx9i,q4Vxi,0,0.36363636363636365,0.5454545454545454
D37MB,D37MB,1,1.0,1.0
o5pY1f6jm,5PYUhm,0,0.4,0.5333333333333333
wPnM,w0nM,0,0.75,0.75
ExktkuTT,ExkUTT,0,0.7142857142857143,0.8571428571428571
X7XC,GSIONNS15066,0,0.0,0.0
mFYhClCiB,mMaMcICiB,0,0.4444444444444444,0.5555555555555556
7mN8tpA,7pm8stpa,0,0.6666666666666666,0.8
6G1I6rY,6n167y,0,0.46153846153846156,0.6153846153846154
EB4B,EBAB,0,0.75,0.75
9Hp15XA,Hr15*A,0,0.6153846153846154,0.6153846153846154
AtwoTGB,AtnOTGB,0,0.7142857142857143,0.8571428571428571
UUHTnN1Ln,UHFmWn,0,0.4,0.4
Ek90un,E90un,0,0.9090909090909091,0.9090909090909091
Q58ymGT6r,q58ymGT6r,0,0.8888888888888888,1.0
Z1itfh,Zwith,0,0.7272727272727273,0.7272727272727273
xTzW,XtZW,0,0.25,1.0
1HDBFe7,VHDoFe7,0,0.7142857142857143,0.7142857142857143
r2Mqj5,kMqJ,0,0.4,0.6
83623,83o23,0,0.8,0.8
9dhnj,9AhNj,0,0.6,0.8
AUNGogl,AUNG0!,0,0.6153846153846154,0.6153846153846154
zEjERxJm,ZERXEF,0,0.2857142857142857,0.5714285714285714
hBKbh,hBK0h,0,0.8,0.8
mW1USH,mn1uSH,0,0.6666666666666666,0.8333333333333334
jzP0,zPO,0,0.5714285714285714,0.5714285714285714
yxCQS5Uhs,TH5COS5UIS,0,0.42105263157894735,0.5263157894736842
yD0zJ,YDOOZJ,0,0.36363636363636365,0.7272727272727273
GYyuR,GYLR,0,0.6666666666666666,0.6666666666666666
vkTydHmu,VkydHmu,0,0.8,0.9333333333333333
UOgxpMj,uO5XpMj,0,0.5714285714285714,0.8571428571428571
yNonQT,YOUrT,0,0.18181818181818182,0.5454545454545454
hAJD,HAD,0,0.5714285714285714,0.8571428571428571
KDnH,DnH,0,0.8571428571428571,0.8571428571428571
U8Jhi2Xa,U0sh1c2XA,0,0.47058823529411764,0.5882352941176471
ny8Wv,nY8wz,0,0.4,0.8
FdPqO,F4P90,0,0.4,0.4
1WFZL,1WFA1,0,0.6,0.6
KUMW,KLMW,0,0.75,0.75
knV8,knV8,1,1.0,1.0
srrfCm720,sRvfCm20,0,0.7058823529411765,0.8235294117647058
ioxDPy,i0xDAy,0,0.6666666666666666,0.6666666666666666
A2NfE,A7NFh,0,0.4,0.6
Ydsb0,YdSb0,0,0.8,1.0
M8fedaiAwy,Mofedactivity,0,0.6086956521739131,0.6086956521739131
UfRPi,WRpi,0,0.4444444444444444,0.6666666666666666
4N9hBnEnYK,W9hBnFnyk,0,0.5263157894736842,0.7368421052631579
JMNQ,DMYC,0,0.25,0.25
cVOm,CVOm,0,0.75,1.0
b94cYK,b9cYK,0,0.9090909090909091,0.9090909090909091
DCRW,DEAN2006,0,0.16666666666666666,0.16666666666666666
yh8Rg6,Yh8Rs6,0,0.6666666666666666,0.8333333333333334
x70AHxz,x10ph+z,0,0.42857142857142855,0.5714285714285714
J2ZJQ,J2ZJQ,1,1.0,1.0
4a3MWP,4G3tR,0,0.36363636363636365,0.36363636363636365
KBHC,KPHIC,0,0.6666666666666666,0.6666666666666666
BH6T,BHBT,0,0.75,0.75
ukZom,uk20m,0,0.6,0.6
s8IXE,SIXE,0,0.6666666666666666,0.8888888888888888
RNKK,R3sk,0,0.25,0.5
6GKNt,6GkNt,0,0.8,1.0
qbIbAnVK,qW8AwK,0,0.42857142857142855,0.42857142857142855
Te3B6,rE3B6,0,0.6,0.8
i0Mu0I,iOM501,0,0.3333333333333333,0.3333333333333333
