Actual Solution,Predicted Solution,Result,Similarity,Similarity (Non Case-Sensitive)
ilzcvb,"i, Zsvb",0,0.46153846153846156,0.6153846153846154
84rmIb,8A4rmVb,0,0.7692307692307693,0.7692307692307693
QaVxEm,@AvXE8M,0,0.15384615384615385,0.7692307692307693
IPLc,P2Lc,0,0.75,0.75
4BBJ,4BBJ,1,1.0,1.0
9j4e,gj4e,0,0.75,0.75
AslQTe5h,AsIQT5h,0,0.8,0.8
BWGT,Rz3tCAT,0,0.18181818181818182,0.18181818181818182
VPFyBjsxui,VPF7BisNiv,0,0.6,0.6
iYy1xq,.iYkLXq,0,0.46153846153846156,0.6153846153846154
kSBZpX,ksB1Px,0,0.3333333333333333,0.8333333333333334
fnYMZw3,fnYMLw3,0,0.8571428571428571,0.8571428571428571
uYD5,uyYD5,0,0.8888888888888888,0.8888888888888888
3dXq,3dXa,0,0.75,0.75
lGUbSY,GUbsY,0,0.7272727272727273,0.9090909090909091
Yze0ef,yz0ex,0,0.5454545454545454,0.7272727272727273
8o0WktG,8Oawk4G,0,0.42857142857142855,0.7142857142857143
IS65rZ,jS6S4Z,0,0.5,0.5
Rj8GuPR,Rj8GuPR,1,1.0,1.0
3p6gEJIh,3ps8EYh,0,0.5333333333333333,0.5333333333333333
SJKjF,SJKF,0,0.8888888888888888,0.8888888888888888
ln1ICxF,lcXF,0,0.36363636363636365,0.7272727272727273
YlCL,ACL,0,0.5714285714285714,0.5714285714285714
jwgTtqt8,wgTtq78,0,0.8,0.8
mJGfy,mG4Y,0,0.4444444444444444,0.6666666666666666
qCDDO,qCDooO,0,0.7272727272727273,0.7272727272727273
gjc0SP,gjcs0p,0,0.6666666666666666,0.8333333333333334
cM56,C6,0,0.3333333333333333,0.6666666666666666
E8T6,E8T6,1,1.0,1.0
9GYqtq6pZ,9GYq6tqpz,0,0.7777777777777778,0.8888888888888888
mu08Tj,mz08Tj,0,0.8333333333333334,0.8333333333333334
n2bPT4r,n2PTAr,0,0.7692307692307693,0.7692307692307693
7Z7U,7zU,0,0.5714285714285714,0.8571428571428571
6Au8q,A8q,0,0.75,0.75
KBdZS,KBazS,0,0.6,0.8
KJni,"KJN1,",0,0.4444444444444444,0.6666666666666666
AMSK,AM5K,0,0.75,0.75
VMHT,VMH7,0,0.75,0.75
p1j0,pl1jO,0,0.6666666666666666,0.6666666666666666
B0WTbk,BowT6k,0,0.5,0.6666666666666666
