Actual Solution,Predicted Solution
8DRCQ,8DRCQ
6X4HG,QHG
EKXy8Js,Ert+yøjs
lIaaMb4L,Kaa^b4L
3pbBK,3p6BK
0YCYlIhOY9,0YCYVhoY9
6GAMEwbV,6GAMEwbL
yoWpL,yOWpL
mfA7TbGB1,mf47vGBl
1ObtbUwV,10btbUwv
D5HIYX,05h1yx
8PMMdbtlY,8PMNdbt
cCGGif,CCGgif
zz2j8U3,ZZ2jδU3
9Wvx9i,o4Vxg
ExktkuTT,E4KkUTT
mFYhClCiB,mAmCiCiB
7mN8tpA,7mN8tPA
xTzW,xTZw
Z1itfh,evith
UUHTnN1Ln,UHPMKen
1HDBFe7,1HDBFe7
83623,83623
zEjERxJm,zejeRxm
yD0zJ,YOOZU
yNonQT,yWOMOT
vkTydHmu,VkydHmu
KDnH,KDmH
U8Jhi2Xa,U9hí2xa
ny8Wv,nyswz
A2NfE,AONFG
srrfCm720,srfc^m^20
M8fedaiAwy,moferajamy
Ydsb0,YdSbO
cVOm,CƠm
b94cYK,b94CYK
x70AHxz,x10phx2
4a3MWP,40334p
DCRW,DRAW205
6GKNt,6GKNT
KBHC,KATHIC
Te3B6,xe3b6
Y4wHJGIQ,Y4w3GQ
d07Bh,d0>Bh
7mUNzq7,1sUNa97
teLROS,tepos
B7QT,B7OT
hBgNxZ4,hBgNXZ4
C30o9wW3d,3009Ww3a
3lf4zOKs,3lfazors
hQWRk,bQWRk
Ui4n,Ji4h
ODdGrFE7,ODdGGE7
B1dV43,Bld1A3
mHLit4D8m,mHvitADom
PXVL1TBO7,PtVVNtBo>
fm3Bzowx,mJBZOWX
LwrUWp,LrU^p
9MYkD0QjKB,9mrkooVK8
c1s9J,Gisov
jPMdn,¡PMdn
hPgMHv,1DogMHW
dbnJ9,qbNJ9
KjrEFXT,KREFTT
RS8hx,RS8K
CuUKtr9S,GULVtr9s
VCu0BS,vcuoss
K6HC,K6HC
Yr5D8,21558
G0NC,G0NC
EvYzCW,EvrZCW
nN2WVq1,^N2w^q1
tST6Xzh,tST6reh
5gDwl0C,5gDW10C
qycR88f,qyCR8f
DQeU0uqG,DoeudaG
VkQIYB4Yvh,VKQKoo4Yh
QuwhI,Quay
vEVTmNM,VEVTmNM
BCBpjTwEci,BcBPiTEci
dX1sp,d4Sp
PRnU,PRNU
WvHhI,WHHI
KH6hjl,K^6b_v
7KZg,7Kzg
A2VdzF,A2volve
T4CF,TACF
olhm3J3v2l,0hm3V21
LvhLNVspx,WhLNZSpX
3OboiP4N,3obaip4n
oNOhz,ONOZ
Em752,E11752
DJIS,DJS
bxoj,bxoj
Em3QTRnD,Em3Q>RnD
THDY,THDY
wMfA,WMfA
5nTBJXxH6,MTBIHAG
01G6I,01661
Tq1qpYz,T9\9bYZ
ENevr5s9Y5,Enversads
J9h2D,JohD
DU414m1dhX,Du44mddhx
w7NXT,W2IHT
zwgCyrm,zwgcyrm
DV5D,dvso
bIn85R,6In85R
0dvanOnBt,0 d anO nBt
5l5QliX,525qix
Pa0lFH3,pa0lFⱼ3
W9JMO2h,w9mO2h
5DVR,BDVR
YORN,KOREA
DWhwv,Dwhw
Lmnir,I'mhit
A9umwW2,49umsw2
1TEOA9,KFOA9
PU0OFW,pu0of4
aaJF,aa正
B5W5,B3W5
5FfPNkS,5FRNKS
bJ1bs,b1b5
nshYOoTW,ns"YooTW
qoOt,9oot
yh8Ev2vXb,yh8eVht6
QRMA,qrMAX
RQiAk,RoiAk
frlgTLi,fkoTVi
nUBUP,nubup
egX4qzDsT,esx49zds7
kWz1TcC,kwziTsc
RX5G,RX5G
0u390L2jA,04390v2ji
urRxuM,urRxur
qIoGQ1,q10gc1
A8XE,A8XE
4343,4343
bWOqX,bwOq*
HIwMWd3,h1w4h43
7kWW,>kwu
TgGJ,T8GJ
X3WR,X3WR
sRNP,S^RNP
wz2b,wz26
KYN4bqr,KKNABor
ZmX1JIiW,zax1vw
y3lgS,3\gs
jmx2KIEYX,mx2kext
GWIZG6,Q2MG6
IYWA,TWA
QZXG,QEXG
Hfx1uZ,HxuZ
EGEg,EGEg
Y2hbwv0PV,y2nbnvopv
Z6WX,zowkx
Djc7,Djic>
CQLTk,CQLTK
c8O6,C806
IJS5,ısı
AQSS,AOSS
TylKz8sxO,Tyr8s0
bOSu7nhsn,60sinhSn
YbHs,८BHS
W321,W321
2MX8,2MHF8
RWXY,RWAY
ZRSJ,ZRSJ
nG8gM3,nG8gM3
y39m,5309m
0XwRHQyo,OXWRHQYO
SJNjN,sʲʰɪn
2d8BAid,2D8BA10
QFTQ,QFTO
agIZo7p1ne,agizo7pime
XNWma,XhNna
aOrhwIkuL,aOBW^kUL
zkFaGR,ZKFaGR
AEVN,AEMN
W3qAitI,W3qAi
gjabK,9pok
4ZUNr0,4lunro
WGctRkN,NGCtkN
VpNp,vPNp
bFCV,bfcx
FyyjpE0,FyYjD0
uYQz1YD,४YQ1४YD
4AGA,HAGA
jbNn,jbNh
QCMY,oamx
B1Y1Q,BZY1Q
