Actual Solution,Predicted Solution,Result
BZAQ,6EAQ,0
BkqcNgVQc,BKQCNGVC,0
k11Sb1,k7sB,0
03AdAR2,O3AdAR2,0
hQbRpNHJ,h9bRPNHJ,0
hzcmvwjb,hZCmvWb6,0
QHAX,QHAX,1
EHl0iticVd,EHVOiC8,0
QWXSIWBy,QWXS8N3v,0
stlcp3G,stcp3G,0
PJxc7qUI,pXC7qJI,0
EDKR,EDKR,1
djIrV8,dj1vz8,0
oxysKroz,0ky5NvR02,0
PNXZ,PNXJF,0
R9lM,R9vM,0
BJr0j5t5T,BJ7oJ5kT,0
KQQ9,KAQ9,0
GTBU,GT8w,0
ZpTrqUB,zP7YqUB,0
a1Liy7JX,avY7JX,0
GKQY,GwD3i,0
S8YT,S8YT,1
ZK3ktTE,zK34TE,0
BwRBqJ,Bw8B9J,0
GhqW,Gh9W,0
Pu2S,Fu2S,0
Am49pc8,nM9oC8,0
HXLqL9zv6,HxL49W6,0
AWYV,AkWYV,0
ERHCP,ERHCP,1
BVFA,RjXEd5,0
tOWfSf7o,towfSx70,0
xC6X,xC6x,0
6ue8etyv3,6getyB,0
uZlITJuw,vZ1tJUw,0
FYPX,eYPK7,0
vnxt5p,vNxX5P,0
k4uXNK,k4UXNK,0
3IuveJl,3uvEM1,0
eejA,eeia,0
dDZ8,aDZ8,0
d6avk,dbqVk,0
WHHW,WHMti,0
Lk2pgBh,LK2p88h,0
XME3vu,TME3VN,0
awKJUj7ox,WJViJ0X,0
JQxT,JQH7,0
rap8H6,7qH869ap,0
UkaB1yj,cXAbYJ,0
sCB1M,SQ8M,0
IfjCzGX,IxCzGX,0
fllR5,f1ArP5,0
x5JysRYF,xJvSQQf,0
WSAmK,W5PAfk,0
10Hy9,10xY9,0
ISDP,wqG5M,0
HT9P,HT9P,1
8bfR7wZi,8krYZi,0
2hYxS7Rxa,2YxSRxa,0
BMXS,BMXS,1
G3Rj,G3R4,0
LKy76,LKY76,0
27EZ,27Et,0
KKBE,TcBQoo,0
rucR5,huCRs,0
TaGYo,TagYO,0
U8uT3Wayw,c8LTSNyy,0
ThMMgtht,KhM9tnt,0
9kty,gKy,0
ogHs,o8HS,0
ZcEO,ZCcOO,0
5S7G,5SGG,0
PPPZ,pDPEZ,0
oL3iPd,0c3ipq,0
B5VWF,B5WMF,0
O8GQfFGr,0gGQfFG1,0
YhuhHAzU2,YhuhHzuh,0
akfYEb,akfEb,0
lZZucF,Z7UC6F,0
XbtM,XbtM,1
4W13,WN13,0
oWZN,Ow1N,0
6gsIxntx1v,6gslXXYz,0
Sh76,sv76,0
skqdqk0aY,SqdyYvQY,0
O2Q4,0204,0
1ljxtpE,UjXpE,0
gIjO5667r,gJQ566J,0
qBf1Ku7wb,yVbf7u7wb,0
0LYA1Jh,0B1MNn,0
DY3Y,DY3Y,1
dWY6bRR,dWY6bRR,1
wPZLqwA,w9ZL8NA,0
XMJ8,XwV8,0
LpHipT,L2HivP7,0
W687,W687T,0
cYwx,cKWr,0
JiFEn,JjF5n,0
rQ9xpo,rQ9Ap0,0
Qz9fCpSzjD,q9fcps7JD,0
Wd9dV,wq9dL,0
SZLYnBUOG,SZL1mBuQg,0
F20k,F20k,1
Tjne,TvWE,0
wtt4HnPG,t4HkQG,0
2EiSp,2E1S9R,0
xdqD9W1,Xdd9w1,0
us8K7,ySgK7,0
KCqL4,KCAv4,0
ENUV,ENUV,1
xbQg7rjsT,M087rj5T,0
yuKK,yukKf,0
sFrU,SFAJU,0
KfqhDIP2,fgh01P2,0
JVNSgX,SVWSgX,0
o0iL6D,OoiL6D,0
WN9BC,WJ9BC,0
uZD7eIduX,uLD78d4X,0
0bazwyQ,ObqLWYQ,0
iruug,iruvs8,0
ChZmom,Ch7nOm,0
Md19,zVg9,0
ufKO,vgKO,0
3VuoqJd,vXP9da,0
FDLwOCC,Fx4w0CC,0
qqJRl,q9JRA,0
WdbC,Wd4bC,0
6ruN7LA1,6ru2vAI,0
hZWPj,hzWRJ,0
VAR06,VARQ6,0
6KE7,vQtF5,0
oUzfO,0uZ0,0
AWQE,AWQE,1
vwqk0kG,Lz9k0kq,0
KY7L,kpf7M4,0
4ATB,44AxB,0
H1VK,H1lXf,0
TjsSdtOF,7Sd1oF,0
Lkgqj,LkQpQJ,0
8BeJu3rry,8BeU32YV,0
makH,mqkH,0
ijjn,zjMn,0
2MnKF54,2MzFFA4,0
PgHL,PgHL,1
34VNZ2xfOG,3aVN2xf0G,0
SR5F,Y3R8F,0
xCkllld,xCkNd4,0
hCxvDUey,XCXVDUg7,0
eo84L9J,2o8x19J,0
Q6Tqe,Q6xge,0
ZtiJO,2tiO,0
V005,V005,1
U53V,U5B3V,0
qeH3FulA,qeh3FwA,0
oV17,OV17,0
L4B1u16,LBz46,0
qCXy,qGV,0
2rmGlyNXiM,2mGkXiM,0
qAFrY9L5,9AAYVL5,0
Nxo4FjeWL,NoAEjWL,0
XWJN,Xk3bWN,0
vLakX4,vLOkx8,0
ZMtAPjh,hMAPnh,0
KqL8ZPJC6,kqL8zJC6,0
VPB6,VPb6,0
sXGgqRm,SFG8qrm,0
MUHA,MUHA,1
E8OjC2K,E80vCEK,0
8Pu1lWgqb,sPUNwggp,0
XsSfTiXx,SfTiXzC,0
diL7l6vatj,qL7l6VdJ,0
oPBwRzf,Qp8wRZf,0
3EX6f,w3EX6F,0
65exi,6S9eX1,0
iQX0czfb,jX0C<>6,0
aeql,aeav,0
J5Hr,J5HX,0
JKWeA3,kxEA3,0
gKWRX,9KwRX,0
CNQS,Qw8S5,0
r0a1S,rOaZS,0
o8ziqH,8zjqH,0
BFxzoRp,BpZORp,0
jIFjQB8wb,JYQB8wB,0
YgSvCI,YgSVGCI,0
Slc9Z,Ac92z,0
DeyN,De4N,0
GkMI,G4MI,0
WTF8,WTF8,1
UENgs,UEN8S,0
ASGP,A6P,0
yRSPHnW3,YRSpHnW3,0
