Actual Solution, Predicted Solution, Result

VC7VmTv,vc7VMTv,0

sgpi,sgpi,1

86S8,bC9w2,0

60Gp,"60GP
",0

grQaTo,grQaTO,0

A8JnKyX,A8hTyX,0

DOTWO,DOTWO,1

WExo0Z,wEX007Z,0

2dEK,2dEK,1

DiG1d2ZMi,DzGad2zmi,0

R4gysE2yr,R4g1sE2Y,0

HC5ERNS,HC5FRNS,0

PF6N5B7P,PF6NsB2P,0

X5MH,X5MHI,0

bbrXE,"6brXE
",0

QGk0Z0IW,QGko0OKW,0

iqajEY,idajEy,0

TBpd4QYWr,"TBpA4dWr
",0

EWbA,"EWbA
",0

Nk7eI6,"NK1Ev6
",0

esprwJxl,eSpRwXl,0

psLUM8,pSLUM8,0

yxfXJUq,yXfKUq,0

W4PEe,WAPTEe,0

4ZaOaLP,4Za0aLP,0

qQRwwECg,q0RwWECg,0

7y1Y3B,7Ay3B,0

h2jI,h2jI,1

MkrZ,MkRZ,0

3NVEpzp,"3NVErZp
",0

76CE,KC0Ez,0

TjHc,"TjHC
",0

L3gtuKi,L38gtuKi,0

NVFK,NNFK,0

0edM,0edM,1

R53B,R53B,1

SAY8,SAY8,1

SVf5,SVf5,1

763C,76ac,0

v3vCty8m,L3VCty8m,0

U456yk,"U456Jk
",0

8CCK,8Cdk,0

8ujuDX,84jVD,0

UL5Eb,UL5Eb,1

xwWrSsk,xWZ1SSk,0

KouOf9k,kOwOf9K,0

Lcp2OiW,Lcp20iw,0

HzYq,H2LAa,0

iMmMk,iMmMk,1

vBs0sygN,vBS0Sy8Z,0

2lqS,2/qS,0

2jai5Cg1,2iaisc81,0

AkBM,"AkBM
",0

1YzYYq,"1yzYN9
",0

eAhmOIX,eAhmOIX,1

tv4nOoLqS,tLanOOaqs,0

fAQoKQ,fA0kQ,0

bGWyq,TruWygq,0

01HVnL6,lHVhL6,0

FBEqqEv,FBEAaqEv,0

vZQMxTWBV,"VLzQMXTwBV
",0

6KAHAVZm,6kAHAVKm,0

5R4M,5R4M,1

glBDv,gBDv,0

KhOOf,KhOOsf,0

rCEm,rdm,0

bOBF7AncK,6OBF4nCK7,0

MN5H,MAGH,0

OSYsj,OsYSj,0

1tZb3BxJo,17L63BxJO,0

5YVmnBY,"5YVmnBy
",0

AHrJ,AHrJ,1

L1Qd4X,LRdAax,0

Mk6KDKzsys,MM6KDKZsvS,0

WTXO,wTxO,0

wZs9N238,wzS9N238,0

Qp1Cc4,qP1cC4,0

nbNP6,"vbNP6
",0

j4WGX,"j4wNGX
",0

DQB6,DaB6,0

OfDo,0fDO,0

AkFxea,AkFtea,0

rSGjoOj,rSGyoOj,0

8z9JlJcY,8z9Jk4,0

ylRTE,"xLRTxE
",0

VCCZm,VCczm,0

Vrd1,"Vrd1
",0

iz4OJuEZ,VL2AOJUjEZ1,0

UHrJX6Kw,UHN8+oKw,0

2tgOv,2TGOv,0

tUcLG,tuCZG,0

rCoE94rvk,rCORE9arVk,0

SjEhG,SjEhQ,0

nBlg2YhAo,hBls2Yh0,0

G88ISS,G881SS,0

HkGZF,HKGLF,0

3BJQhON,"3BjphON
",0

RnBTFQ8,"RnBTFp8
",0

aic8,a.iG8,0

MAtIe8E,MATIE8E,0

QXcgS16CYr,eXcgs16cY1,0

koUD,k0UD,0

PAJP,PANP,0

yq8V,"yq8V
",0

zD8YHGiT,ZD8WCGiT,0

NV3NzvEjd,NV3NZvEja,0

A3zSVRF,ABzSVRF,0

ieYeo,ie/e0,0

sgJv,S9V,0

rpW96NO,pW96vO,0

PlW26C,P/W26c,0

3JaZL8l4e,3)aZr8l4e,0

QGw2,QGWK2,0

hUdgqIaw,nUd8g/aN,0

Up3GOv,UP3GOV,0

E1NPR,"E4NpR
",0

1mGAp,\mGAp,0

ELeEpa7,ELEeEpa7,0

J4c0D2K,"v4COD2k
",0

HIJB,WJB3,0

Dg11,"Dg71
",0

