Actual Solution,Predicted Solution,Result
BZAQ,6ZAQ,0
BkqcNgVQc,BKQCNgVOQC,0
k11Sb1,kYsbh,0
03AdAR2,O3AdAR2,0
hQbRpNHJ,hQbRPNHJ,0
hzcmvwjb,hCmWiб,0
QHAX,Q4HAX,0
EHl0iticVd,The CAPTCHA text is: EHVOitCla,0
QWXSIWBy,QWXSWBY,0
stlcp3G,stvcp3G,0
PJxc7qUI,pXc7qUI,0
EDKR,"I'm sorry, I can't assist with that.",0
djIrV8,dj1vzS8,0
oxysKroz,0yxSr0,0
PNXZ,PNXFZ,0
R9lM,R9vM,0
BJr0j5t5T,BJ0j5bT,0
KQQ9,KAQ9,0
GTBU,GTBU,1
ZpTrqUB,zpYAUB,0
a1Liy7JX,aVy7x,0
GKQY,GkDN,0
S8YT,S8YT,1
ZK3ktTE,ZK3tTE,0
BwRBqJ,BwRB9J,0
GhqW,GvQkN,0
Pu2S,7pL9S,0
Am49pc8,pnt9lC8,0
HXLqL9zv6,HXlQ9W6,0
AWYV,AWYV,1
ERHCP,ERHCP,1
BVFA,R9yx9,0
tOWfSf7o,tOWfS70,0
xC6X,xC6X,1
6ue8etyv3,6u8etyB,0
uZlITJuw,uZiIUw,0
FYPX,FYRK,0
vnxt5p,VnXt5p,0
k4uXNK,f4UYNK,0
3IuveJl,3IuVeA1,0
eejA,eeia,0
dDZ8,dDZ8,1
d6avk,d6qVk,0
WHHW,WHRM,0
Lk2pgBh,Lk2p8Bh,0
XME3vu,XME3VW,0
awKJUj7ox,aWtJU7OX,0
JQxT,JQ4T,0
rap8H6,raP8H6,0
UkaB1yj,eKabyj,0
sCB1M,sC8M,0
IfjCzGX,IDYCZGX,0
fllR5,xLMtR5,0
x5JysRYF,x5YSBYF,0
WSAmK,WSAMtk,0
10Hy9,I can't solve CAPTCHAs.,0
ISDP,C8Pd9,0
HT9P,HTQP,0
8bfR7wZi,8bKZri,0
2hYxS7Rxa,2hYxSRxa,0
BMXS,BMXs,0
G3Rj,G3R4,0
LKy76,LKY76,0
27EZ,27EZ,1
KKBE,E047e3,0
rucR5,hUCR5,0
TaGYo,TaGYo,1
U8uT3Wayw,c8UT3Wayw,0
ThMMgtht,ThMgtnht,0
9kty,9ktv,0
ogHs,08HS,0
ZcEO,Zc6O,0
5S7G,5SaG,0
PPPZ,pDPZ,0
oL3iPd,0<3ipd,0
B5VWF,B5VWF,1
O8GQfFGr,O8GQfFGr,1
YhuhHAzU2,YhuHHAZvh2,0
akfYEb,aKfYEb,0
lZZucF,L2UCF,0
XbtM,XbtM,1
4W13,4N13,0
oWZN,OWN1N,0
6gsIxntx1v,6gSIXXTXlL,0
Sh76,sh76,0
skqdqk0aY,SKqdkqOdY,0
O2Q4,0244,0
1ljxtpE,LljXpE,0
gIjO5667r,g1O566r,0
qBf1Ku7wb,aBfKu>wb,0
0LYA1Jh,OBXN,0
DY3Y,Dr3y,0
dWY6bRR,I'm unable to process the CAPTCHA text from the image.,0
wPZLqwA,WPZL6NA,0
XMJ8,XDW18,0
LpHipT,LPHipT,0
W687,W687,1
cYwx,cWtk,0
JiFEn,jiEn,0
rQ9xpo,rQ9xPO,0
Qz9fCpSzjD,q9fcpsY2D,0
Wd9dV,wQ9dl,0
SZLYnBUOG,SZLYNBUOg,0
F20k,F2oK,0
Tjne,TUNE,0
wtt4HnPG,Nt4HRnPG,0
2EiSp,2E1SP,0
xdqD9W1,XdaD9w1,0
us8K7,uS8t7,0
KCqL4,kCay4,0
ENUV,ENUY,0
xbQg7rjsT,x0Qg7risT,0
yuKK,UKr7,0
sFrU,SF4u,0
KfqhDIP2,kfqhDlP2,0
JVNSgX,JVNSgx,0
o0iL6D,OoiL6D,0
WN9BC,WN0BC,0
uZD7eIduX,uZDT6idx,0
0bazwyQ,ObaZWWQ,0
iruug,iruwg,0
ChZmom,ChvOm,0
Md19,m6bQ,0
ufKO,uYkO,0
3VuoqJd,3whQ9A,0
FDLwOCC,FDwOCC,0
qqJRl,q9YvRA,0
WdbC,wAbC,0
6ruN7LA1,6ruZLA1,0
hZWPj,hzWRJ,0
VAR06,VARO6,0
6KE7,6aM,0
oUzfO,Ozxo,0
AWQE,ANQE,0
vwqk0kG,Lk9k0kG,0
KY7L,K7hL,0
4ATB,4AAB,0
H1VK,HLXr,0
TjsSdtOF,TjssdtOF,0
Lkgqj,LKeQVJ,0
8BeJu3rry,8Beu13rY,0
makH,maKH,0
ijjn,ziN,0
2MnKF54,2M2KF54,0
PgHL,pG8HL,0
34VNZ2xfOG,3AVN2xfOG,0
SR5F,6F5F,0
xCkllld,xCkIUd,0
hCxvDUey,hCxvDUgY,0
eo84L9J,e0879,0
Q6Tqe,Q6rqe,0
ZtiJO,xtiVo,0
V005,vOOh5,0
U53V,U53V,1
qeH3FulA,qeNBFWlA,0
oV17,oV17,1
L4B1u16,LBzU6,0
qCXy,qCfY,0
2rmGlyNXiM,2mgXin,0
qAFrY9L5,qAFrY9L5,1
Nxo4FjeWL,No4EjcWL,0
XWJN,7XM4N,0
vLakX4,vL0x7,0
ZMtAPjh,1MTAPzh,0
KqL8ZPJC6,I can't help with that.,0
VPB6,VP86,0
sXGgqRm,SGgqRm,0
MUHA,MUHA,1
E8OjC2K,F80VC2K,0
8Pu1lWgqb,8PUNWgqp,0
XsSfTiXx,XtSSfTXt,0
diL7l6vatj,d71gNktJ,0
oPBwRzf,OpBWRZf,0
3EX6f,wEx6F,0
65exi,6pEx7,0
iQX0czfb,iQX0C6,0
aeql,aewv,0
J5Hr,J5Hr,1
JKWeA3,JkWEA3,0
gKWRX,9KWRX,0
CNQS,CNAS,0
r0a1S,r0aIS,0
o8ziqH,08ziqH,0
BFxzoRp,BPXZORp,0
jIFjQB8wb,JIFQB8WB,0
YgSvCI,YgSVCl,0
Slc9Z,svoCz,0
DeyN,DeYN,0
GkMI,GtMI,0
WTF8,WTF8,1
UENgs,UENgs,1
ASGP,ASCP,0
yRSPHnW3,jyRSPHnW3,0
Tnjub,TnjWb,0
EKBN,EKBN,1
RSSU9pGjb,RSSU9PGlb,0
uzoH,uZoH,0
Dd9hwP,dMpWrp,0
3Q5AV,3Q5AV,1
8FVT,8FVT,1
75NCWXg9,75NCMXg9,0
nakmWlO,NAKMWLO,0
8ANU,gANU,0
YHl9x,YHl9x,1
4RP8,APFg8,0
8jVp8D,8Np8D,0
RPZh,RPZ4n,0
VNSY,VNSY,1
1GaIQBj,GalQj,0
SHEfq1wSC,SHe19WSC,0
k0HlW9oGKL,KOHWYOCKL,0
0eSv,0esv,0
Dqycfdf,DqXCfdx,0
R5UV,R5JV,0
JPNM,JPNM,1
7csKI,7CsK,0
moe2V,moeZV,0
3Z7j,37j,0
mwwn0dc,nmmm0xc,0
