Actual Solution,Predicted Solution,Result,Similarity,Similarity (Non Case-Sensitive)
MaQ0Xt,MaQ0+t,0,0.8333333333333334,0.8333333333333334
9NeBTyQ,gVGBTLLQ,0,0.4,0.4
45AT,45AT,1,1.0,1.0
qFb4od,aFb40d,0,0.6666666666666666,0.6666666666666666
MXtT1jtEG,M4T7iEEG,0,0.47058823529411764,0.47058823529411764
5tI1,5CM,0,0.2857142857142857,0.2857142857142857
SENVK,SEN7YMR,0,0.5,0.5
oKY0M3wpK,OkZOm3ZpK,0,0.3333333333333333,0.6666666666666666
ZIgv,Zl8V,0,0.25,0.5
7GAM,7GAM,1,1.0,1.0
Y317,Y317,1,1.0,1.0
PLdSVZ,RosVZ,0,0.36363636363636365,0.5454545454545454
1SiHGF2WM,1SHG24M,0,0.75,0.75
FXTG,FXZG,0,0.75,0.75
a85o,a850,0,0.75,0.75
HG6Q,HCGQ,0,0.75,0.75
9w1aHhl,9W2AHH1,0,0.2857142857142857,0.7142857142857143
6QDM,60QDM,0,0.8888888888888888,0.8888888888888888
QOGsKRqI,OOGSKLpqI,0,0.5882352941176471,0.7058823529411765
QWRV,QVM8L,0,0.4444444444444444,0.4444444444444444
99VD,99VVD,0,0.8888888888888888,0.8888888888888888
djKYv3jGW,aJkVV3jGW,0,0.4444444444444444,0.7777777777777778
a3HtWeOt,a34twe0t,0,0.625,0.75
CYPSY,CYRBY,0,0.6,0.6
VUEsz,VUESZ,0,0.6,1.0
0F6EfGs,OF6EFGS,0,0.5714285714285714,0.8571428571428571
YCLQ,YCLAQ,0,0.8888888888888888,0.8888888888888888
GXvqkiVB,GXVaKivVB,0,0.5882352941176471,0.8235294117647058
zJxFdBg,JxFdBo,0,0.7692307692307693,0.7692307692307693
gcGLooxS,aCCGQ0aX,0,0.125,0.375
I7vv,I7Lv,0,0.75,0.75
1U8FY,1U8Y,0,0.8888888888888888,0.8888888888888888
GXPOz,GXb0V,0,0.4,0.4
g3dlPeKC,83dPEKC,0,0.6666666666666666,0.8
nyAJ,nVvJ,0,0.5,0.5
Kc5e,K2SE,0,0.25,0.5
DNPB,DNPG8,0,0.6666666666666666,0.6666666666666666
Wah4j,w2h4j,0,0.6,0.8
icxZiUo,iCxZiuO,0,0.5714285714285714,1.0
1yd4O,1Jd40,0,0.6,0.6
6mor,6mOr,0,0.75,1.0
4PME,BNEF,0,0.25,0.25
AR6N,AF6N,0,0.75,0.75
JjAT,J7AT,0,0.75,0.75
SO1r,S01r,0,0.75,0.75
