Actual Solution,Predicted Solution,Result,Similarity,Similarity (Non Case-Sensitive)
M2VmbCeU,M2VmbxeU,0,0.875,0.875
CrFdBTtlYg,CrFdBTt\Yg,0,0.9,0.9
GHZT,GHZT,1,1.0,1.0
y4cK,y4ck,0,0.75,1.0
wNWS3zO,Ww3kO,0,0.5,0.6666666666666666
uUYA3m,zUyA3n,0,0.5,0.6666666666666666
RjGR,RJG R,0,0.6666666666666666,0.8888888888888888
Xwcj,xWCj,0,0.25,1.0
QFOvCKF0f,pFVCkof,0,0.375,0.625
8xvikjs,8Xv~k~S,0,0.42857142857142855,0.7142857142857143
jnZaOFI,j^nZaOFI,0,0.9333333333333333,0.9333333333333333
CWFK,CWVFk,0,0.6666666666666666,0.8888888888888888
PaBJ,P4BV,0,0.5,0.5
wAGZDi,WAGZDi,0,0.8333333333333334,1.0
WCjXX,WcjxX,0,0.6,1.0
zkTRf,zKTRF,0,0.6,1.0
NYSR9,N\SR9,0,0.8,0.8
A8rev2t0K6,48revt06,0,0.7777777777777778,0.7777777777777778
qYwFVpl,qKWAVP,0,0.3076923076923077,0.6153846153846154
xpNVsXW,+PNVsxW,0,0.5714285714285714,0.8571428571428571
lKgh8XT,1Kg8h8xT,0,0.6666666666666666,0.8
8OszrAml,8o^srAm/,0,0.625,0.75
nIM1qQGYw,nMgqGyW,0,0.5,0.75
iFArJ,iFAJr,0,0.8,0.8
udHZV3O,UqHZv3O,0,0.5714285714285714,0.8571428571428571
stoThGir,st0ThGiv,0,0.75,0.75
sX8YZ,SxYZ,0,0.4444444444444444,0.8888888888888888
6GI0FURfV,6GQfRfN,0,0.5,0.625
1CBBjTA912,kB!TA912,0,0.6666666666666666,0.6666666666666666
dYHHgRYM,DYHGRYM,0,0.6666666666666666,0.9333333333333333
SOgsRU,sOgSRU,0,0.6666666666666666,1.0
HTOI,H?dQ,0,0.25,0.25
meDuX,meDu+,0,0.8,0.8
BNKU,BNKU,1,1.0,1.0
uFemPlut,uFemPlwt,0,0.875,0.875
VUVPP,WVPp,0,0.4444444444444444,0.6666666666666666
p9X0,p9X0,1,1.0,1.0
ASTK,A?k,0,0.2857142857142857,0.5714285714285714
nIyKdO,NIYkDO,0,0.3333333333333333,1.0
P8th,p8th,0,0.75,1.0
4AXE,AAXE,0,0.75,0.75
sZdHxwT,sZdHXwNT,0,0.8,0.9333333333333333
zJErDm,JerDm,0,0.7272727272727273,0.9090909090909091
qK5eU1St,qKSeeUlst,0,0.5882352941176471,0.7058823529411765
jiw3,jzw3,0,0.75,0.75
Z8NS,z0Ns,0,0.25,0.75
kDKuhc5,kOkWhC5,0,0.42857142857142855,0.7142857142857143
vCAFgrMN,vCAfgrMN,0,0.875,1.0
TtnY,tny,0,0.5714285714285714,0.8571428571428571
fXR4FYJ,fXR4FYJ,1,1.0,1.0
PB0h4T,PB0h4T,1,1.0,1.0
5IrOQqj8J,5rOQq8J,0,0.875,0.875
MWpsZkh,MwPsh,0,0.5,0.8333333333333334
m52dX,m52dx,0,0.8,1.0
S2cfpbVY,s2cfpdyY,0,0.625,0.75
uf9Nh,wf9Nh,0,0.8,0.8
wTJ8u2,WT8u2,0,0.7272727272727273,0.9090909090909091
sVAmB,sVAmpB,0,0.9090909090909091,0.9090909090909091
HPo4sjO,HPo4SO,0,0.7692307692307693,0.9230769230769231
a6T2dL8ALw,a62d8Aw,0,0.8235294117647058,0.8235294117647058
7ArrxDt,7ArrxDt,1,1.0,1.0
rQ9P,rq9P,0,0.75,1.0
R0RVsoI,R0RvS0I,0,0.5714285714285714,0.8571428571428571
