Actual Solution,Predicted Solution
u7IzxB27,u71hx321
EWEGWy,EWEG5
1iqnK,iqK
NTMY,NTMY
6CuIfoJI,F04r n0j
IcnP8ZHN3,ICMP8Z+N3
l82rQLx,1821qL
O2qd,o2qd
7y6Gx,ZQBX
toV80,tov80
NT5I8,NT5IP8
wSIemQ,wSlemq
SIC4dE,SIC4E
YUE8OM,YUE8OM
RQGP4,RQGPA4
Q6hYSrV,a64ysW
sNeDn4,SNeDr
WJpfeW3,WpfeW3
N4UTX,NAUX
tlxugCp,14lgcp
3RX7,3k7
j4BYX3a,ABX3a
mPM9VYw,mp9vyw
BREV,BREV
jXyyBvF,B6V
kavo9kmz,aVogkmz
s9QLJFiBH,S90V1FiBH
AQH2,AQH2
iXm38Z,iAm38Z
r029WRONt,roowroot
yaJQ,y2q0
CA56,CA56
ONlB1wQ,ONLBIWQ
MVNY,1234567890
z9Yk,Z9Yk
QCHbsq,qCHbSa
gBlQEs,PSQES
EqcNMkrtD,EPCYMKWD
Te1wlFjO,TeMFO
gqd64yVj1,a64yv1
JL2Jx8,JL2Jx8
UVEA,1234567890
YMBC,YMEC
WMYD,MNVD
NFZY,NFZY
FhOFwgz,fW0FwgZ
hMr465k,wM65k
WJQY,t3jy
Rlhlu,Rhu
TKUYJu,KUJU
4tjE,4tE
3GLwASnR,3GLwAsnR
mKaWdDIE,mykawddie
IiOw2X,I0w2x
s2hMBlQe,s2hM8Qe
SCpi6oX,scipiox
aslZ6,asiz6
nJe6cth3,meoctw
Ib1OL9wm0,1B10880
a1Yope,alx2e
KsmCS057j,ksmcS051
M9AV,M9AV
wM6Q,WM6Q
tTDj,tTDj
D0HTZC,DOTZC
SKkTE4q1,SKk7E49
8ykKt,8kkt
N25M,N25M
BO4Or4da,b0404d
Dbz56d6d,dbz6d6d
eONr,eONr
ToKe834,ToG834
gI1KqS,gVKqs
iWobQsUilx,iWbpsulx
mme42a,mmeDaa
Xdq0J,xPbJ
K5V3,K5V3
Ks2nY7TlF,hs2nvtf
WUU0Gwi,wU0Gni
6CCE,6CCE
eISe,eSe
BurA,BuRA
78uv,184v
ZIVOok,Z1v00k
BQ2d4Tw16,BQ2d4TN16
JLKC,1IKC
3XRnZ,CAPTCHA text: 3p4z
dgbYhFdZD,8WfDzQ
JNe6s,Jve6s
GZ7s,GZ7s
6PYXX,6pxt
qbKLWbdpI,1234567890
8P8B,4k3
B0Y9SnG2ps,Boysngaps
RZTP,RZTP
f7jV9xXA,7y9s+A
8v9OWrgY,8v0ryg
9MV4MoI,9mv4moi
IWKa,wa
1Otfmotv,dimonv
rENR,RENP
H2P7,0p7
FRGH,KROH
UWy8wE,UWJ8we
Lz0NeV,IzonEv
GJ6OX,GJ60X
QEF5,QEF5
rSbD2,rSbd2
FKzAOwC,FXZAWC
NKDG,NXPQ
CNlnczX,Cncvx
IIBL,AB2002
NEPHjWCA6,NephInCA6
CERI,CER
D3YBa,D3YBA
TxUwufSyZ,tumfSy
UhLcPnT,uNc0nt
e81Yi2,e81k12
X9NSh,1h4
BYYr,BYW
SUBILP,SUBLP
Va5pu,va5pu
0vzPwp1G,04epw4G
WT8C,WT8C
I101,Kol
Mg1Yy3NI,MGWY3N1
zn1hpr2V,ZyhrnyV
Tzh97f,Teh0yj
o4rbSY,0416SY
w47ffxzo,w3jfxZO
D3ehtk,D3h1k
Rj8GuPR,RISGUR
7kSsqIdxy,14p8s5y
9MTL7,9VX7
9Gar1Y,gArlyY
5a9gHYNz,5g9gHkZ
8ikx,0j_kx
4L6jquLQ,4L0jqulq
QO5T,Q05t
35GY,The CAPTCHA text is "5h4p".
7zXuW,7Zxuw
GPT2,GPT2
xoUAOlJyf,xOUA9JYf
gr5PXu,"5u"
voLrGsb,volr0sb
GFWF,GFwF
YLSJ,YbJ
hz0g60,h20g60
QxxS3NaF,xt3N0F
xq6Kr,t96K4
lJRhOA,1lrhoa
AKmA,AKmA
Dbak9,DBAK9
MTbL,MTbL
5gLpF,JgPf
stQ1RjYuaX,STOPJUAX
JAI8g1,W1897
PZNX,ZATX
DEERRqCA,DEERRQCA
E0Kg,EOkga
wE70RP,WE70RP
CGOJ,eou
p3dDZo,p3dD>0
dXTy,dXTy
756xATOXz,7564AT0TZ
BDdYv,BDQW
VMU6,VMUB
zhul,Zhul
gjHfslxy,jH9lxY
nJDWV,1D4W4
r5sXKa,r5s4ka
Um8KQ,Um3KQ
3kUIlN,3KU1Y
sUjkbopF,SUjkboF
pFTx,pwx
EYMO,EYAO
HqyHfaQG,HoHyaQG
kxKZc2cE,KzCE
B4693Wl,B4693W1
vsqb,1sEb
f63rPFQ6,f63rPFQ6
CZklTCrX,czator
ocoH,00OH
UYPGQc9,UapGqc9
d0zewy,d0z0w0y
hbrWOFWWE5,H0W0F0W3S
vykH73q,WKM3a
ISdS,1S&$
hBR8NdYzU,ABRvNdz-U
FGesJo,FgesJo
BECG,BAC
aG6xxKjc,aG0xxkjc
yaPF,yAPF
bV7I2P,bV7z2P
32keYvzd,32key1vzd
9PabzeS,Pabzes
JtWDW,JtWdw
6GgeN2,6G9pN2
BxUVMX,Bxw
UduGd,UdUgdl
JPUETuB,JPUETUB
wcxy,wxcxy
njkR9IVv,n-kR9Nz
aKCs,akcs
W53E,W5E
a9ZK,agzy
xlx2iLN,X1m2vLN
qbNSnmSK,KNSmnsk
ECKCP,Eckop
HS0bhBod0,HSoBhBodO
AJHL,ATH
dsFKZAF,dsWZAF
FPK4hI,FP4W
EHJR,C123
MgLP,Ms8LP
K6s88,K6s88
r0nTiv,r0ntiv
ZJ9M,W9L2
E2RBM,ERBM
hYK9LS,hYk9ls
k4kdBYOR,441DBYOR
fjYjQPG,fYiQPG
BmREM,BUREM
Z2TBt,72KBt
qK06,0k06
QVUE,AVUE
KVM1EpUo,KVM1EPUO
ZwMiMqT4,ZnMi4qT4
Y8HNsPX,Y8HNSP
mfVj8QsGa,mfV8gscga
nzsJwR6,mSjwe6
Q47KE5I,047KE51
zjQxXtP3y,z0rkPy
kmNSD,kMNsd
Bsrr33,Bsv33
EAseB,EaseR
PCpKJQt,PCP9YQ
RUt9,R19
AGM2,AGM2
LOWR,LOVE
YqaIR,YQAR
oxU0LAy8xy,0xU0LV8X
PU5F,PU5F
eVgprpQ,evgrpQ
CFB45ZiRz,CFBA54RZ
Gwpvb,Gwpvb
cBGNJ5RGK,CBGN5RGK
HBImHb6Pu,HBIhboiu
4wCkb,awCkb
QZ2fRl1uL,Z2rLUL
JFCw8,FCzg
an3tOTYpT,an3t0g3rt
ubIXy,uixan
0iWB,0iWB
jqxA,JQXA
joNgi,jONgI
N8KW,N3A2
4BdnKiLA,AB123456
eWlRhZ4,EWLPHZ4
9UXB,9UB
527T,521T
0AMlVJ,0AMVIJ
1qB75Z,1qB75Z
OOB22,OOB22
XNWR,XNWR
355gJ,5591
Oc0IX,oCA4y
Da1NC,D2NC
0vifH,0VfH
F30tcKaq,F30xCK09
ngyECdmB,ngyECdmB
V5BF,V5BF
7VRXJ,XIRUJ
BbVZ,Bvz
OfhW31Z,ohw3n
ZHh5J,Zhh3j
8QS3,3k7p
OqiT882,0wT882
K25h2NPvm,K232NPZm
By8oxgxL,By%0X8XL
lmNJP,1mNp
XJN8,XN8
YRHD,VRHD
DZRJ,DAR
SOLU,1234567890
2Oa3mk6M,2088mK6M
k8xtwaS9,k84zz0s9
rbzCLeo8,rbzcv08
87hrOX,8hr01
3KazTIUC,aztiuc
PzLSrblds,R3Y3S16W3S
O7Li,07L:i
pJi1ma3jj,PZ7ma3j
6Zz1bmZRG,6Z21bmTR6
XAu5,Y4US
Q6ls,Q6fs
DmHqP,DmHq
DCJr,DCJF
noho,10ho
8FKY,8Fky
luztjq5nP,W1495np
7AFZ,7Ae
63XW,63XW
994U,994c
Qj1o,Pj10
8nIPe,8ipe
12EY1,12e41
FUUW,E3X4W
8VFW,8vFW
bkPklyLr,bkwlyLr
OQUSeD,oQUSEdO
3zYIfZPd,3y3pd
EV5XS,The CAPTCHA text is "EVQX".
0HHTNxW5B,OH3NXX5B
dTNbh,qTNbh
rZP1nD3t,rZPln3r
Eea8HnIr,Epa8hn-1
klvsz3J,k1v53
HSbFR3,HsBMr3
BTni,B7m4
HtLg0jcleu,htlg0icru
BDTQ,B0T0X
YYjY,WYWWY
VUGb,VuGb
ongvXd,0N6NkX
YA58,YA58
OK57Qwb,OK5Qwb
d4lSP,d4sP
BNRptg1B,Byrptg1B
FWKX,Fw1
RXOLyuju,RqALu
AWTG,Q4FG
7H2W6,7p2w5
IGqsg,iGAsg
v7rA,v7rA
8qZ5,qgz
6F86IaDX,6F81AD0X
HCSTA,HLSTA
QqJR6OH,QAJROOH
7LWx,1234567890
TsNxW,7SvxW
wtGE8fU,WTCF8FU
EJOP,3678
ZRtq,ZRA
TwgiV,TWGV
pLmLD3,p1mLd3
juGz,1Gc
X7EW,XEN
3S8ZS,3823
jBUZHl0,jBuzH0
AOOzkW,AooZrw
TVTxUrkX,VTXURKX
aWWC,awmac
sPjnBebG,spinbembg
A7JY,MNJ
Ip8e,Ipg2
orCoycl,orcoya
iEkaLk2OE,iEkalk20E
FFVm9KdY,FFVmy9kY
79C9,7909
KtjKA,KtjA
epZf,epZf
SdW5JgVB,sdw5JgYB
m8MeY,m00mey
VFCR,VFCR
JJCA,3E3A
pHtdCyN,pytdcYN
pHgsG,PHgSG
vcntkc,VenkO
4z22BN,4z22Bv
MQsDbxdHL,MOODbr0th3r
fCdAm,fedAm
UhoE,UhoE
uPMVW,UPMVW
rTHb,Hb
FU6dV,FU6dW
nzu8Ll91,1234567890
bEvX,bevx
FN6Ztm9Q,FV6Ztm9Q
EXSBN,Esra
AojQ,Aojo
Wohv,WohV
tlmx,tymx
JIpTEz,Moxen
2RtZl,2rIzI1
kj4M,LV4M
vsocisa,1SOcnsa
KyWhy,kvWhy
bKIzC9,6AC9
pIDjAHF,vIDj7F
F3IY,F3WY
LE80i,Lef80i
cOFJsra,cofsxa
qKwiL4,0wW14
YZSR,YsR
FPXP,E0K3
CbKnS,okaps
4pc5,APC5
bwxc,bwfc
oiWUuER,oiWUuER
5O994gFz,5099armz
YmROUl,ympool
aofm,0fm
RcWW,RCNW
uNKCC,UNKCC
u0TJiQQU,u07J0ppu
3JQX,3QY
CBFc42,CpC42
mSZTAw93,mS^AW93
pjiP0kXJ,1p0syj
sLFUx13,SL = UX+3
kAdge1k,kAdgelk
wMYf3aA8r,WYX3d48r
FgHt6RvdR,FGHXRORVR
8RZb4V78,8rZb4V78
CvPjq,CVP9
jOB4,job4
bNIII,6n11I
6VpYGj,6vpYGj
X8x0,X8x0
T3cLX,7CXX
FXT5,FXT5
A1wqRYLZ8K,1wTRVL18K
xyJdd5Ktp,ryjd5ktp
DQDINbiLyW,0D1i`viyw
yKKz4jmb,YKZ4mb
un4uZ,unaz
kSlJo,lsJo
Ha9d,Mgdp
FBAP,FQAP
8JFuFjlMJw,8Jfu4mJw
BzkcsXFr,BKCXSF
CPBQ,1234567890
9vmuy7,amally7
BEAB,BEATR
HO0Ep9,HO09P9
WpAH,W4AH
rzoaZ,RZOA7
G6hDnRU,Gohongu
5BfpFl,jBfpF1
59HaI,59HAI
SNCaS,G44
MaQ0Xt,MaQ0xt
9NeBTyQ,9NEBTvq
MXtT1jtEG,Mht7jEG
oKY0M3wpK,OK-0M3z-pK
45AT,45AT
SENVK,SATX
Y317,Y317
7GAM,GAM1
1SiHGF2WM,1syHGe2Wm
5tI1,54
a85o,a850
qFb4od,qFb40d
PLdSVZ,PdsVZ
6QDM,SODM
99VD,9QVD
a3HtWeOt,abhtwet
HG6Q,H005
CYPSY,Gy8y
QWRV,1234567890
0F6EfGs,OF6bFGS
GXvqkiVB,GXVakivB
9w1aHhl,1234567890
YCLQ,1234567890
gcGLooxS,C0G4AXS
djKYv3jGW,qjKYv3iGW
GXPOz,gXPOv
zJxFdBg,zJxFdB9
1U8FY,uFy
VUEsz,VUESZ
I7vv,17w
QOGsKRqI,OGSKRQI
icxZiUo,icxziuvo
6mor,6mOr
JjAT,JAT
g3dlPeKC,"qz3PEKC"
Kc5e,K3E
AR6N,ARGN
fR5x,Rox
