Actual Solution,Predicted Solution,Result,Similarity,Similarity (Non Case-Sensitive)
5Riv0BjzY,SRIVOBUZ,0,0.23529411764705882,0.5882352941176471
0zGJn,OZarp,0,0.0,0.2
wrNsq7SP,wNSa7SP,0,0.6666666666666666,0.8
Q7HYmpN,q7hYmPn,0,0.42857142857142855,1.0
gRvaR5,GrYArS5,0,0.15384615384615385,0.7692307692307693
2Y3gZM,2Y3gZM,1,1.0,1.0
Usinkt1tR,UsInKItR,0,0.5882352941176471,0.8235294117647058
DywXxJj,DyW+Xjj,0,0.5714285714285714,0.8571428571428571
A7M5Y3Zo,A7M5J3Z0,0,0.75,0.75
Xg33RNxh,X83RNVXh,0,0.625,0.75
0evFaD,OeVfAD,0,0.3333333333333333,0.8333333333333334
INZt,WmT,0,0.0,0.2857142857142857
88ONkkQ,88ONYAKO,0,0.5333333333333333,0.6666666666666666
WHQiFMsjV,WHqFMSv,0,0.5,0.875
jxQYo,ixqyo,0,0.4,0.8
sS2Wx5,SS2WX5,0,0.6666666666666666,1.0
sF5mLQ,Sf5mvic,0,0.3076923076923077,0.6153846153846154
sJdNsVhH,SJdnSVnhH,0,0.5882352941176471,0.9411764705882353
5xtW,5XtW,0,0.75,1.0
Sei9NFeC,Se1gNfEc,0,0.375,0.75
CAuIGBFUW,CMAGBFUN,0,0.7058823529411765,0.7058823529411765
v0A8M,V0A8M,0,0.8,1.0
jwSQl7N,WsQ17N,0,0.46153846153846156,0.7692307692307693
ZaH0,aH0,0,0.8571428571428571,0.8571428571428571
MPpbzUb,MPp6zUb,0,0.8571428571428571,0.8571428571428571
znbOa,zNboa,0,0.6,1.0
u0RHggs,U0RGGS,0,0.3076923076923077,0.9230769230769231
mgtf,m00tf,0,0.6666666666666666,0.6666666666666666
T9f4x,9f4x,0,0.8888888888888888,0.8888888888888888
MP5A,Mp5A,0,0.75,1.0
174CFY,17AC4,0,0.5454545454545454,0.5454545454545454
EkOkKq,EkOKkq,0,0.8333333333333334,1.0
4MF5fgX,AWP5f6x,0,0.2857142857142857,0.42857142857142855
FLfj,F<t;j,0,0.4444444444444444,0.4444444444444444
vWklI5,Vwkl5,0,0.5454545454545454,0.9090909090909091
K5SfkR,k5fkR,0,0.7272727272727273,0.9090909090909091
i3AMBwZR8,i3AMBWZR8,0,0.8888888888888888,1.0
8Z04,8Z04,1,1.0,1.0
6MMAWogLU,6MnIOgLU,0,0.5882352941176471,0.7058823529411765
bbxZ,bZXz,0,0.5,0.75
cQGv,CQG,0,0.5714285714285714,0.8571428571428571
8Z6EVZds,826EVeDS,0,0.5,0.75
wh93,whg3,0,0.75,0.75
nNlBpxb6,N1BPXv6,0,0.4,0.6666666666666666
UB5A,UB5A,1,1.0,1.0
WN6HrVA,Wn6yrKA,0,0.5714285714285714,0.7142857142857143
yaY0,y4y0,0,0.5,0.75
KvP7LyIqt,KvsZ7yI9t,0,0.6666666666666666,0.6666666666666666
PQojbq32,pqOj6932,0,0.375,0.75
HhToT,HnCOT,0,0.4,0.6
iDq2,iDq2,1,1.0,1.0
lKHiQ14e8,khiqA4e8,0,0.47058823529411764,0.8235294117647058
HArbk,HArbk,1,1.0,1.0
WkXNreB7l,wkxnREB7,0,0.35294117647058826,0.9411764705882353
gACmTP,gACmTP,1,1.0,1.0
PaxTq,P4XTQ,0,0.4,0.8
irMtPzBJ,iRMTsZB,0,0.4,0.8
vLgU,V1gC,0,0.25,0.5
NGxy,NQXY,0,0.25,0.75
lW3W7,Iw3W7,0,0.6,0.8
oJUcwdq0,ojccwd9,0,0.5333333333333333,0.6666666666666666
OeFJhMUj,oEWHmuj,0,0.13333333333333333,0.8
TOSD,WcEw2009,0,0.0,0.0
F5vyX,F5V,0,0.5,0.75
D3Jr6,D3jN6,0,0.6,0.8
gRFLUFg,gRFlUCFg,0,0.8,0.9333333333333333
UgefBrN,UsefBrN,0,0.8571428571428571,0.8571428571428571
DZXZ,DZX2,0,0.75,0.75
vyDz5,yOZ5,0,0.4444444444444444,0.6666666666666666
8Js6Zb,J5zB,0,0.2,0.6
K53E,K53E,1,1.0,1.0
ZNI9fRg,Zn19Fr0,0,0.2857142857142857,0.7142857142857143
JZdG,jzdG,0,0.5,1.0
71gM1BS,-t9m7BS,0,0.42857142857142855,0.42857142857142855
yfyef,Vryef,0,0.6,0.6
9ME6,9ME6,1,1.0,1.0
YwitW4l19V,Ywitw4179v,0,0.7,0.9
F9lEm,F9lEm,1,1.0,1.0
y8LifRQ,V8L1VRQ,0,0.5714285714285714,0.5714285714285714
s2hMBlQe,s24mB9e,0,0.5333333333333333,0.6666666666666666
TSEdh,TSEqh,0,0.8,0.8
2y0P0K6,2y0P0k6,0,0.8571428571428571,1.0
YM4A,Y4NKA,0,0.6666666666666666,0.6666666666666666
xnAKFeH,X4K7CH,0,0.3076923076923077,0.46153846153846156
AYPcs,A7pCS,0,0.2,0.8
PTIy,PIN355,0,0.4,0.4
bbzwOl5,BBZW0<5,0,0.14285714285714285,0.7142857142857143
CREC,CRRC45,0,0.6,0.6
F8fIXU,F8fINU,0,0.8333333333333334,0.8333333333333334
aa01MQ,AaoMQ,0,0.5454545454545454,0.7272727272727273
HHpze3W,HPZEW,0,0.3333333333333333,0.8333333333333334
EaQSGuH,EaQsGH,0,0.7692307692307693,0.9230769230769231
6h0BhL,6HOBHL,0,0.5,0.8333333333333334
waLVTzD,h4w7ZD,0,0.3076923076923077,0.46153846153846156
GWg14IGy,Gwg146A,0,0.5333333333333333,0.6666666666666666
ZFWE,ZNWE,0,0.75,0.75
T3jqYcS,F3i9YCS,0,0.42857142857142855,0.5714285714285714
bRwx,bRwx,1,1.0,1.0
qtAmBdJ,9tAmBdS,0,0.7142857142857143,0.7142857142857143
ZCuXd,yZ9wwxLOIy5,0,0.125,0.25
PvbVR,Pv3vR,0,0.6,0.8
MXR5,MXR5,1,1.0,1.0
p0QxOg,POQXOG,0,0.3333333333333333,0.8333333333333334
FNYQ,F1NyQ,0,0.6666666666666666,0.8888888888888888
vmAzI,Vm4z!,0,0.4,0.6
j29X2Z1j,129x2z41,0,0.5,0.75
C2v0zoDAdz,C2woz0dA,0,0.4444444444444444,0.5555555555555556
3GWP,sAWw,0,0.25,0.25
T6HM,T6IM,0,0.75,0.75
2qNXR,2qNxR,0,0.8,1.0
TM63Gqf,TM63CAj,0,0.5714285714285714,0.5714285714285714
ZV4SxS,Zv4Sr5,0,0.5,0.6666666666666666
zwdtq7,Wdt9,0,0.4,0.6
RXB3,RV88,0,0.25,0.25
n4iYjqXWb,n4ivjxwvb,0,0.5555555555555556,0.7777777777777778
sWRVOo,SWrVOO,0,0.5,1.0
TCFK,TCFK3W7Q9F,0,0.5714285714285714,0.5714285714285714
yd4Q,yL4Q,0,0.75,0.75
qCer,Xer,0,0.5714285714285714,0.5714285714285714
KOBW,iGgOW?,0,0.4,0.4
bNAW9suIx,bNAw9suW,0,0.7058823529411765,0.8235294117647058
DBdCH,dbdch!,0,0.18181818181818182,0.9090909090909091
J6JY,JS7X,0,0.25,0.25
x4at9yxPn,K4ATOYKPN,0,0.2222222222222222,0.6666666666666666
YODD,y0dKt5,0,0.0,0.4
rEXKKZsL9,Fx4kzSL9,0,0.23529411764705882,0.7058823529411765
XEmn,xEm9,0,0.5,0.75
WfyPsv,WfjpSv,0,0.5,0.8333333333333334
CyEjCO,cyEiCo,0,0.5,0.8333333333333334
