Actual Solution,Predicted Solution,Result,Similarity,Similarity (Non Case-Sensitive)
Z3UgS,2U95,0,0.2222222222222222,0.2222222222222222
eD06n,e06n,0,0.8888888888888888,0.8888888888888888
WJvY,WJVY,0,0.75,1.0
DsdNh,dsd7h,0,0.6,0.8
KAN2,KANW2,0,0.8888888888888888,0.8888888888888888
F43E,F4E,0,0.8571428571428571,0.8571428571428571
GHseO,GHS eo,0,0.5454545454545454,0.9090909090909091
bXs3Gvw,b+s3GLw,0,0.7142857142857143,0.7142857142857143
HDHH,HDNH,0,0.75,0.75
IXTL,X7A9,0,0.25,0.25
