Actual Solution,Predicted Solution,Result,Similarity,Similarity (Non Case-Sensitive)
1HVnL6,1HVnL6,1,1.0,1.0
FBEqqEv,FBEqEN,0,0.7692307692307693,0.7692307692307693
vZQMxTWBV,LMXTwBV,0,0.5,0.75
6KAHAVZm,6KAHAvkm,0,0.75,0.875
5R4M,5R4M,1,1.0,1.0
glBDv,gBDv,0,0.8888888888888888,0.8888888888888888
KhOOf,KhOof,0,0.8,1.0
rCEm,rdm,0,0.5714285714285714,0.5714285714285714
bOBF7AncK,60BFAnCK7,0,0.5555555555555556,0.6666666666666666
MN5H,MACH,0,0.5,0.5
OSYsj,OsYsJ,0,0.6,1.0
1tZb3BxJo,1763BXJ0,0,0.47058823529411764,0.5882352941176471
5YVmnBY,5YVmnBy,0,0.8571428571428571,1.0
AHrJ,AHrJ,1,1.0,1.0
L1Qd4X,LRddAx,0,0.3333333333333333,0.5
Mk6KDKzsys,MM6KDZSYS,0,0.42105263157894735,0.8421052631578947
WTXO,wTxO,0,0.5,1.0
wZs9N238,Wzs9N238,0,0.75,1.0
Qp1Cc4,qP1cC4,0,0.5,1.0
nbNP6,XNP6,0,0.6666666666666666,0.6666666666666666
j4WGX,j4WNGX,0,0.9090909090909091,0.9090909090909091
DQB6,DalphaB6,0,0.5,0.5
OfDo,OfDO,0,0.75,1.0
AkFxea,AkFtea,0,0.8333333333333334,0.8333333333333334
rSGjoOj,rSGooO,0,0.7692307692307693,0.7692307692307693
8z9JlJcY,8z9Jk,0,0.6153846153846154,0.6153846153846154
ylRTE,LRE,0,0.5,0.75
VCCZm,VCczrm,0,0.5454545454545454,0.9090909090909091
Vrd1,Vrdrd1,0,0.8,0.8
iz4OJuEZ,AOJUE,0,0.46153846153846156,0.6153846153846154
UHrJX6Kw,UH+Kw,0,0.6153846153846154,0.6153846153846154
2tgOv,2TGOv,0,0.6,1.0
tUcLG,tuCZG,0,0.4,0.8
rCoE94rvk,rCOREg4rVk,0,0.631578947368421,0.8421052631578947
SjEhG,SjEho,0,0.8,0.8
nBlg2YhAo,hBls2Yh0,0,0.5882352941176471,0.5882352941176471
G88ISS,G8lSS,0,0.7272727272727273,0.7272727272727273
HkGZF,HKGLF,0,0.6,0.8
3BJQhON,3BjhON,0,0.7692307692307693,0.9230769230769231
RnBTFQ8,RMBTFPQ8,0,0.8,0.8
aic8,a.iG8,0,0.6666666666666666,0.6666666666666666
MAtIe8E,MATIE8E,0,0.7142857142857143,1.0
QXcgS16CYr,excgS16cYr,0,0.7,0.9
koUD,k0uD,0,0.5,0.75
PAJP,PANP,0,0.75,0.75
yq8V,yq8V,1,1.0,1.0
zD8YHGiT,Z8Hgit,0,0.42857142857142855,0.8571428571428571
NV3NzvEjd,NV3NzVE,0,0.75,0.875
A3zSVRF,ABzSVrF,0,0.7142857142857143,0.8571428571428571
ieYeo,Vieo,0,0.6666666666666666,0.6666666666666666
sgJv,s8v,0,0.5714285714285714,0.5714285714285714
rpW96NO,pw96bvo,0,0.42857142857142855,0.7142857142857143
PlW26C,PW26C,0,0.9090909090909091,0.9090909090909091
3JaZL8l4e,3aZ8l4e,0,0.875,0.875
QGw2,QGW2,0,0.75,1.0
hUdgqIaw,nUdgqIaw,0,0.875,0.875
Up3GOv,UP3GOV,0,0.6666666666666666,1.0
E1NPR,E4NR,0,0.6666666666666666,0.6666666666666666
1mGAp,YmGAp,0,0.8,0.8
