Actual Solution,Predicted Solution
9NeBTyQ,9NEBTVQ
MaQ0Xt,maQ0+t
45AT,45AT
qFb4od,qFb40d
MXtT1jtEG,MattjitEG
oKY0M3wpK,OK0M3ZPK
5tI1,5m
SENVK,SwRqcm
ZIgv,7gn
Y317,Y317
7GAM,7GAM
1SiHGF2WM,1S!HGK2WM
PLdSVZ,Rdsvz
FXTG,Ktg3
a85o,a850
HG6Q,H6CQ
9w1aHhl,9w1AHM
6QDM,5QDM
QOGsKRqI,DOGSRQI
QWRV,Amble
99VD,99VD
djKYv3jGW,djKYV3jGW
a3HtWeOt,abHtweot
CYPSY,CYRSY
VUEsz,VUESZ
0F6EfGs,OF6EfGS
YCLQ,hFjQ
zJxFdBg,JxFdBg
GXvqkiVB,GXVakiVB
gcGLooxS,sC&Oo7s
I7vv,I7WV
1U8FY,1U8Y
GXPOz,GXrP0Z
g3dlPeKC,3pCKC
nyAJ,nVaj
Kc5e,Kc5E
Wah4j,w4h4j
DNPB,DNPE
icxZiUo,iCxziVuO
1yd4O,1/dA0
6mor,6mOr
4PME,BNE5
AR6N,AR6N
JjAT,JjAT
SO1r,S01V
xct0,XCt0
HJWU,HlMS
qe9kb6Ss,aEg9b6ss
kR3SVWd,KRsVED
fR5x,fR5x
NM5J,DW55
Yplkz,m0kz
UtWd20XC,UW020C
T9GPG,T9CRJ
63M5,63M5
8h13,g8nb3
Tta7p,Tta7p
XvBRi0W,XVBRJIOW
Qa5e8,p4se8
WCw0,WCW0
1iqnK,liqK
NTMY,NTMY
6CuIfoJI,ouirfqj
IcnP8ZHN3,IGWp8ZHN3
l82rQLx,/82rQL
NT5I8,K75P8
O2qd,O29d
7y6Gx,7V6GX
toV80,tOV80
WJpfeW3,WjpfeW3
YUE8OM,YU3B0M
wSIemQ,wslEq
SIC4dE,SiCAL3
RQGP4,RQGP4
mPM9VYw,mPmQVYw
N4UTX,MAUX
Q6hYSrV,q64SYV
sNeDn4,SNdN4
z9Yk,ZgYk
tlxugCp,rImGcp
3RX7,JRV
s9QLJFiBH,S9QLFIBH
AQH2,AqH2
BREV,BREV
j4BYX3a,ABJ43O
kavo9kmz,tavOgkmz
jXyyBvF,JAYyBVF
r029WRONt,r09Wr0T
MVNY,x5aU
iXm38Z,i7m38Z
CA56,CA56
yaJQ,yaIQ
ONlB1wQ,ON1B1WQ
Te1wlFjO,TeMfO
gBlQEs,AbjOes
UVEA,Ux9L8
EqcNMkrtD,E9CVMKWD
JL2Jx8,JL2Jx8
QCHbsq,qCHbSa
gqd64yVj1,qg064yv
YMBC,YMEC
NFZY,NFZY
WMYD,MYD
4tjE,4tE
Rlhlu,RhU
FhOFwgz,fnOfwgZ
hMr465k,M7x65k
3GLwASnR,3GLwAsnR
WJQY,IJoyQ??
mKaWdDIE,mkawddie
IiOw2X,Li.Ow2x
TKUYJu,UkUu
nJe6cth3,meatw
aslZ6,aSIZ6
s2hMBlQe,s2hM8Qe
SCpi6oX,ScPiJ0x
Ib1OL9wm0,5t10b90
KsmCS057j,Ks mCS05j
M9AV,MgAV
a1Yope,anive
D0HTZC,DOHTZC
wM6Q,WM50a
SKkTE4q1,Skk7E49I
tTDj,tTDj
8ykKt,9KKT
N25M,N25M
BO4Or4da,B0404a
eONr,eonY
Dbz56d6d,pbXd6d
Xdq0J,x&90J
ToKe834,To834
gI1KqS,gIKa5
iWobQsUilx,inOb9SUI1x
mme42a,mme4x2
WUU0Gwi,WUU0qwi
K5V3,K5V3
Ks2nY7TlF,Ks2wjfk
eISe,vSe
6CCE,6CCE
voLrGsb,v0LR&sb
3XRnZ,3xpz
BurA,BUwA
78uv,184V
ZIVOok,ZIVook
BQ2d4Tw16,BQ2dTW16
9MV4MoI,QnV4nOI
JLKC,JKC
GZ7s,GZ1S
qbKLWbdpI,qbKcWbdpI
dgbYhFdZD,gWhFdZ
JNe6s,Jnce6s
6PYXX,6P5XY
B0Y9SnG2ps,BdX9sNG2ps
CNlnczX,CncVx
8P8B,B8BB
NEPHjWCA6,nEpHIWcA6
D3ehtk,Drehnk
RZTP,RZTP
xq6Kr,X96KY
CERI,CERI
f7jV9xXA,7V9n+A
8v9OWrgY,8Vo0RGy
BDdYv,BDqW
IWKa,W*a
H2P7,m2p7
e81Yi2,e81k12
1Otfmotv,-dm0v
rENR,RENP
Lz0NeV,lZONEV
FRGH,ARoH
35GY,56Y
QEF5,QEFS
FKzAOwC,FKZAOWC
UWy8wE,UWY8wE
UhLcPnT,UNcPNt
GJ6OX,GJ60X
7zXuW,7LxUw
NKDG,MyDG
xoUAOlJyf,xOUaQJf
o4rbSY,O4NbSY
rSbD2,rSBD2
D3YBa,D3yBA
wE70RP,WE70RP
TxUwufSyZ,TronuTSyz
IIBL,NBLEt007
0vzPwp1G,0U-PWG
9PabzeS,Pabzes
Mg1Yy3NI,MGNYAN!
SUBILP,SUBLP
hz0g60,h70g60
p3dDZo,p3dD>0
X9NSh,X6Sh
BYYr,BYR
Va5pu,VaspU
GFWF,GFPWF
YLSJ,YbJ
7kSsqIdxy,mksq1axY
CGOJ,GgqJ
756xATOXz,756AGOTZ
WT8C,WT8C
I101,K0l
zn1hpr2V,ZVhnpR2V
Tzh97f,T2h9
lJRhOA,l1rhoA
dXTy,dXTy
QxxS3NaF,qXrS3N0F
Rj8GuPR,BisGUr
QO5T,QOS7
w47ffxzo,w7axZo
8ikx,siKx
4L6jquLQ,4L6jqULq
GPT2,GPT2
gr5PXu,gsPrU
9Gar1Y,9Gax1Y
9MTL7,9MKL7
5a9gHYNz,5a9gHWZ
AKmA,AKmA
Dbak9,DBAK9
5gLpF,5gLPFL
MTbL,MTbL
stQ1RjYuaX,stayJUAX
JAI8g1,M1851
PZNX,pZNX
DEERRqCA,DEFRROCA
E0Kg,E0Kt8
VMU6,VMLU6
gjHfslxy,gjHKS1xy
zhul,ZhUI
nJDWV,nDdWV
r5sXKa,m5hk4
3kUIlN,3NUI7N
sUjkbopF,SUjKbOF
Um8KQ,Um8kQ
pFTx,pvx
EYMO,Exa9
HqyHfaQG,HqYHaQG
kxKZc2cE,KzQCE
vsqb,vs2b
B4693Wl,B4bq3Wl
CZklTCrX,CZATcY
ocoH,cOOH
d0zewy,dOZewy
UYPGQc9,U1PGQC9
hbrWOFWWE5,hbfWofWes
ISdS,ISis
hBR8NdYzU,AB8WdU
f63rPFQ6,f63rPFQ6
vykH73q,Vkxm3a
FGesJo,FgeSJO
BECG,BECGC
yaPF,yapF
32keYvzd,32kcpVzd
aG6xxKjc,aGoXXkjc
bV7I2P,bV1P2P
JtWDW,JtWDW
6GgeN2,6GgPN2
UduGd,UdUGd
BxUVMX,BXuW
JPUETuB,JPUETUB
wcxy,wcXy
njkR9IVv,nXR9M
aKCs,aKCS
a9ZK,agZ4
xlx2iLN,XpwLN
W53E,WScE
qbNSnmSK,qbNSnmSK
ECKCP,EckoP
AJHL,A?HL
dsFKZAF,dSkZAF
HS0bhBod0,HSobhBod0
FPK4hI,FP+4W
MgLP,MsLP
EHJR,CFUP
K6s88,K6s88
r0nTiv,rontiv
ZJ9M,Zs9M
E2RBM,E2RBM
hYK9LS,YX96IS
k4kdBYOR,4kdbYOR
fjYjQPG,fYjQPG
Z2TBt,12<Bt
BmREM,BioREM
Y8HNsPX,Y8HNSPX
qK06,cX60
QVUE,qVVE
KVM1EpUo,NM1EPUO
ZwMiMqT4,ZnMiMT4
mfVj8QsGa,mV8ScA
nzsJwR6,MSJWR6
Q47KE5I,047KE51
zjQxXtP3y,jQxKPy
kmNSD,kmN5D
Bsrr33,BsV33
EAseB,EaseB
PCpKJQt,PCpVVQt
RUt9,Ruk9
AGM2,AGM2
YqaIR,yQ4IR
LOWR,W1f3(;;)
cBGNJ5RGK,CBGNj5RGK
eVgprpQ,EvgrpQ
oxU0LAy8xy,0xU0L475XV
CFB45ZiRz,cFBX5ZiRZ
Gwpvb,Gwpvb
PU5F,Pu5F
HBImHb6Pu,HBImhb6PU
juGz,MuGt
QZ2fRl1uL,pz2frVUL
JFCw8,JCZ8
Oc0IX,0CALA_X
4wCkb,wCVh
ubIXy,u8IxY
jqxA,J0XA
an3tOTYpT,qn3p0TYPt
0iWB,0iWB
4BdnKiLA,ABaNkzA
N8KW,N8WU
joNgi,jONgi
eWlRhZ4,EWLPRHZ4
OOB22,OOBN2
BbVZ,BbHz
0AMlVJ,0AMVJ
G6hDnRU,GohdnxU
9UXB,9UB
527T,521T
1qB75Z,1qB75Z
XNWR,XNWR
OqiT882,OvT882
ngyECdmB,ngyECdmbY
K25h2NPvm,K2H2NPm
355gJ,35591
By8oxgxL,By80XgXL
V5BF,V5BF
0vifH,OvFxH
79C9,79g9
F30tcKaq,F30CK0q
OfhW31Z,ow3J7
Da1NC,DaINC
7VRXJ,XrXJ
IGqsg,IGaSg
v7rA,v7rA
2Oa3mk6M,2093mk6M
994U,994U
ZHh5J,ZHh5J
8QS3,60nB
YRHD,RHD
DZRJ,D/B
lmNJP,mnWp
bkPklyLr,bkPwlYLN
k8xtwaS9,k8xuas9
Q6ls,Q615
XJN8,XN8
noho,n0hO
SOLU,2a4f?
Eea8HnIr,Epa8Hn/t
8FKY,8EKY
3KazTIUC,PraZTIUC
rbzCLeo8,rmcye08
87hrOX,8mrox
PzLSrblds,RVfs6Vds
pJi1ma3jj,ReIlma3j
6Zz1bmZRG,6ZZ1bmZR6
O7Li,0/vi
XAu5,xAvS
8VFW,8VFW
DCJr,DCJr
DmHqP,DmHbq
Qj1o,Pjl0
FWKX,FWMJCH
luztjq5nP,U1-95nP
rZP1nD3t,rzPLnB3t
7AFZ,7A6s
63XW,63XW
8nIPe,MqPe
3zYIfZPd,3wf1pd
12EY1,12E4T
FUUW,Boom???
EV5XS,EV5YS
OK57Qwb,OK5jQwb
OQUSeD,QUSED
dTNbh,dTNbh
BNRptg1B,BNrptdB
0HHTNxW5B,OHHNXN5B
klvsz3J,kW53J
VUGb,VuGb
ZRtq,ZR4A
HSbFR3,HsBwR3
BDTQ,Broter?
BTni,BTin
HtLg0jcleu,HtLg0cEu
YYjY,VJY
QqJR6OH,QAJr6OH
ongvXd,0NWj
TsNxW,SNXW
d4lSP,O4aSp
RXOLyuju,R5OLyuU
YA58,YA58
TwgiV,TwGIV
7H2W6,7P1W6
HCSTA,hysta
7LWx,gWR4
AWTG,AntG...?
8qZ5,8q75
6F86IaDX,6F8700X
EJOP,Eoog
wtGE8fU,WTG85FU
AOOzkW,AOoZkW
pLmLD3,PlmLD3
sPjnBebG,SpInBEg
AojQ,Aoje
X7EW,XtEN
3S8ZS,3Sb3
EXSBN,EYSA
tlmx,t\mx
Wohv,WohV
jBUZHl0,jBUZH0
TVTxUrkX,VtxurKX
FFVm9KdY,EEVm9kDY
4pc5,4PC5
2RtZl,2RtZl
rTHb,Hb
JIpTEz,Aosen
orCoycl,ORvoyC
aWWC,aWNC
A7JY,AJUN
Ip8e,Ip8e
KtjKA,tjkCA
iEkaLk2OE,IEkAtK20E
FU6dV,PU6aV
m8MeY,mONEY
VFCR,VFCR
nzu8Ll91,nzu81a
kj4M,kV4m
59HaI,59H4I
4z22BN,4I22B
vsocisa,VSOCasa
epZf,epZf
SdW5JgVB,sdW5JvB
bEvX,bfVX
SNCaS,Sn9as
JJCA,JSCA???
KyWhy,KVnqx
pHtdCyN,pFtdcYN
FN6Ztm9Q,FNoZtm9Q
MQsDbxdHL,MqSDbXdHtH
pHgsG,PhgSG
UhoE,Uh0E
fCdAm,IsqAm
vcntkc,VcntkC
uPMVW,UPMVW
pIDjAHF,PDjAHF
bKIzC9,bRALC9
bNIII,bNl1
cOFJsra,COFJSTA
YZSR,V2R
aofm,q0fm
LE80i,Lf80i
RcWW,RCNW
FPXP,oKdP
qKwiL4,aWvL4
HO0Ep9,HOOFp9
u0TJiQQU,u07JippU
CbKnS,obkips
oiWUuER,OiWUR
bwxc,bw4c
xyJdd5Ktp,xy3dq5ktp
DQDINbiLyW,DQDI7ViW
YmROUl,YmBOUL
F3IY,F3W
3JQX,3Dx
5O994gFz,509945mZ
WpAH,WoAH
uNKCC,UNIkCC
CBFc42,CBfC42
kAdge1k,kAdgElk
yKKz4jmb,vKKz4mb
un4uZ,un4uz
6VpYGj,6vpYGj
pjiP0kXJ,Pj.p0KXJ
CvPjq,CVPj9
wMYf3aA8r,WNY3oA8
mSZTAw93,mSZKAw93
sLFUx13,SL4UX13
FgHt6RvdR,fghvRvR
jOB4,jOB4
rzoaZ,R10Az
BEAB,BEAR???
9vmuy7,Ymv'1
8RZb4V78,8RZb4V18
5BfpFl,$BffpF1
A1wqRYLZ8K,A1wQRyL18K
8JFuFjlMJw,8JFUxJMSW
kSlJo,ksljo
Ha9d,ha9d
X8x0,X8X0
FXT5,FXT5
CPBQ,Obn4
FBAP,TbAp
BzkcsXFr,BZGCXFr
T3cLX,T3CX
