Actual Solution,Predicted Solution
mreNFH,mreNT̂H
gBPC,gaBPC
MycA,MyCA
AmA5,AmA45
6f1N,6f^1W
s0hbX44r,s0nbX4Ar
HmIdNRAi,Hm/dNRAi
ES43bZzLG,E$43bz≥LG
SKNC1pBZ,SkvCrpBz
4mugcJQ6i,4mu8Cyxq61
P7DRqxJ,PzDR9xJ
wuZfWIk,wuZfwIk
U8I2dz9U,u8rdZgU
PDmX,PDmX
bTXu03,brXuo03
Soky,s0ky
jAXmg0C8,jAXm80C8
f20SU8wLq,f20Scs8zLq
4oaWXB,ΔOawXB
r9aq86f,r9a986f
S2cfpbVY,s2cfpdyY
KQ5Ao,KQ5A0
5fb0DdICz,5fb0DqCz
bXs3Gvw,b+s3GLw
ivl17vEAhr,iMVEAr
SIbw2QT,S1bw2QT
EfKNI,EfK7
oXltLEgpD,Ox1KEg
TXI3OGuNrA,TX\30GUnrA
RDaeDXieyE,RdaepXieyz
AxI13b,Ax/3b
oxG0er,0xG0er
k5cn,k5Cn
JxR15USt9,4RI3ωst9
Of3ERv9P,OBERV9p
Bb8cAqu,BB8CAQU
R0RVsoI,R0RvSOl
6IQvxSC,6IQvXSC
yMHvKwqz,YMWKWa2
l39QcBMO,B9QCSM0
norJ,norJ
TtnY,TtnyY
nDnC,nDnc
Y6kez0,γσκε>0
a6T2dL8ALw,a6τ2d68AΔw
Soky,s0ky
w34empDx,437emppD1
WHXlb,WxALB
F0HA,F0HA
FknWp,FknWp
oAxRGkU,oAxRGku
Myn4oMVt,MyN4qwkt
c8t2SeOe,c8Kseoe
SKUzX,sKUzX
ucs5Czr5q1,ucS5cx5q1
0SFBxC,0SfBxC
bK7M09o0j,bK7M09o0j
S2cfpbVY,s2cfpdYY
EKCTxLB,EKCTXLB
dYHHgRYM,DYhHGRyM
7ChQ0u,7HAoU
FXZPRq1o,FtzPRa1O
y0TQJM,y0T@JM
we36D,We36D
lWDOyI,1wDOyl
qYwFVpl,qYWAWV9
M5qbW,M5qbw
FXZPRq1o,F+zPR^1O
AQXF,aQF
xD1R2SVh1y,x0JR2SVhy
AKSpZ2,Aksρ≥2
7ZumqX,74umqx
mNgzV6Q,MWGZv6c
uyfZUKtHj,ayℵUκtHj
gRSl519HgP,gRS/519HgP
fRY9yKYF,fR9ykYF
lGil1,Gyl1
OxxL2F56,QxHl2F56
qBoG,cBOG
Gj9fY,Gj9fY
vlKzCC,vLkZcc
QfcX226NZ,QxCX2v6Nz
OinJ5bmK8t,OiBny8t
5IrOQqj8J,5ArOoQq;8J
gKLZ,gKlz
w98Lg,w98Lg
DCfYiR,DCfNiR
OeC09hON,OEco960N
dV2yg,dV∂g
W1fC67,W1fC6
YNRiSMw,YARISMV
BMurbive,BMurbive
zAsXBe,ZAsXBe
xpNVsXW,xPNVSxW
EKCTxLB,EKcTXLB
4ijSA9o,4ijsA9O
5LLdA,5VLdqA
I40D,I40D
sVAmB,sVAmB
RjGR,RjGR
D6tefAp,D6tefAp
l39QcBMO,β9QC8MO
vaGqEIg,VaGqEIg
Bb8cAqu,BB8CAQU
SHUGDrU90,SHUGDrUg0
TvhIk,Tvh^K
D5TIh,D5T/h
kOqJDq,kO9\dq
05Uj9uC3GB,05wj9Uc3GB
ZlB42D9cV1,V842D9cV
1sarItn2,rqScrIrtxn2
oxG0er,0xG0er
66LY,6σLY
GFA8L,GFA8L
N767,N167
xxAzeB,xXA2eB
lFT6N1C,zFbN1C
iqkE,iqkE
r8wjiXal,rsWjXa
XrLB9KJzC,xrLB9KJ4C
bqaiG,bqaiG
Yfdqj,Jf dqj
BIgQa,Bl&Qa
a6T2dL8ALw,a67r2d68Aw
bDlxmBLy,bolxnBLy
kOqJDq,kO9\DOq
guNqF,GUNQF
IHUW,lHUW
uoc1,uOc\
iFArJ,iFArJ
499cBa,49xBa
xL8wLLY,xL8wLLY
74QuJZfyd,AQwZfyd
oAswXua,07SwXua
D5TIh,D5T/h
N767,N167
UspAu1Q,Uspx7u1Q
FZvmf,FLVmf
HXgehTZK,HxgehTzK
EfMy3,EfM7Y3
jBozgcp2,jB0Zgcp2
zkTRf,ZkTRF
yMHvKwqz,xYVKwa2
8xvikjs,8xVzkS
FsUCjeB,FsuCjEB
oecICPJ5,OELICRJS
iqkE,iqkE
PMJEgnTEc,PzJEgnTEC
dear,dear
kXxtY,VXXtY
p9X0,p9X0
BIgQa,Bl8gQa
EKCTxLB,EKCTXLB
ZW9g7qS,Zw9g7qs
Y6kez0,y6Ke20
RkDzKkc,RkDZkkC
juDije7,jKDive7
0hDo,0`DO
nIM1qQGYw,nrm19oGYw
ERYm7,ERym7
jwNR9ThNfS,jWNR9Thvfs
GJTtmW,GJTkmW
nJ1uWpvV,nWrWp2V
1tYLZn8,lrYL≥ng
yaHo,2qHO
ZzHA,Z1AH
O833RXnR,833RzR
rPnQmX,rpnqmx
WTEXCj5,WTExcJs
8E8IOty,8E8IOtY
oAxRGkU,oAxRGku
ziHEd766,zHKC766
cXltBXx,cxlBtx
MWpsZkh,MwPs2Xh
h7rzWE,h7rZWE
bkGOvyFHG,bKGovJFHG
5fb0DdICz,5fb0DqCZ
XLTtTbs9,xLtbs9
H8br,H86r
xPud,Xpud
e0fY2,e0VY2
n79bY,n79bY
wS47h44jC,ws47hA4jc
TcKeNcV,TCkencv
7ChQ0u,7HqovU
i3v6Q98t,i3N6Q98t
3YYWj,3Yrwj
