Actual Solution,Predicted Solution,Result,Similarity,Similarity (Non Case-Sensitive)
OiC5u3Ka,oC5u3Ka,0,0.8,0.9333333333333333
ENC78,4C78,0,0.6666666666666666,0.6666666666666666
yIy2FAJFiv,Wy2FAJFiv,0,0.8421052631578947,0.8421052631578947
H8VA,H8VA,1,1.0,1.0
BYVM,BYVM,1,1.0,1.0
Vl3E,V13E,0,0.75,0.75
yzRN8,yZRN8,0,0.8,1.0
ejh5m,eyh5mm,0,0.7272727272727273,0.7272727272727273
83ykZ5YqUB,83yKZ5YaUB,0,0.8,0.9
RT6T,RT6T,1,1.0,1.0
hybu,hyvu,0,0.75,0.75
nZafmVaRH,nZamaVRH,0,0.8235294117647058,0.8235294117647058
X5ZK,x5zk,0,0.25,1.0
H1QPwjjJ,HVQPWjjJ,0,0.75,0.875
2yqaZI,2y9azI,0,0.6666666666666666,0.8333333333333334
BQgptvK,BQgpzVK,0,0.7142857142857143,0.8571428571428571
Wmts,wmtS,0,0.5,1.0
UHHQ,UHHQ,1,1.0,1.0
VRATH,NR4TH,0,0.6,0.6
nYxu5,nYxU5,0,0.8,1.0
duHlxe,DuHLXE,0,0.3333333333333333,1.0
hTzIdfgdOJ,hrzlbdgdOJ,0,0.7,0.7
JNRY,JNRy,0,0.75,1.0
kY53,kY53,1,1.0,1.0
ZOlE,zQE,0,0.2857142857142857,0.5714285714285714
CFE3,CFE3,1,1.0,1.0
Z6rXzu,z6rxzu,0,0.6666666666666666,1.0
Lq5bS,LA5bs,0,0.6,0.8
wftaC,wftaC,1,1.0,1.0
SQTV,w5JD,0,0.0,0.0
3ARrycl,3ArRC,0,0.5,0.8333333333333334
hznQ2F,hznQ2F,1,1.0,1.0
5VN4,5VN4,1,1.0,1.0
Yh9oCB,Yh90GB,0,0.6666666666666666,0.6666666666666666
BrniC,Bxiic,0,0.4,0.6
85AH,85AH,1,1.0,1.0
i2hUbvyxR,z2hUbvVk,0,0.5882352941176471,0.5882352941176471
LLNab,LLNab,1,1.0,1.0
PgJ2,pg)2,0,0.5,0.75
wtkav2vv2,wtka2vV,0,0.75,0.875
xFRiumdcZ,xFriuMacZ,0,0.6666666666666666,0.8888888888888888
CZ7VY,CzXiY,0,0.4,0.6
Azf8Z,A7f8Z,0,0.8,0.8
Fahxvt,FahXVt,0,0.6666666666666666,1.0
SdWI51J,sdWI5J,0,0.7692307692307693,0.9230769230769231
SYozvl5xO,sYozVBxo,0,0.47058823529411764,0.8235294117647058
MNYM,NNNM,0,0.25,0.25
UD5V,UD5V,1,1.0,1.0
mVfN,MVAN,0,0.5,0.75
rC5dAVFQ,rC5dAVFQ,1,1.0,1.0
YCRO,xCaLo,0,0.2222222222222222,0.4444444444444444
7G7AE,7G7AE,1,1.0,1.0
3GEPQF2,3GEPQAF2,0,0.9333333333333333,0.9333333333333333
UNy8JIpw8,UNhMpn8,0,0.375,0.375
Hs4x39,HS4x39,0,0.8333333333333334,1.0
VhD1bNu,vHD7bnU,0,0.2857142857142857,0.8571428571428571
9Uj0,9Uj0,1,1.0,1.0
2Y6k,2Y6k,1,1.0,1.0
CEN8,CEN8,1,1.0,1.0
S98MzR3,S98MXZRR3,0,0.75,0.875
uRveK,wRveK,0,0.8,0.8
S7LvWnRZ,sTVW2RL,0,0.13333333333333333,0.5333333333333333
JIILSp,j/IVSp,0,0.5,0.6666666666666666
KE3vnXd,kE3VnXd,0,0.7142857142857143,1.0
PggRB,pg8RB,0,0.6,0.8
KDVJ,cDRJ,0,0.5,0.5
j7t2bzGK,Jr2bZGk,0,0.4,0.8
XW4yW,XW4yW,1,1.0,1.0
YXRD,YXR2RZ,0,0.6,0.6
fKzvf,FxZvF,0,0.2,0.8
kkAfu,kAftU,0,0.6,0.8
gNeG,gveG,0,0.75,0.75
RvvbJ7,RVzbDj>,0,0.3076923076923077,0.6153846153846154
cQmay5FG,cQmAy5FG,0,0.875,1.0
1tckO4R,1rCKOXR,0,0.42857142857142855,0.7142857142857143
4na19I0,4WA1910,0,0.5714285714285714,0.7142857142857143
eJ88qY,ej88qY,0,0.8333333333333334,1.0
kuqdE,ku9dE,0,0.8,0.8
nPKR,nPrR,0,0.75,0.75
X8mg,t8mg,0,0.75,0.75
EG84,EG8A,0,0.75,0.75
m7WcainRa,m7WcainRa,1,1.0,1.0
AAEpg,AAEpg,1,1.0,1.0
h6tnpzy1,h6tnpZzA,0,0.75,0.75
1pS1SNwQ,-pS/SNwQ,0,0.75,0.75
PkRo1bnn,pkRQ1bhn,0,0.625,0.75
BbxN6h,BbXv6h,0,0.6666666666666666,0.8333333333333334
KKpojbkW,Kkporibkw,0,0.5882352941176471,0.8235294117647058
eswyr,eSwyr,0,0.8,1.0
s76V,s76v,0,0.75,1.0
H78hczN7,H18CZNZ7,0,0.25,0.75
CR63,CR63,1,1.0,1.0
rQFe,rOFe,0,0.75,0.75
znduWBOEh,2naUWBOEh,0,0.6666666666666666,0.7777777777777778
rc8G3EZ,rc8G3FZ,0,0.8571428571428571,0.8571428571428571
KQSW6,KQSW6,1,1.0,1.0
s2xo,S2X0,0,0.25,0.75
GQ4eDrM6,GQ4eDrM6,1,1.0,1.0
WXUQ,W4UQ,0,0.75,0.75
hyL1a,hxL1a,0,0.8,0.8
WI2HlKtzZb,W12hXtZ1b,0,0.5263157894736842,0.631578947368421
aWyd,aWyd,1,1.0,1.0
E2YQ,E2YqQ,0,0.8888888888888888,0.8888888888888888
18ZS,18zS,0,0.75,1.0
tiIpE,tiPE,0,0.6666666666666666,0.8888888888888888
sWiKLmwP,SWiKLmWp,0,0.625,1.0
vWJTOS,vWTS,0,0.8,0.8
h6xuu1sw,horuu1Sw,0,0.625,0.75
Mq6Dz,m96DZ,0,0.4,0.8
f89f6PaF35,f896pa435,0,0.7368421052631579,0.8421052631578947
qr4BN,ar4BN,0,0.8,0.8
wfcRG,WfCRG,0,0.6,1.0
aL8grEV,aL8grEL,0,0.8571428571428571,0.8571428571428571
JQex,JQer,0,0.75,0.75
y0TQJM,yOT@JM,0,0.6666666666666666,0.6666666666666666
v6ZP,26ZP,0,0.75,0.75
NDYQ,NDY2Q,0,0.8888888888888888,0.8888888888888888
VCDA70848,vCDA1>084d,0,0.631578947368421,0.7368421052631579
qjQglhG28,qPg\hG28,0,0.7058823529411765,0.7058823529411765
G914K,G9d4K,0,0.8,0.8
WsW37eLln,WSW37eL1n,0,0.7777777777777778,0.8888888888888888
CQPP,CQPXR,0,0.6666666666666666,0.6666666666666666
ALQD,ALQD,1,1.0,1.0
7ula8,7uvas,0,0.6,0.6
MRXWS,Mrxws,0,0.2,1.0
s2KkQ,S2KkQ,0,0.8,1.0
aa9z,aa9z,1,1.0,1.0
H2P9j,H2P9j,1,1.0,1.0
M7Xjg1,mA1Xjgl,0,0.46153846153846156,0.6153846153846154
tPkf,rPk,0,0.5714285714285714,0.5714285714285714
g4fMAsnM,g4fMAnM,0,0.9333333333333333,0.9333333333333333
JNXJ,KNCUJ,0,0.2222222222222222,0.2222222222222222
APRVOxN7lh,APRV0xN7w,0,0.7368421052631579,0.7368421052631579
o48L,048L,0,0.75,0.75
RrP5D7H,RrP5D1H,0,0.8571428571428571,0.8571428571428571
TKAFo81mf,TKAF08rnf,0,0.6666666666666666,0.6666666666666666
9dA4sh,gdASh,0,0.5454545454545454,0.7272727272727273
qZoMWk,qZLOMWNK,0,0.5714285714285714,0.8571428571428571
htJ96ES,htj96ES,0,0.8571428571428571,1.0
sWQIbmC,swQI6bmC,0,0.8,0.9333333333333333
2aYg4,2aYKq4,0,0.7272727272727273,0.7272727272727273
OWXnwuL,owxnwuL,0,0.5714285714285714,1.0
tO5L,tO5L,1,1.0,1.0
xsh6fmv,xSh6fmn2,0,0.6666666666666666,0.8
VMKH,VMKAH,0,0.8888888888888888,0.8888888888888888
iP1BtDA,rPBlDA,0,0.6153846153846154,0.6153846153846154
2rnb,Vr2b,0,0.5,0.5
eUSxACdm,eUsrAcdm,0,0.625,0.875
pw8Tdu,pw8Td4,0,0.8333333333333334,0.8333333333333334
N9TH,N9TH,1,1.0,1.0
ZXZCM,ZXLqM,0,0.6,0.6
