Actual Solution,Predicted Solution,Result
OiC5u3Ka,öC5u3ka,0
ENC78,NC78,0
yIy2FAJFiv,2FAJFiv,0
H8VA,h8VA,0
BYVM,BYVM,1
Vl3E,Vl3E,1
yzRN8,ZRn8,0
ejh5m,ejnsm,0
83ykZ5YqUB,83yKz5YqUB,0
RT6T,RT6T,1
hybu,hybul,0
nZafmVaRH,nZamKaRH,0
X5ZK,x5ZK,0
H1QPwjjJ,QPWNjjJ,0
2yqaZI,2qazJ,0
BQgptvK,BQgZVVK,0
Wmts,WmTS,0
UHHQ,vHHQ,0
VRATH,NRATH,0
nYxu5,nYxU5,0
duHlxe,DuHLXE,0
hTzIdfgdOJ,kckgdOJ,0
JNRY,JNRY,1
kY53,ky53,0
ZOlE,zQE,0
CFE3,CFE3,1
Z6rXzu,z6rxU,0
Lq5bS,La5bS,0
wftaC,wjtaC,0
SQTV,vf3D,0
3ARrycl,3ArCj,0
hznQ2F,hZQ2F,0
5VN4,5VN4,1
Yh9oCB,k90CB,0
BrniC,BMic,0
85AH,85AH,1
i2hUbvyxR,i2AubvJR,0
LLNab,Nab,0
PgJ2,pgj2,0
wtkav2vv2,WtkaV2V,0
xFRiumdcZ,nRiUnC,0
CZ7VY,CZXlY,0
Azf8Z,A7f8Z,0
Fahxvt,FahXV,0
SdWI51J,sdWL5J,0
SYozvl5xO,SYozLv5xO,0
MNYM,NBNN,0
UD5V,UD5V,1
mVfN,MIVAN,0
rC5dAVFQ,rC5yANFQ,0
YCRO,XGALO,0
WI2HlKtzZb,W2HkTZ1b,0
aWyd,aWyd,1
E2YQ,E2YQ,1
18ZS,18ZS,1
tiIpE,tlPE,0
SBNK,SBNK,1
fT6sloi,t6S/0i,0
MXCJ,MXCJ,1
Nleft8Ho0S,NleftoHOs,0
L1YovOU,LYOnOU,0
GXDB,GXR8,0
A48M,A48M,1
ZVWE,ZVWE,1
LTST,LTS7,0
lQlskUPy,IQlskUPy,0
NSCX,NJCX,0
TS4b,rs4b,0
KPsD2fI,KoSDfl,0
S7wtR,SwltR,0
ukMimH0R,ukMzmH,0
LJoh3f72Xn,LJoh3Y2xn,0
aXYYj,aX44j,0
V7TzG,V7ZG,0
hf0qz,hf9Z,0
KZCr,KZCr,1
UdpjaAEX0,udpaAEX0,0
uTdpD8D,UTDPD8D,0
C4HA,C4HA,1
M3Wgj,M3Wgj,1
majS,mdjS,0
QGE4,D3Pa,0
UQByOSHw,uQBOSHw,0
rUVW,rUvM,0
LaSoHlOG,LasOHIOG,0
I2DpJ,I2DpJ,1
iLkrXTC,I<<R*TC,0
MJQM,MJQM,1
f8O1874,r8018>4,0
bEfk,bfK,0
46izoR,46iZOR,0
YC6G,Vc6G,0
DOBJ,DdBJ,0
RbJnL51jp,Rbj nL5lb,0
do5Dga,aQDgA,0
F5kAV6qs,F5kAV6qs,1
xrnS1b247,xrwSb241,0
qn3VX,qn34,0
NSNE,NSNE,1
Vr4s1FJO,Vr4s1FJO,1
2daliro1G,2davirO1G,0
6tkapDE,6tkaрDE,0
lfXEgt55,lfXEgt55,1
7D18HL1Bk0,7DI8Hl1Bk0,0
XjlUssD,KjSSD,0
T5vChA,TsVCHA,0
BQKX,BQKX,1
