Actual Solution,Predicted Solution
681RHPD15,REVEAL
7N732I0G8,TmT3ZlUax
QJO2LIKTU,QQQQ
AAI7PWL5Z,7PP5Z
8NNYBLA19,GZ7Z4Z .
R9DDWJA9Y,Movie Day
6R12L1DE2,EODING
73RIS7TID,88b dP 888
K6UWWAV1Q,New beginnings
5OOCCMTFO,88888P
6X5TOHSMP,Enabling
G1HDINXJE,glitchy razor
N25KQZR19,WELCOME
BWU2LZLRD,twz36wz
K7SVFMZR6,Y8
FD53IM6TQ,FZX321C
FYT5AZ9PU,XJZZZZZZZZZXC
LZKS8F5B5,LIKELY CORRECT
81B89NH77,82L30666.
JTUINAW0Z,ITqgylLZc
TG9UKCDJ0,Y8P
18IUS1DCY,URZYC
940T2MV52,s%S
FOL6L21P8,FzzEzzEzzEzz.
5NBA46DXQ,Y8
G1T1Y272N,CGZJJZXC
C2F5TROB1,COMPUTER
7DNF3PEJH,Welcome Home.
XH75N228S,88888888
3HVO188NO,IEMBGBWZ
8QSXCC7G9,gggj88aaad88b
NBCJO5WD6,Imagine
XEBZE2VER,XWZZZOIH
K2JM4VWHG,KZ2AWMLZ
5TE58MLGD,Winterlight
GFP8YNC10,gqjydyqms
865YPBZNW,88
MT8PGH31G,"Y8bo,,,0880"
WQPPQE6OY,NNPZJLE
OF39RIKAL,8b
AO0GW4FSO,Zwiggles.
VS2OEOCO7,UGGAFNEZ
YP4LDMSZ3,iyizigiz
7B0YMGJ9S,The eight year
MHDUPT6FF,wintertime
LJOJ0Y1BZ,AMV
XNOUOJC85,xyzzyz
RINR23RA5,233335
HUAYB89IU,"AAAAAAAA
99999999"
3JM2AZ94T,4444444444
Y47SCJ6CU,Y8aa8P 88aaa88 Y88888b. 88baa
IDPYC8SQN,intraner
243JSPB2Z,Zeigt IT.
LU4N9QXLC,LUAWZYI
2S9INAGY1,2ZJMGV6S
RRD2NVMKA,2NNNNNN
QXQE0V9FQ,QSZZZXK
UCQKSNDFV,JULY2022
4KIEKV1EJ,PRIMELEE
GHD5X2WXC,WVWUCYV
M0Z8TZC5S,"dP'8, 8."
OCZC3SO7Q,3SSSSS
Z31DZ3DXV,8880888P8880
Q7HNJOTQ1,G7iV9uL
KIXAMBMBC,8b 88 8b 8b
ECVWQ6QD5,No solution found.
GLPDJXYY1,BZIZYLTC
VNI128EEV,g9 6P
A7MXN6V78,Jenkins
8SRK67Y8L,8e2jxfijer
NOITL4I4V,ri93hzc
VZ8XE58M4,wzexwzsjzy
RZOO7NWJ3,SSS-SSS~S*S YSSY
6QSZW8XBQ,BEZOVIAZ
RURSOISDV,.Y
1KT7X3V2D,1K3V7D
87YKTCTPD,"888,08P'"
SXQ7EU09G,s5
SLTCYC92Y,Stronger
KNPXX9EHS,KL8ZZZC
KLRQ7O76J,KQLZIXI
2K0JW07N9,Z0gqWlMCE
LR1P8DVQM,Irregularity
NJ2XCQZ2W,MyFizicaL
RP6LB7UPV,TBRkzywr
3Z70WUHIG,88aaaaaaa88
5KH171CM9,COILIS
KULG17BFS,twitterz
AAN44IZZR,ADJACENT
PAH7804OA,PATCHWORK.
UP5TKKV5N,wíéðdør
T3XCINKZV,TZJWZLT
LYYMU1WYF,ZWYWZ
7M9DEATYU,YUMMMYMM
WZYFAPKMJ,d
IZGI5IY5N,8888
TGI37JF8K,TEGZQLK
GPX0L3MOK,CYZIZGJML
TKTRXT6E2,YSSSS
U2389VUND,u3x5zg4tr
EN3TP6ITA,daydreamz
OCRL8KEED,doppelganger
4P3PVXGGM,goyhvgv
0EIFDT1NE,"Y8, 88, 88800"
E81C7SVFI,Y8
2R5SWP326,ZELAZNE
OM44B6KIO,dandelionz
62GQEH0KN,GLOBALZABC
J2LV480DX,yesyewMe?
N0759K6SM,MODERN
COBVS62ZT,CLAVEZZZ
080MNFA8R,888b
NAHLJKHEI,Manifesto
C0Z9AGFM9,COMINGLESZ
SSZSAQFUU,ZETAAGRUE
7M057HASC,88888P
OVHTNTGJH,QUOGCP
PVCXUH485,POLLBOJECT
A3UICCYVM,Zellwanger
J03RPWBMB,jollywood
551PCLQRK,Figuring
T2FU3F3WJ,PHEIHCX
H7J2Z0TDZ,HYPEGAMES_
EPJ9NFHGP,follower
3L7PMPE24,Together
LYZ91C98W,lydazzler
S0AC9OR67,80.2162
X7RS8ZE20,S%S
5RFUZ9RW3,IMPLACABLE?
GKSNTNO89,genitiving
Q2PS7M7AH,88b
N3A1STC62,XKZWCZEK
ID6IM7KVW,NO_WAY_OUT
IUK7YRALH,"MMM ""MMP"" mM"""
1PJN140EK,Twilight
XFFWDSDPW,WXZH8Y
ZXAAHYXAI,ZONZALIC
TUS7NGB35,todayistic
IHK9GOT5U,IE8ZGRBC
2COFURCTE,YUMMMMMP
P5JAW4MP7,PERFORMABLE
Z1JL280SF,9
HZNTQ8KFG,trazable:
WZWKXK34Z,WZLWVWVZE
H5UVNK3I0,8888 0
GKGWGJG3H,GENERATE
064USTMC9,8QZ37
LQW3HB4NT,dooYobb
GL9YSDUQG,CECOMEC
V61SYHZC9,Wallpaperz
LKB19XK4Q,888b
LR9F26ATJ,",dbPPPp 9 08boooo 26,8b. 888888888 d8p"
3P6982WR1,jeweler
RKWB39RT1,XEQ8C2Z
PEVINWO9E,PRAWNWIER
1S7U9DCOL,M9 8b
LLQQ84HEC,Y88P
CZKK6X6QD,636
ZOQLSR4AB,4lm#
FA97PZZHW,following
J0M3H5AR1,Y
QFFHW1ZMW,GETBACKHEREfor
KLQI9OF70,"Y8, 8"""
L0OVP7K2D,LAUNCHERS
UXZS8IEG0,"Y88"""
C388XEZQJ,CONGRATS
42B5WWIF1,4045 While
JMVLN37RN,Intitlerz
QMSCJSHMI,GOGAWNMLC
HXA5LVHC5,dPdPdP
5TLRPLIE7,GZZZLE.
654FUU9U7,83778
AHWVAWRCF,ABOUT ME
9J28FX8GX,qzqczzccr
OAXZIWXEN,88! xx
BVZGUSBFK,"d88PPPo d88 88 PPPPP88p' 888PPP8b 888 888 88888888 d88PPPo 08boooo
8880008 d88 88 ,dP' d88 888 888 880000Pp 8880008 88booop
888 8 d88 08P',dP' d8b PPY8 888 888 d8 888 8 88b
888PPPP Y88P' YPPPPPPP Y8PPPPPP 888PP888 8888888P 888PPPP 88P
888dP
88808P'
888 Y8L
888 8p"
KCR4OR28M,"lovely day,"
PD8C6VDP0,POPCORN
2QCZXFRVI,ZCZXXZXZ..
O10CFPH4G,digitalize
1FRSMZI22,twilight
BTAVEH728,ZL42Z
UYO5XSJO0,WELCOME
ISBIE9HG5,IZZZZAZZZEZ.
AZJUF9NDW,z2z7/64/x242
W8POINN2B,82
EW0PMKL3W,EXJWJZW.
MZB9SVR2K,WITZERZz
XKMOEDX4O,YONAZA
Y484NHFDL,hello neighbor
1SZ3GEQA3,Iscajuje
HPXVIYG91,MANIFESTO.
H6F3IKRH0,d8888P
6JR8ODOTH,NEVEGZAIZ
Q37XPJHGM,OX8G2EBE
NRHK449HV,6MP
AQUDPHI1P,Y8
VYXJ4AI02,Welcome
ZKNKAKF25,zobnxe
3MJ1T4YEI,JLYROIZ
M0Z8TZC5S,"`""Y8888888`"
PUN5SQ4Z7,8888
LJOJ0Y1BZ,7723
UBASVP8TJ,88
WUFV7R0X7,####
