Actual Solution,Predicted Solution,Result,Similarity,Similarity (Non Case-Sensitive)
XFr6zdw,P4T6Z0W,0,0.14285714285714285,0.42857142857142855
iNyI6xAsPZ,ikcbxps12,0,0.3157894736842105,0.3157894736842105
NIbsI4lM,NBSLUM,0,0.2857142857142857,0.7142857142857143
blyF,6 livelihood,0,0.125,0.125
nsFn6,SeN6,0,0.2222222222222222,0.6666666666666666
1VC9Tmg,IVC9Tng,0,0.7142857142857143,0.7142857142857143
cuE1D4UM3,C4a1D4cM3,0,0.5555555555555556,0.6666666666666666
fWZQT,fW7aT,0,0.6,0.6
wOwFn,wQWFn,0,0.6,0.8
a2Qo,Dp20,0,0.25,0.25
cCbO,cc0,0,0.2857142857142857,0.5714285714285714
4V9ZT,4bzT,0,0.4444444444444444,0.6666666666666666
p3A5N,P7A3N,0,0.4,0.6
VXsPdAB,VSPIA12,0,0.42857142857142855,0.5714285714285714
XATpE,XaYpE,0,0.6,0.8
YrBL,XBL4,0,0.5,0.5
DjUrV,DJV8,0,0.4444444444444444,0.6666666666666666
QbQtpB,QbQrb,0,0.5454545454545454,0.7272727272727273
KSI5GvYTM,Ks5gv41m,0,0.35294117647058826,0.7058823529411765
JORN,JORN,1,1.0,1.0
PuQuP,P3P3L1P1,0,0.3076923076923077,0.3076923076923077
D9BmbI,DBM6I,0,0.5454545454545454,0.7272727272727273
2sJXSb,KKTJN26,0,0.15384615384615385,0.15384615384615385
UEN6,UEN5,0,0.75,0.75
Drtq,DrA1,0,0.5,0.5
c4sKBAeOT,C4SK8Ae0r,0,0.4444444444444444,0.6666666666666666
MCJG,WCX1,0,0.25,0.25
md9C,m0dC,0,0.75,0.75
hms16t68,m3r5t0t0s,0,0.23529411764705882,0.23529411764705882
tp93x,tp93t,0,0.8,0.8
zkTRf,ZKTF78C,0,0.16666666666666666,0.6666666666666666
h9IiYWBNh,hgirwba1,0,0.23529411764705882,0.47058823529411764
SXLdj,Sh1jj,0,0.4,0.4
y8LifRQ,code8ire,0,0.26666666666666666,0.4
s2hMBlQe,s2tm@Re,0,0.4,0.5333333333333333
TSEdh,tsE9h,0,0.4,0.8
YM4A,Feeren83,0,0.0,0.0
2y0P0K6,2y0pQk6,0,0.5714285714285714,0.8571428571428571
xnAKFeH,Makeh,0,0.16666666666666666,0.6666666666666666
waLVTzD,hqw1z,0,0.3333333333333333,0.3333333333333333
AYPcs,A1PCS,0,0.4,0.8
6h0BhL,G10AL,0,0.36363636363636365,0.36363636363636365
PTIy,PN,0,0.3333333333333333,0.3333333333333333
bbzwOl5,PBZWQ5,0,0.15384615384615385,0.6153846153846154
F8fIXU,F81KU,0,0.5454545454545454,0.5454545454545454
CREC,CURE123,0,0.5454545454545454,0.5454545454545454
aa01MQ,A401MQ,0,0.6666666666666666,0.8333333333333334
HHpze3W,HYP38W,0,0.46153846153846156,0.6153846153846154
EaQSGuH,EaQsGh1,0,0.5714285714285714,0.8571428571428571
GWg14IGy,Cwg14cy,0,0.5333333333333333,0.6666666666666666
bRwx,BRWX,0,0.25,1.0
T3jqYcS,TW9YCS,0,0.46153846153846156,0.6153846153846154
ZFWE,2W3E,0,0.5,0.5
PvbVR,PV37R,0,0.6,0.6
MXR5,MAR5,0,0.75,0.75
qtAmBdJ,gta4mbdj,0,0.4,0.8
ZCuXd,RxNLyJ4MoA2NQAnZ,0,0.09523809523809523,0.09523809523809523
p0QxOg,QOXOA,0,0.36363636363636365,0.5454545454545454
FNYQ,FNKO2,0,0.4444444444444444,0.4444444444444444
vmAzI,VmlZt,0,0.2,0.6
3GWP,TWIL2,0,0.2222222222222222,0.2222222222222222
T6HM,T6M,0,0.8571428571428571,0.8571428571428571
5PVF,5PVF,1,1.0,1.0
j29X2Z1j,B2X2Z4,0,0.5714285714285714,0.5714285714285714
C2v0zoDAdz,G41V02D4DZ,0,0.2,0.5
JgPWs5A,Jdiscount33,0,0.2222222222222222,0.2222222222222222
NW3ckzS,NW3CKZS,0,0.5714285714285714,1.0
tL3a9wKi4,tpdaowk14,0,0.4444444444444444,0.5555555555555556
SAPo,The code is Sapo623,0,0.17391304347826086,0.34782608695652173
XABK,XABKC5742,0,0.6153846153846154,0.6153846153846154
CITOQR1,qrcQ0qtz,0,0.13333333333333333,0.26666666666666666
