Actual Solution, Predicted Solution

VC7VmTv,vc7VMTv

sgpi,sgpi

86S8,bC9w2

60Gp,"60GP
"

grQaTo,grQaTO

A8JnKyX,A8hTyX

DOTWO,DOTWO

WExo0Z,wEX007Z

2dEK,2dEK

DiG1d2ZMi,DzGad2zmi

R4gysE2yr,R4g1sE2Y

HC5ERNS,HC5FRNS

PF6N5B7P,PF6NsB2P

X5MH,X5MHI

bbrXE,"6brXE
"

QGk0Z0IW,QGko0OKW

iqajEY,idajEy

TBpd4QYWr,"TBpA4dWr
"

EWbA,"EWbA
"

Nk7eI6,"NK1Ev6
"

esprwJxl,eSpRwXl

psLUM8,pSLUM8

yxfXJUq,yXfKUq

W4PEe,WAPTEe

4ZaOaLP,4Za0aLP

qQRwwECg,q0RwWECg

7y1Y3B,7Ay3B

h2jI,h2jI

MkrZ,MkRZ

3NVEpzp,"3NVErZp
"

76CE,KC0Ez

TjHc,"TjHC
"

L3gtuKi,L38gtuKi

NVFK,NNFK

0edM,0edM

R53B,R53B

SAY8,SAY8

SVf5,SVf5

763C,76ac

v3vCty8m,L3VCty8m

U456yk,"U456Jk
"

8CCK,8Cdk

8ujuDX,84jVD

UL5Eb,UL5Eb

xwWrSsk,xWZ1SSk

KouOf9k,kOwOf9K

Lcp2OiW,Lcp20iw

HzYq,H2LAa

iMmMk,iMmMk

vBs0sygN,vBS0Sy8Z

2lqS,2/qS

2jai5Cg1,2iaisc81

AkBM,"AkBM
"

1YzYYq,"1yzYN9
"

eAhmOIX,eAhmOIX

tv4nOoLqS,tLanOOaqs

fAQoKQ,fA0kQ

bGWyq,TruWygq

01HVnL6,lHVhL6

FBEqqEv,FBEAaqEv

vZQMxTWBV,"VLzQMXTwBV
"

6KAHAVZm,6kAHAVKm

5R4M,5R4M

glBDv,gBDv

KhOOf,KhOOsf

rCEm,rdm

bOBF7AncK,6OBF4nCK7

MN5H,MAGH

OSYsj,OsYSj

1tZb3BxJo,17L63BxJO

5YVmnBY,"5YVmnBy
"

AHrJ,AHrJ

L1Qd4X,LRdAax

Mk6KDKzsys,MM6KDKZsvS

WTXO,wTxO

wZs9N238,wzS9N238

Qp1Cc4,qP1cC4

nbNP6,"vbNP6
"

j4WGX,"j4wNGX
"

DQB6,DaB6

OfDo,0fDO

AkFxea,AkFtea

rSGjoOj,rSGyoOj

8z9JlJcY,8z9Jk4

ylRTE,"xLRTxE
"

VCCZm,VCczm

Vrd1,"Vrd1
"

iz4OJuEZ,VL2AOJUjEZ1

UHrJX6Kw,UHN8+oKw

2tgOv,2TGOv

tUcLG,tuCZG

rCoE94rvk,rCORE9arVk

SjEhG,SjEhQ

nBlg2YhAo,hBls2Yh0

G88ISS,G881SS

HkGZF,HKGLF

3BJQhON,"3BjphON
"

RnBTFQ8,"RnBTFp8
"

aic8,a.iG8

MAtIe8E,MATIE8E

QXcgS16CYr,eXcgs16cY1

koUD,k0UD

PAJP,PANP

yq8V,"yq8V
"

zD8YHGiT,ZD8WCGiT

NV3NzvEjd,NV3NZvEja

A3zSVRF,ABzSVRF

ieYeo,ie/e0

sgJv,S9V

rpW96NO,pW96vO

PlW26C,P/W26c

3JaZL8l4e,3)aZr8l4e

QGw2,QGWK2

hUdgqIaw,nUd8g/aN

Up3GOv,UP3GOV

E1NPR,"E4NpR
"

1mGAp,\mGAp

ELeEpa7,ELEeEpa7

J4c0D2K,"v4COD2k
"

HIJB,WJB3

Dg11,"Dg71
"

MH7z,"MH72
"

5F4LW,5F4lW

IHsBxfYuD,IHSBxjKWo

mb4e,mB4e

Hv7ir,"HV7iK
"

N4PK,NApK

EKJY,ExYj

ZL1O,Z10

doGWW,dOGww

vKJl,VIJk

qjNG,ajNG

uAsg,uASg

Pod0,p0da0

NyhzI,NyhZl

5hFi,5hFi

eBoFl,eBOA

JS4BO04,JS4BOo4

ll6Gc0,II6GcO

oULo,aULO

Nx0cgoFT,NoCgOFt

Fmyib,KmYib

hIFijOJAC,hIviFgAC

BVSW,BVSW

Po0fX,"POOfX
"

SNYU,SNYU

cARqM9o,CARsM90

fhMAKGq,FHM4kGQ

PJmCUm,PuMcUwM

rljxIMo,rjXlMo

SUSF,S0uSFish

drO6,arcO6

Y3ct0H7jg,Y3CxO7jg

1wVT,lwVr

ZZtpptuKa,ZztpRtuKa

s9ji1m,s9;ilm

DiON51ylQ,DiON5lYlQ

Ep6JqS,Ep6Js9s

Fv2mjSjGs,Fv2mjSjGs

Rw4VW,"RwXVVW
"

5RBB,ASB

npDyAlI,MrQTzAI

7EER,1EeR

sivEvO,S.NE10

EPNK,c3PAK

QVFV,CVvAT1x

kXlfSJJ6,"kXASj6
"

CpVp,rVAP

C0vBfrP,c0vbfRP

IHO0k,/H00k

Ad25YTCQ,Ad25yTC0

8A8G,8A8G

Z5RzwChp,"Z5RzwChp
"

mvA5tHjI,mvA5tHJjiI

lnD2gJ,inD2g

SO7U9PW,S07U9pW

fdPu8,"fdPu8
"

H65Y,H65Y

6rAY,6rAv

cdJLxr,cdVLxr

OWhMrR3V,OWhMrR3V

5pxgJ3m,5pXg3m

JCT6,JCk6

fRtmmql2T,fRtms9kT2I

PZ3D,PZrD

alClAZYwl,a1CAZYw

Okibcnu,October22

JB2lvon2o,VB2VoO2o

Vs78H88gE,"VS2PH28gE
"

aucl,"aUg9
"

X8AC,XBAC

VEYD5,KEYD5

7WYIF,>WYIF

HBPC,HBC54

SWB6,SWB07

TUNR,TrUN

lQQAW,iQPAW

AfPBiHvKr,ArBihVKr

TYXTMG,TVXM2MG

EHC5,"FAo6
"

hw7vVb,hk7V1b

TQJ6,TQJ6

7YKX,lambdaKt

Saeidw4,SaeAw4

XhA2UBj,xNA2UBj

jf4mSA2,jf4mSA2

cQQetxb,cQlxr6

B5X6,B5X6

HCMA,HCMA

tPTJLWD,tPTXLWND

23WG,23wG

5QVpQaRK,5Qp0aRk

Vl4PCAoS,V4rGCos

oDNG,ODNG

v8HF5fNh,V8HF5fNh

uuxNmO,"uuXNmO
"

aXCYF,aXcYF

foWNL1JU,fOwNLJU

7Hvf,"7HVf
"

oVOsf9B91,Osf9Bb1

RC6Jco3,"RC6xO3
"

QROM,Cook2ROM

E6EtL,E6ErL

DWJ8,DW8

UdXD,"Udx4D
"

cZkbh40TB4,cZkbhA07B4

XOgzX,xOgzX

DUXX,DUA125

gLkSdnCt,gLxSdnCt

2Ffbq0TD3,"2AfbqOTD3
"

jraOh,NxOh

HYAX,HY'AX

6VSjBcNL,6VS1BCN4

TYURtD,TUrtdY

n70m,n70m

Njcw2DPNz,Njch2PNZ

T54R,T54R

n3mPcJ9,n3mpCy9

fUUXLC,FUU4LC

VzPaH,v2paH

PNFPfx,PNFAF X

x41UA7s,"xA1UA7S
"

DtwKhwx,DtwYnWX

dg67X,d967X

Tasu0aQ,TASuOAQ.

oBUACb4,"oBUAcb4
"

Flf1ih,FfIh

nWBa,hwBa

lPYk,/PVk

4Ds06,"4Ds06
"

48uDf,48udf

HgQvSgP,"HgQVsgP
"

gQ8wP,"ge8Wp
"

QYH7,OK42MN

0oWtNMw,0owK2NM4z

Hvd8EpAMj,HVr8EpAMj

ydMz3CV2,ydM3CV

DqZ0lw,Dqz>Olw

SrP7,"SRp7
"

sooWM,s00wM

6TYpAI1J4,6TYpAnJ4

kwgMdF3,kwgMdF3

UCQj,UbCQI

D0kZSizc,D0kzSizc

iAtjAnr9D,"iAtjANr9D
"

qusvtEq1I,qUSVtEq1

TTPP6,KTPR6

5OU4,"5OU4
"

4v4drW,4VAarW

wYLh98,"wYLh98
"

Oecr5BfeS,"OeCr5BteS
"

yKnc,"ykKnC
"

KOkXN,KOkTN

WC5M,WC5M

xxbS,xxbS

1B6nXno,"IB6nXnO
"

PjzDk,"P7LDKk
"

WqMQ,W4MQ

xjORcRRF,xjORCRBF

nJGxW55Q,nJGxW5SQ

O5ZVPS,O5zVPs

bWDatLvOs,bwDatLVQs

a9ZMYMM,"a9ZMYMM
"

S4f1GgIa,S4nGsIa

8o8e,808e

o9eZT,O9eZT

z49IdZv,Z9ldV

N10Bd,N0Bd

iTsk,itSk

9hsIbl3f0a,9hS7b13f0a

NSU8,NSU8

a36X8,a36X8

7nj8r7iNY,7nj8r7nY

t4u1MlPf,t4uIMPf

F5VX8F9VM,"F5vX8F9WM
"

