Actual Solution,Predicted Solution,Result,Similarity,Similarity (Non Case-Sensitive)
y8LifRQ,8iR8,0,0.5454545454545454,0.5454545454545454
s2hMBlQe,S24HM6Re,0,0.375,0.625
TSEdh,7S3E9h,0,0.5454545454545454,0.5454545454545454
YM4A,MAAA,0,0.5,0.5
2y0P0K6,2Y0P6K6,0,0.7142857142857143,0.8571428571428571
xnAKFeH,WACKECH,0,0.42857142857142855,0.5714285714285714
waLVTzD,4LAWZD,0,0.3076923076923077,0.46153846153846156
AYPcs,APCS,0,0.4444444444444444,0.8888888888888888
PTIy,PIN1,0,0.5,0.5
6h0BhL,6HO04H1,0,0.3076923076923077,0.6153846153846154
bbzwOl5,B7W05,0,0.16666666666666666,0.5
F8fIXU,F08P1U,0,0.5,0.5
CREC,C7C4C,0,0.4444444444444444,0.4444444444444444
HHpze3W,HAZE3SW,0,0.42857142857142855,0.7142857142857143
aa01MQ,A4070Q,0,0.3333333333333333,0.5
EaQSGuH,EaOsqCUH,0,0.4,0.6666666666666666
GWg14IGy,GW8/46GY,0,0.5,0.625
T3jqYcS,7893142,0,0.14285714285714285,0.14285714285714285
ZFWE,ZWNEZ,0,0.6666666666666666,0.6666666666666666
bRwx,BR4XK,0,0.2222222222222222,0.6666666666666666
ZCuXd,Z6G7X4J,0,0.3333333333333333,0.3333333333333333
qtAmBdJ,9t4mBds,0,0.5714285714285714,0.5714285714285714
PvbVR,PJB/R,0,0.4,0.6
MXR5,MVR5,0,0.75,0.75
p0QxOg,POQQAXOOS,0,0.26666666666666666,0.5333333333333333
vmAzI,V1M2Z7,0,0.0,0.5454545454545454
FNYQ,FNKO,0,0.5,0.5
j29X2Z1j,129x241,0,0.5333333333333333,0.6666666666666666
3GWP,CWWR,0,0.25,0.25
T6HM,T6HM,1,1.0,1.0
C2v0zoDAdz,32W0Z0D4,0,0.3333333333333333,0.4444444444444444
JgPWs5A,JGRPSSA,0,0.42857142857142855,0.7142857142857143
5PVF,5SPVF,0,0.8888888888888888,0.8888888888888888
XABK,XABK,1,1.0,1.0
tL3a9wKi4,t13a9dwk i4,0,0.7,0.8
NW3ckzS,N3CkN2S,0,0.5714285714285714,0.7142857142857143
CITOQR1,CL00RY,0,0.3076923076923077,0.3076923076923077
QZYt0z8b,QYV80,0,0.46153846153846156,0.46153846153846156
SAPo,SAPO,0,0.75,1.0
MYRS,MYR5S,0,0.8888888888888888,0.8888888888888888
