Actual Solution,Predicted Solution,Result,Similarity,Similarity (Non Case-Sensitive)
Emlii1E1T7,Em2ii\EK7,0,0.631578947368421,0.631578947368421
vkBiqU1Q,Vk8iQUb,0,0.4,0.6666666666666666
IUwy9nd,Uwyna9nd,0,0.8,0.8
DjwL44,DjwL44,1,1.0,1.0
f9VU9dzj1,r9vUgcdZj',0,0.42105263157894735,0.631578947368421
VBycPkrRO,vByCpkrRO,0,0.6666666666666666,1.0
j8q3,j8q3,1,1.0,1.0
zBePxmpx,7BeXmpX,0,0.5333333333333333,0.8
CQOXRXZ,cQOxRXZ,0,0.7142857142857143,1.0
v88D,L8sD,0,0.5,0.5
xsr2gNaC,tSR2gNAc,0,0.375,0.875
PTKN,PAZN5003,0,0.3333333333333333,0.3333333333333333
qtsYfui,a7SYfui,0,0.5714285714285714,0.7142857142857143
4RJW,RJNW,0,0.75,0.75
0MLoL,0MLOL,0,0.8,1.0
RKkp4o6,RvKpA06,0,0.5714285714285714,0.5714285714285714
FPyoN6,PLOw6,0,0.36363636363636365,0.5454545454545454
aKj4l,akjA4/,0,0.5454545454545454,0.7272727272727273
MVMM,NMM,0,0.5714285714285714,0.5714285714285714
jfGPZ,jfGpz,0,0.6,1.0
AFH3,A1HB,0,0.5,0.5
F8FH,ABH,0,0.2857142857142857,0.2857142857142857
UC3vDP,uC3VDP,0,0.6666666666666666,1.0
NHJJ,500?VEGJ,0,0.16666666666666666,0.16666666666666666
HeZ9oK1,HeZ9o11,0,0.8571428571428571,0.8571428571428571
QK6Kf,pK6Kf,0,0.8,0.8
6JGnUiw5,6jNjwWS,0,0.26666666666666666,0.5333333333333333
3b8XFv0,3h8XFV0,0,0.7142857142857143,0.8571428571428571
HQzMJm,HQzMJm,1,1.0,1.0
zy3UCD,ZV8uCD,0,0.3333333333333333,0.6666666666666666
uK4SLZef,uK4Sv1ef,0,0.75,0.75
TE5V,TE5V,1,1.0,1.0
0WFYP,OwFYP,0,0.6,0.8
uJPjQIv,u1Pj12,0,0.46153846153846156,0.46153846153846156
QCVMU,qCvMU,0,0.6,1.0
s05K7PoT3,s05K-7PO73,0,0.7368421052631579,0.8421052631578947
abyPlvlc2,Q6yP/KC2,0,0.35294117647058826,0.47058823529411764
Ha1M,Ha1M,1,1.0,1.0
8l5JtoiqLo,aA5Jt0i9g<0,0,0.38095238095238093,0.38095238095238093
7d2AtF3Ys,7dk7AF3Ys,0,0.7777777777777778,0.7777777777777778
7JQENu,1QENu,0,0.7272727272727273,0.7272727272727273
2W4xOHc,2w4tOHc,0,0.7142857142857143,0.8571428571428571
B5TE,B5TE,1,1.0,1.0
uTXq,uT+q,0,0.75,0.75
3lKejF8Hl,3lKejF8Hl,1,1.0,1.0
E9jbdOB,E2VdaOB,0,0.5714285714285714,0.5714285714285714
zVhqItoUA,ZWh9ltauA,0,0.3333333333333333,0.5555555555555556
ug3tfuUj,ug3tf\MUj,0,0.8235294117647058,0.8235294117647058
8GYu,8GYu,1,1.0,1.0
Tvr5,TvR5,0,0.75,1.0
VrTq,vRTa,0,0.25,0.75
r6Q7918,r601978,0,0.5714285714285714,0.5714285714285714
PAfbBZF,PAfbBZfF,0,0.9333333333333333,0.9333333333333333
FNbPEEWfh,FNv0PEEwN,0,0.5555555555555556,0.6666666666666666
K34wto7c,K3Nzt0Vc,0,0.5,0.5
zRQ1,7RQ/,0,0.5,0.5
YiYTObAkb,yiYTO06Akb,0,0.7368421052631579,0.8421052631578947
2CaZ,2Ca7,0,0.75,0.75
9kPf,9kPf,1,1.0,1.0
4Bs8x,4BSst,0,0.6,0.6
44dcPJ4,A4dcRJA,0,0.5714285714285714,0.5714285714285714
CnZDY,cnzDY,0,0.6,1.0
MinQ1,MinQ1,1,1.0,1.0
qxSBq,9xSBq,0,0.8,0.8
XVHA,c.3XxxX,0,0.18181818181818182,0.18181818181818182
F2gu,F2gu,1,1.0,1.0
PrtLoCbQX,prtL0cVbqX,0,0.5263157894736842,0.8421052631578947
B4MS,B4MS,1,1.0,1.0
nmdb,mAd6,0,0.5,0.5
CT4a,cT4a,0,0.75,1.0
sKmI4,sKm/4,0,0.8,0.8
LDNV,LAW007,0,0.2,0.2
EGaQXT,EGaQXT,1,1.0,1.0
UMDH3,UMDH3,1,1.0,1.0
7d1f4Z,7dk4vL,0,0.5,0.5
xWZE3,xW7xE3,0,0.7272727272727273,0.7272727272727273
2Ye6,2ye6,0,0.75,1.0
wrZpyv,wrzpJyV,0,0.6153846153846154,0.9230769230769231
kLKf,KlFe,0,0.25,0.75
9zzL,91Zk,0,0.25,0.5
KUiTzj9nI,kUkZj9n,0,0.5,0.75
RI0o3Mu,Rl003Mk,0,0.5714285714285714,0.5714285714285714
9TMbl8Ck,9TMb18Ck,0,0.875,0.875
QZQ8,QZGB8,0,0.6666666666666666,0.6666666666666666
C8Vz4QX,C8VZ14QX,0,0.8,0.9333333333333333
AR1dakRrLT,ARda1aRRt,0,0.5263157894736842,0.7368421052631579
pBQpsjCP,p6Qps2Cp,0,0.625,0.75
t4WgZ35,t4W8Z35,0,0.8571428571428571,0.8571428571428571
76PS,KPS,0,0.5714285714285714,0.5714285714285714
xloZOD,4ozOD,0,0.5454545454545454,0.7272727272727273
9yqMong1,9yqMonqg,0,0.875,0.875
7YsSJ,7tSSj,0,0.4,0.8
0AIOg,0A10ga,0,0.5454545454545454,0.5454545454545454
KTynLa,KyynLa,0,0.8333333333333334,0.8333333333333334
QWu2qczY,QWu2a\CzY,0,0.7058823529411765,0.8235294117647058
DAML,DAAL!2:,0,0.5454545454545454,0.5454545454545454
5qVcF40,5aVCf4o,0,0.42857142857142855,0.7142857142857143
MfxCf1,kfXCf1,0,0.6666666666666666,0.8333333333333334
X9qA,t9aA,0,0.5,0.5
7U5H,7U5H,1,1.0,1.0
4PKC,APkc,0,0.25,0.75
9HtC,9HxXoC,0,0.6,0.6
QNRVY,gNRVVY,0,0.7272727272727273,0.7272727272727273
xytB5R,XytB5R,0,0.8333333333333334,1.0
etA3vV,etA3vV,1,1.0,1.0
XUaUZ,UxU2Z,0,0.6,0.6
XwSf0,XwSf0,1,1.0,1.0
EWtLrJ2,EWtlpR2,0,0.5714285714285714,0.8571428571428571
1vlA,lvnA,0,0.5,0.5
OJqpdMG4A,QjapMG4A,0,0.5882352941176471,0.7058823529411765
HQCAA,HQcA1A,0,0.7272727272727273,0.9090909090909091
pwcZ,pwcCz,0,0.6666666666666666,0.8888888888888888
VRYRujIT,VRkRuJT,0,0.6666666666666666,0.8
KPgGP,Kp9Gqp,0,0.36363636363636365,0.7272727272727273
EgM6,E0M6,0,0.75,0.75
lbJqu,kbjqu,0,0.6,0.8
3VGUD,3VGUD,1,1.0,1.0
85YW,8YV,0,0.5714285714285714,0.5714285714285714
fnhJYIeSN,fnJYiesN,0,0.7058823529411765,0.9411764705882353
EHaiQcC,EHaiQccC,0,0.9333333333333333,0.9333333333333333
HRV3,HRV3,1,1.0,1.0
DUhCJ,DuHCJ,0,0.6,1.0
HCrQxq,HCR0xq,0,0.6666666666666666,0.8333333333333334
Nbei,nBEI,0,0.0,1.0
BWXS,BWXS,1,1.0,1.0
1Y9igWMUc,JV9igWMUc,0,0.7777777777777778,0.7777777777777778
JG2K,jG2K,0,0.75,1.0
p15wzZ,p15WzZ,0,0.8333333333333334,1.0
VPDI,VPA500R,0,0.36363636363636365,0.36363636363636365
9AKJV,9AyKN,0,0.6,0.6
K9f9,K9f9,1,1.0,1.0
CFHU,CRHV,0,0.5,0.5
kfVnXLjF,kfVnxXjF,0,0.875,0.875
LoLm,LOLm,0,0.75,1.0
HBlSXrJ,HB1sxrJ,0,0.5714285714285714,0.8571428571428571
kLtnR5,KLtnRs5,0,0.7692307692307693,0.9230769230769231
BpxP,BpXp,0,0.5,1.0
3hCa,3hCa,1,1.0,1.0
ryCZR,yC2>R,0,0.6,0.6
vjN87id,VJnM87iD,0,0.4,0.9333333333333333
osaMx5nL,0saMX5nL,0,0.75,0.875
I0etp,I0etp,1,1.0,1.0
buY66,bUy66,0,0.6,1.0
7qQpjZ6A,7qppjN6A,0,0.75,0.75
PlhVZn,P\hzZn,0,0.6666666666666666,0.6666666666666666
hE5w0XYVfo,hE5w0xYVfO,0,0.8,1.0
W1I7,WV7,0,0.5714285714285714,0.5714285714285714
SJQG,I062,0,0.0,0.0
KJ6S,KV68,0,0.5,0.5
3r4h,3r4n,0,0.75,0.75
VjC4,vJC4,0,0.5,1.0
LMo1Lar,4Mo7Lar,0,0.7142857142857143,0.7142857142857143
fGR1ZNpj,fgR1ZNPj,0,0.75,1.0
BfKsad77P3,Bfksad7p3,0,0.7368421052631579,0.9473684210526315
Tj3wX,Tj3wtx,0,0.7272727272727273,0.9090909090909091
rUwc,rUwC,0,0.75,1.0
FPtUZxMjc,FP7U1KfXc,0,0.4444444444444444,0.5555555555555556
A8CP6,A&P6,0,0.6666666666666666,0.6666666666666666
tYYH,tY7H,0,0.75,0.75
HQc9YUS,HQCc9YUs,0,0.8,0.9333333333333333
yrr4GS,yrr4GS,1,1.0,1.0
wW2u,wW2u,1,1.0,1.0
2vXFY,2vxFv,0,0.6,0.8
pJjPmqXJ,psi.mX/,0,0.4,0.4
I25XAmrrG,A5xAmrG,0,0.625,0.75
2gJbD,29rAD,0,0.4,0.4
B3W8,B3Aw8,0,0.6666666666666666,0.8888888888888888
AAQN,AAeN,0,0.75,0.75
XPuM,XPMJ4,0,0.6666666666666666,0.6666666666666666
6Did,6DZrd,0,0.6666666666666666,0.6666666666666666
DKSCP1Mq6m,D'SCPyMq6m,0,0.8,0.8
MIZHR9,M1vHR9,0,0.6666666666666666,0.6666666666666666
9P8A,9P8A,1,1.0,1.0
rQTf,rQfTf,0,0.8888888888888888,0.8888888888888888
GA2W,GA2W,1,1.0,1.0
JQccE7z5Sq,JQcCEZ5S9,0,0.631578947368421,0.8421052631578947
ZKTP,7KTP,0,0.75,0.75
QQgeubN,QQ8euVN,0,0.7142857142857143,0.7142857142857143
WP6PMDOQ,Wp6RMDOoO,0,0.5882352941176471,0.7058823529411765
uaDd,uaDd,1,1.0,1.0
WwRuyN,WWRUUVN,0,0.46153846153846156,0.7692307692307693
ffx4,ffx4A,0,0.8888888888888888,0.8888888888888888
ygmcU4X0i,ygmCU4Xoi,0,0.7777777777777778,0.8888888888888888
J4o2e,j4Q2e,0,0.6,0.8
CKFFNKu,CKFEku,0,0.6153846153846154,0.7692307692307693
I0h7v,10h>v,0,0.6,0.6
ihPZ6TU,ihR26TU,0,0.7142857142857143,0.7142857142857143
uvkVGZke,UvKvGke,0,0.5333333333333333,0.9333333333333333
xr9nFQ,xr9nFQ,1,1.0,1.0
dXqnR,dXqnR,1,1.0,1.0
wMr8uYw,wMr8uAW,0,0.7142857142857143,0.8571428571428571
AuFd6Y,AUFd6Y,0,0.8333333333333334,1.0
rfTw,rfPIz,0,0.4444444444444444,0.4444444444444444
Ya8WGFo,ya8wCFOo,0,0.5333333333333333,0.8
HE7SCaG,HE7SCaG,1,1.0,1.0
cqfOf,c9fOf,0,0.8,0.8
DQXD8,DOX4D8,0,0.7272727272727273,0.7272727272727273
MB6B,Mb6EB,0,0.4444444444444444,0.8888888888888888
VavUb,vavUb,0,0.8,1.0
XM3C,XM:3C,0,0.8888888888888888,0.8888888888888888
HDWX,kDUx**?,0,0.18181818181818182,0.36363636363636365
9j9SbDtVN,9-9SbDtlzN,0,0.7368421052631579,0.7368421052631579
b99A,b99A,1,1.0,1.0
6s42zp,6SAx2zp,0,0.6153846153846154,0.7692307692307693
WTMB,WTMB,1,1.0,1.0
DwXAF,DwXAF,1,1.0,1.0
AuWW2V,AVkNwW2V,0,0.5714285714285714,0.7142857142857143
v5TSaZx,V5tsAZX,0,0.2857142857142857,1.0
YuxQLJNt,kUxQRyNt,0,0.5,0.625
QDNX,G9nAx,0,0.0,0.4444444444444444
NJN9,N9,0,0.6666666666666666,0.6666666666666666
kWGtZ,kWGr1z,0,0.5454545454545454,0.7272727272727273
g1Nkmw,g7NkmW,0,0.6666666666666666,0.8333333333333334
T5sc7,T5Sc7,0,0.8,1.0
FNRE,IA2E?0(,0,0.18181818181818182,0.18181818181818182
6TBR,6TBR.,0,0.8888888888888888,0.8888888888888888
HbOF,HbOF,1,1.0,1.0
uIkHn5ue,uXhn5ue,0,0.6666666666666666,0.8
ty5ok,tY5OK,0,0.4,1.0
Ebo0,Ev000,0,0.4444444444444444,0.4444444444444444
kHSFwWblb,KHsfWw616,0,0.2222222222222222,0.6666666666666666
39WoXNb,39wVoTNvb,0,0.625,0.75
sPEf,sPEf,1,1.0,1.0
qSOFZd,aS0FZd,0,0.6666666666666666,0.6666666666666666
ZMkBM20,zMkBu20,0,0.7142857142857143,0.8571428571428571
TDH4,TDH4,1,1.0,1.0
VXHKH7ZM,VXHK2LM,0,0.6666666666666666,0.6666666666666666
9PCh2JuF,9PCa2Vda,0,0.5,0.5
T6j3vNvuH,t6VBVnvVH,0,0.3333333333333333,0.6666666666666666
cEDRpjpqb,cEDRpjqpb,0,0.8888888888888888,0.8888888888888888
UNB5B,UNsBB,0,0.8,0.8
Un3ClktRW,Un3dlkRW,0,0.8235294117647058,0.8235294117647058
YSXR,Y'SXR.,0,0.8,0.8
ilB3BC,i\1B3BC,0,0.7692307692307693,0.7692307692307693
uyRZQl,uYRZaA,0,0.5,0.6666666666666666
