Actual Solution,Predicted Solution,Result
H2b7a,H2b1a,0
hbcT14vvX,hbCt14vVx,0
IAI9mPJB,b pjb,0
gHrCGciy,ghrcgcicy,0
eJOj,eJoy,0
ucou,UCOU.,0
Z7rdXSf,z7rdXSf,0
iNKK6,nKk6,0
nOuf0jcU,nOùCU,0
zy5eLND7,zyseLNd7,0
yGlaBCHgE,yGlaBC Hoe,0
noMGFfGGn,gfngn,0
cm26Lpl,CMN6LPL,0
rpZuq,pzuq,0
AI5SKORZ,AISORZ,0
Yjya,YMJN,0
W34C,w34c,0
HWEM,emm,0
KIKfW,akIkrW,0
7oJWqJ9y,9jw9J9y7,0
fUDBq,rqdbq,0
0eWWN,OEWWN,0
aPOG,aPOG,1
YNBK,ynbk,0
kio89Og,kl0890g,0
Pw0Sw,Sw,0
caF8S,cafos,0
hs2l2x0,H302L2X0,0
YUdn0N,yudzon,0
VcbVJ,lcbv,0
1VJ9if6,$\sqrt{9}+6$,0
41QMF2Zult,4qF2zuI9A29,0
9R6msuX62q,9R6mSW6z9,0
upyb0,upyso,0
OG0YNh,sorwh,0
UXNa2,nan,0
OcP7fLQs,opc7o5,0
EAYN,EAYN,1
FXAF,STATE,0
cro73q85,cro>3985,0
tmdlT0OO,dmndmoo,0
ZOSeO2,Zoseq,0
CCEW,OBENNER,0
ITOy2,I^OY^2,0
Krbs,Kr3S.,0
vVgEpt,vget,0
Cqgq,cagq,0
x3MVb2Zf,MfZfZr,0
h05GZvXI,7GvX1.,0
Q7NTp7,Q7NTp7,1
TJPD,"lji3q3v2wb13c0JurzH7JYQYJowPMAelIYWxY5XiP",0
yWXX3,ywx3,0
1rgvLjuC16,dvluCa6,0
J9KK,j9kk,0
X6Zz10p6,6Sz10Y,0
572X,572x,0
G8JM,G8M,0
UWTB,A978Q,0
LOL6,9a6,0
60XpzNQUJ2,6OXRZNQR2,0
eU4AV,euaav,0
WVCB,wVB-,0
SCi9DtkH,SCI9DT4H,0
HJM7,hm7,0
GFhoRz,gfhorz,0
cqpxw,cqrw,0
1xqzfSeRo,YXqztsERO,0
T4sHv1Ks,ashlvns,0
7NAZ,7NAE,0
XcpFwQ,HCPFWQ,0
WSCQ,wsCq,0
