Actual Solution,Predicted Solution,Cross Checked Solution,Result,Similarity,Similarity (Non Case-Sensitive)
zD8YHGiT,ZD8xVGIT,ZD8xYhGiT,0,0.7058823529411765,0.9411764705882353
fVkX,fvK+,fvK+,0,0.25,0.75
dLWlz2o,qLw1z20,dLw20,0,0.5,0.6666666666666666
bFTgA,BFTGA,BFTGA,0,0.6,1.0
6ue8etyv3,6u8etyv3,6u8etyB3,0,0.8235294117647058,0.8235294117647058
RURbDMzl,rUPPbDMZ,rURHbDMZ,0,0.625,0.875
HsaYejlFQ,HSAyeFQ,HsaYeiFQ,0,0.8235294117647058,0.8235294117647058
o4BXO,OBXO,OBXO,0,0.6666666666666666,0.8888888888888888
6t05DfA,6t05DfA,6t05DfA,1,1.0,1.0
XuuHE2x,xUuHE2x,xUuHE2x,0,0.7142857142857143,1.0
rBZdVRWw,rBZqIRWWw,rBZdYRWnW,0,0.7058823529411765,0.8235294117647058
K9lbp,k9'bp,k9%8p,0,0.4,0.6
e4FodmvK,e40dnVK,e40dnVK,0,0.5333333333333333,0.6666666666666666
FXuEie9,FXukie9,FXukie9,0,0.8571428571428571,0.8571428571428571
ZslK6,ZSlK6,ZSlK6,0,0.8,1.0
wln1,w1n1,w4n1,0,0.75,0.75
JuAjee,JAEe,jUAEe,0,0.36363636363636365,0.9090909090909091
DiON51ylQ,DiON5]y\Q,DiON5yQ,0,0.875,0.875
fPyQqodU,fPyoqOdU,fPyoqOdU,0,0.75,0.875
DDPy9ps,DPy9gps,DPy9gPS,0,0.5714285714285714,0.8571428571428571
zH8aRa,ZH8aRda,ZH8ara,0,0.6666666666666666,1.0
vzDqIAvpe,VZdqVAvpe,VZdqIAve,0,0.5882352941176471,0.9411764705882353
7INHe,1NHe,1NHe,0,0.6666666666666666,0.6666666666666666
0jw1ZgxK,wj^1zgtk,0jW1zGk,0,0.4,0.9333333333333333
kV9wVJ,Kv9wLJ,Kv9wLJ,0,0.5,0.8333333333333334
1d1Xfu,b7XfU,b7XfU,0,0.36363636363636365,0.5454545454545454
u75N,u>5N,u5N,0,0.8571428571428571,0.8571428571428571
U1Ouj,U70uV,v0uV,0,0.2222222222222222,0.2222222222222222
e39v,e3gV,e3gV,0,0.5,0.75
OIJfQ,OI\kQ,OI\kQ,0,0.6,0.6
j0G9fIGlb,0GofG\b,0GofG\b,0,0.625,0.625
KE3vnXd,kE3Vnxd,kE3Vnxd,0,0.5714285714285714,1.0
Jd3p,Jdzp,Jdzp,0,0.75,0.75
6u3K31Xnw,K31+nw,6uJK3+1nw,0,0.7777777777777778,0.7777777777777778
wZs9N238,WzS9N238,WzS9N238,0,0.625,1.0
L1Qd4X,LRadAx,LRadAx,0,0.3333333333333333,0.5
twyiobX,tzyiObX,tzyiObX,0,0.7142857142857143,0.8571428571428571
wI5ZdO,W157d0,W5z0,0,0.2,0.6
vn3j5,Vw23j5,Vw23j5,0,0.5454545454545454,0.7272727272727273
fVkX,fvk+,fvk+,0,0.5,0.75
nMeorW,nMEorW,nMEorW,0,0.8333333333333334,1.0
MSVMr4N,Ms4x4N,MsV4r4N,0,0.7142857142857143,0.8571428571428571
3ZcnB9N3,3cn9N3,3cn9N3,0,0.8571428571428571,0.8571428571428571
SCmmuZM,SCnmuZM,SCrmuZM,0,0.8571428571428571,0.8571428571428571
LqsXuE,L&SXuE,L@sXuE,0,0.8333333333333334,0.8333333333333334
Sx0MH8jb,sXOMH8p,sX0MH8,0,0.5714285714285714,0.8571428571428571
AduEkr,AdUkEr,AduEkRr,0,0.9230769230769231,0.9230769230769231
rzhc,C,kC,0,0.0,0.3333333333333333
tLoAMQNN6,tLOAMqNN6,tLOANqNN6,0,0.6666666666666666,0.8888888888888888
AkFxea,AkFtea,AkFtea,0,0.8333333333333334,0.8333333333333334
0DxmJ1qB,OD7mJ1aB,OD+mJ1qB,0,0.75,0.75
3NVEpzp,3NVErZp,3NVErZp,0,0.7142857142857143,0.8571428571428571
XiaN1,Xia21,Xia21,0,0.8,0.8
6wkJTelQ4,6wkJTelo4,6wkTelo4,0,0.8235294117647058,0.8235294117647058
uZD7eIduX,uZD7eidx,uZD7eidx,0,0.7058823529411765,0.9411764705882353
65exi,65ex1,6eK1,0,0.4444444444444444,0.4444444444444444
iNKK6,iNK6K6,iK6K6,0,0.6,0.6
nYxu5,nY+U5,nY+U5,0,0.6,0.8
nVhtWY,ntwY,nhtwY,0,0.7272727272727273,0.9090909090909091
Hv7ir,HN7iK,HN7iK,0,0.6,0.6
uIkHn5ue,UNKH5ue,UHN5ue,0,0.5714285714285714,0.8571428571428571
wXzk4p,2Lxk4p,zXk4p,0,0.7272727272727273,0.7272727272727273
0DxmJ1qB,oDtm1B,oD+m1qB,0,0.6666666666666666,0.6666666666666666
dFwm6y,dEwm6y,dEwm6y,0,0.8333333333333334,0.8333333333333334
WkkMPZG,WkLMPZG,WkLMPZG,0,0.8571428571428571,0.8571428571428571
W2so,W2S0,W2S0,0,0.5,0.75
RzBl6Vix,pZBL6vIx,pZBL6vIx,0,0.375,0.875
fZ1dZLC6r,fz1dKeVC6r,fz1dKeVC6r,0,0.631578947368421,0.7368421052631579
6IvtUXz8,6IvtUXYZ8,6IvtUXZ8,0,0.875,1.0
Tjne,TVNE,TUNE,0,0.25,0.75
NemBlK,NemBk,NemBk,0,0.7272727272727273,0.9090909090909091
yUO3dax,yUo3qax,yUO3dx,0,0.9230769230769231,0.9230769230769231
fp5R,xP5R,xP5R,0,0.5,0.75
foWNL1JU,FOLLOWJU,FOUNDJU,0,0.4,0.6666666666666666
3npXrJt,3hpxXrt,3hpxXrt,0,0.7142857142857143,0.7142857142857143
up3o2,Up302,Up302,0,0.6,0.8
PjzDk,PjLDk,PjLDk,0,0.8,0.8
Hv7ir,HNV7,HNV7,0,0.4444444444444444,0.6666666666666666
e4FodmvK,e4F0dnVK,e4F0dnVK,0,0.625,0.75
XbtM,XbtM,XbtM,1,1.0,1.0
lEH1W7,EH1w1,EH1w1,0,0.5454545454545454,0.7272727272727273
eICrS1u,eCrSk1,eCrSk,0,0.6666666666666666,0.6666666666666666
zvraLcRJI,ZVCRJI,ZVaLCRJI,0,0.5882352941176471,0.9411764705882353
YsbYNbDW,YSbryNbDw,YSbyNbDw,0,0.625,1.0
t1zX,HZx,HZx,0,0.0,0.5714285714285714
9iOuWKs,9iouwnks,9iouwks,0,0.5714285714285714,1.0
CxKIsu,CXIsSu,cXIsSu,0,0.5,0.8333333333333334
UkaB1yj,tKabYj,cKabYj,0,0.3076923076923077,0.7692307692307693
oyb7W,o'b7W,o'b7W,0,0.8,0.8
AweT,AWET,ANet,0,0.5,0.75
ccet,Ceter,Ce7r,0,0.25,0.5
P5uuIXgC,P5uIixgc,P5uIixgc,0,0.625,0.875
DZ53IZX,D5311x,D5311x,0,0.46153846153846156,0.6153846153846154
CpvO,CPLO,cPLo0,0,0.0,0.6666666666666666
AduEkr,AduEkxr,AduEkxr,0,0.9230769230769231,0.9230769230769231
XuuHE2x,xUuHE2x,xUuHE2x,0,0.7142857142857143,1.0
OrFvBpK,ORL5VBpK,ORFBpK,0,0.7692307692307693,0.9230769230769231
fp5R,AP5R,&p5R,0,0.75,0.75
sKptE,SKIPtE,SkpE,0,0.4444444444444444,0.8888888888888888
srbi6,Srbi6,Srbi6,0,0.8,1.0
9Uj0,9U'io,9Uio,0,0.5,0.5
7l3T,73T,73T,0,0.8571428571428571,0.8571428571428571
rHO0ssc,rHOOssC,rHOOssC,0,0.7142857142857143,0.8571428571428571
dpqdqxTt,dobqdg9XYt,dobqdg9XYt,0,0.4444444444444444,0.5555555555555556
mRgypK,mpgk,mpgypK,0,0.8333333333333334,0.8333333333333334
Uxpget,rxpget,rxpget,0,0.8333333333333334,0.8333333333333334
YFg5,YFg5,Yg5,0,0.8571428571428571,0.8571428571428571
Fcx3x7,FLX3X1,FL3X3T,0,0.3333333333333333,0.5
SnPKQ7p,sMPkQ7p,sNpK7p,0,0.46153846153846156,0.9230769230769231
IlzqwQfG,I7ZqWQfG,I7ZaWNQfG,0,0.47058823529411764,0.7058823529411765
wln1,w1n1,w3n1,0,0.75,0.75
