Actual Solution,Predicted Solution,Result,Similarity,Similarity (Non Case-Sensitive)
QJ8E25T99,####,0,0.0,0.0
DCLLCFMST,#####,0,0.0,0.0
GDIR94RYT,## ## #### #### ## ## ##### ## ## ###### ## ## ## ## ## ## ## ## ## ## ## ##### ## ## ## ## ##### ## ## ## ## ## #### ## ## ## ##,0,0.0,0.0
WZYFAPKMJ,MMMPMPMB,0,0.23529411764705882,0.23529411764705882
3OS76CFMC,BOOYAH,0,0.13333333333333333,0.13333333333333333
S4M6SFEGT,####,0,0.0,0.0
GPX0L3MOK,#####,0,0.0,0.0
DQDH74QY7,"###### #### ###### #### ### ##### ## #### ### ### #####
## ## ## ## ## ## ## ## # ## ### ## ## ## # # ##
## ## ### ## ## ## ## ## ## ## # ## ### ## ## ## ## ##
## ## ## ## ## ## ## ## ###### # # # ## ## ## ### #
## ### ## ### ## ### ## ### ## ## ## ###### ## ### # ##
## ## ## ## ## ## ## ## ## ## ## ## ## ## ## ## ##
###### #### ###### ### #### ## #### #### #### ##
## ##
### ###",0,0.0,0.0
KLQI9OF70,";;; .;;,. [[[[, $$$$, ""888""88o, MMM",0,0.0,0.045454545454545456
H7J2Z0TDZ,#####,0,0.0,0.0
K7SVFMZR6,"Y888P""",0,0.0,0.0
RGROGS822,"#### #### ####
## ## ## ## ##
###### ### ## ###### #### ### ## ##### ## ## ## ##
## ## ## ## ## ## ## ## ## #### ### ###
## ## ## ## ## ## ##### ## ## ## ##
## ##### ## ## ##### ## ## ## ## ## ##
#### ## #### #### ## ###### #### ###### ######
##### #####",0,0.0,0.0
YNMX6TB0G,####,0,0.0,0.0
8CK9U091V,MMMMMMMMMMM,0,0.0,0.0
646OQ7RX3,A',0,0.0,0.0
OVHTNTGJH,dP,0,0.0,0.0
JTVY1YLQJ,H33X7,0,0.0,0.0
51JIT52LE,###,0,0.0,0.0
XS5GGFV6R,##### #### ####,0,0.0,0.0
SC26U0F3U,#######,0,0.0,0.0
XH75N228S,ooooooo,0,0.0,0.0
81B89NH77,"#### ## ### #### #### ### ###### ######
## ## ### ## ## ## ## ## ## ## ##
## ## ## ## ## ## ## ## ##### ## ##
#### ## ##### #### ##### ## ## ##### ## ##
## ## ## ## ## ## ## ## ## ## ## ##
## ## ## ## ## ## ## ## ## ## ## ##
#### ###### ###### #### ### ## ## ### ## ## ##",0,0.0,0.0
UE0AABDO8,ooooo888,0,0.11764705882352941,0.23529411764705882
Z33P9B2OC,PPPPPP88p338888PPPpd88PPo288888888dooooooop8888888ooo888888d88p8888PPPP888888d88YPPPPPPP888P888PPPP888oo888d888888,0,0.06504065040650407,0.08130081300813008
TGI37JF8K,####,0,0.0,0.0
RX868HDKV,"###### ###### ###### ##         ## ##
##  ## ##     ##  ## ##         ## ##
###### ##  ##  ####  ######  ####  ###### ###### ## ### ##  ##
##  ##  ####  ##  ## ##  ## ##  ## ##  ## ##  ## ####   ##  ##
##      ####  ##  ## ##  ## ##  ## ##  ## ##  ## ## ##   ####
##     ##  ## ###### ###### ###### ##  ## ###### ##  ##   ##",0,0.0,0.0
N1M7MZHOJ,"....::::::;;;;;;;;````'''`[[.,,,`$$888boood88""MMMMMMMM""",0,0.0625,0.0625
3F7800V3G,#####,0,0.0,0.0
D1YN4UH4P,"d8P"" 88
                          ,d8'   88
                          d8'    88
                          88     88
                          Y8,_ _,88
                           ""Y888P""",0,0.020512820512820513,0.03076923076923077
AAI7PWL5Z,AIIA7PPPWL5Z,0,0.7619047619047619,0.7619047619047619
AAN44IZZR,######## ######## ####  ##     ##      ##  ### ######## ######## #### ###,0,0.0,0.0
QJ8E25T99,####,0,0.0,0.0
DCLLCFMST,#####,0,0.0,0.0
GDIR94RYT,## ## #### #### ## ## ##### ## ## ###### ## ## ## ## ## ## ## ## ## ## ## ##### ## ## ## ## ##### ## ## ## ## ## #### ## ## ## ##,0,0.0,0.0
