Actual Solution,Predicted Solution,Result,Similarity,Similarity (Non Case-Sensitive)
5UEQ,5UEvQ,0,0.8888888888888888,0.8888888888888888
62Ydos,sody26,0,0.16666666666666666,0.16666666666666666
Xe1wHE,Xc1WNR,0,0.3333333333333333,0.5
sCFES,SCFES,0,0.8,1.0
jB2zJ,J6ZzJ,0,0.4,0.6
H2b7a,H2b1qA,0,0.5454545454545454,0.7272727272727273
EUWK,EJW4K,0,0.6666666666666666,0.6666666666666666
BP88Y,BP88Y,1,1.0,1.0
GZSGV,GZ8V,0,0.6666666666666666,0.6666666666666666
hxv9mf,ZxNV9nf,0,0.46153846153846156,0.6153846153846154
cE0mwPlS,cE0nPlS,0,0.8,0.8
wcV2DpQL,wCkDyLL,0,0.4,0.5333333333333333
sFJwE,SxJwE,0,0.6,0.8
3LbmgEx,3Lbvn8Er,0,0.5333333333333333,0.5333333333333333
gpBrg,gpBr8g,0,0.9090909090909091,0.9090909090909091
vscw,VSCzz,0,0.0,0.6666666666666666
JBME,D4V3,0,0.0,0.0
m74W3x5Cw,M4W8x5CW,0,0.5882352941176471,0.8235294117647058
7MN1dcP1,7MNaSCA1,0,0.5,0.5
2A8z9b,2aG9b,0,0.5454545454545454,0.7272727272727273
xpm1,t9YnI1,0,0.2,0.2
HWWD,HWMd,0,0.5,0.75
qm7hS,qmr5B,0,0.4,0.4
JdBYnY,I8D1NY7,0,0.15384615384615385,0.46153846153846156
OtzmBAF,otzABAF,0,0.7142857142857143,0.8571428571428571
uhNDFA,uhNDF4,0,0.8333333333333334,0.8333333333333334
WNng,XfNq9,0,0.2222222222222222,0.2222222222222222
kvQim2s,KyQ1d2S3,0,0.26666666666666666,0.5333333333333333
5hFi,SNFi,0,0.5,0.5
rbRio,rYRiO,0,0.6,0.8
ZF3JRxXt8,1A3eRrXt8,0,0.5555555555555556,0.5555555555555556
qpK1nvTRc,aPK1nVRC,0,0.47058823529411764,0.8235294117647058
FxdY0A,Ax9YoA,0,0.5,0.5
tjyVSsux,XVSvX,0,0.3076923076923077,0.46153846153846156
YP16q,APLbq,0,0.4,0.4
Ozh8A,OZh8A,0,0.8,1.0
eWBQVwPP,eWBQVwP,0,0.9333333333333333,0.9333333333333333
VYy7z5J,VY7Z5J,0,0.7692307692307693,0.9230769230769231
SGSR,SGR,0,0.8571428571428571,0.8571428571428571
XTYgnaq4,Ty9nap44,0,0.5,0.625
X7Qhpb9,A7Qhbq9,0,0.7142857142857143,0.7142857142857143
dX74ZsU,eX7AZSU,0,0.5714285714285714,0.7142857142857143
c0sD,caSo,0,0.25,0.5
