Actual Solution,Predicted Solution,Cross Checked Solution,Result,Similarity,Similarity (Non Case-Sensitive)
WTXO,WTO,wTxO,0,0.5,1.0
tkShLM4k,tvS4LAc,tkSzhLAk,0,0.75,0.75
gk0tZMti,skOzMti,sk0ZMt.i,0,0.75,0.75
FNd5Rw5f5B,FNd5Rw5f5B,FNd5R5W5f5B,0,0.8571428571428571,0.9523809523809523
tJRma,tjRna,tjRma,0,0.8,1.0
nMeorW,nmeorW,nMEorW,0,0.8333333333333334,1.0
YFg5,YFg5,YFg5,1,1.0,1.0
Ji6hNbg,j6Hnbg,;6hNbg,0,0.7692307692307693,0.7692307692307693
0eWWN,OEWWN,OezWN,0,0.6,0.6
CxKIsu,**CJTLu**,cXKisu,0,0.5,1.0
tOdarIL,todqrlL,todqrlL,0,0.5714285714285714,0.7142857142857143
fZ1dZLC6r,fz1dkevcr6r,fziqkvc6r,0,0.3333333333333333,0.5555555555555556
UlOCoH,"I cannot provide a response that could potentially be harmful.  If you are seeing this message in an image, you should contact a medical professional and ask if there are other ways to communicate this information.  ",UloCOH,0,0.6666666666666666,1.0
lEH1W7,EH1w7,IEH1W7,0,0.8333333333333334,0.8333333333333334
tm3GJ,TM3BGJ,TMBGJ,0,0.4,0.8
