Actual Solution,Predicted Solution
Z7X88IWAL,8888
NAHLJKHEI,5671
FRV2S1NNC,59329
GKGWGJG3H,88888
CRFT4W8K7,7282
H6F3IKRH0,67835
N1M7MZHOJ,888
78W7UV0VS,8565
2K0JW07N9,8637
5BUHRHQIW,8833
7LYT8BTQ1,93651
5MAQ8I2Q6,8722
K7SVFMZR6,8388
JWC5GZTSV,6322
62GQEH0KN,7231
Y47SCJ6CU,9267
XH75N228S,8888
O6G3MTUVM,8729
VNI128EEV,5678
6R12L1DE2,9841
PY2VPIYZE,8746
4W20P8NJO,4967
C8NU572JX,1234
5KH171CM9,8426
6RJVNN2OA,9165
O10CFPH4G,8347
865YPBZNW,5519
3OS76CFMC,94971
FRQUFDF6L,5678
31LNTN1IJ,65479
243JSPB2Z,98765
Z33P9B2OC,9d88PPPo
EN3TP6ITA,5829
PE6OQAD8Q,9186
Y484NHFDL,6615
AQUDPHI1P,71477
H5UVNK3I0,88888888
SLTCYC92Y,8314
M0Z8TZC5S,8482
086XSQDG2,8888
152EE896L,8255
KK42IQZ4D,2468
N3A1STC62,7428
7BIXHAY8O,5842
IZGI5IY5N,888888
OCRL8KEED,6789
42B5WWIF1,6529
45PDX4YHA,9632
CYBS71I8H,9687
VOIPMA5R5,1423
I6G0EC7OF,8228
TTYHC8WQR,7835
C388XEZQJ,8829
FXOBNIPYX,1456
OCZC3SO7Q,7691
EMNTEXGRT,9959
7N732I0G8,6328
YVUKRI1UR,6479
4ABO1OBQ1,7614
B4SGCVNY0,9728
73RIS7TID,88888
RGROGS822,1234
278G2628A,8536
CZKK6X6QD,7348
LKB19XK4Q,64593
WB21Q9JXL,1347
P4PKJTM1M,8321
WT7YB60GZ,8761
8BA72N2JY,9222
RURSOISDV,7824
50CPYJ32M,8825
ZKNKAKF25,8631
BAXELSAXW,17258
5OOCCMTFO,53246
9J28FX8GX,7715
5SBZ40C53,1283
Z31DZ3DXV,8379
EDPT7CV60,7549
2QCZXFRVI,8721
2R98D6ODL,7852
T7HWNBIZG,4522
8QSXCC7G9,4121
CXBVX26QR,8888
LZ754TLKK,7482
OAXZIWXEN,8763
KQ7YA5IQ5,6538
5TE58MLGD,6612
3LDCACWYE,2859
UYO5XSJO0,7864
AZJUF9NDW,7543
COBVS62ZT,7821
GQY3P47QZ,888888
P1VWI2HVX,8888PPPp
N3Y8KZT22,7431
Q2PS7M7AH,888888
RY1R1UK0H,888888
1SZ3GEQA3,5325
2COFURCTE,5531
LYYMU1WYF,3556
6QSZW8XBQ,72236
W8POINN2B,4356
6MLBXR44G,6814
LJSCYUCVT,8888
BTAVEH728,2114
PRQSKHWF5,8756
LZKS8F5B5,88888888
3JM2AZ94T,4899
GNAQ80FMV,8765
3GCUEX22K,2878
CR83XS0UI,7298
OM44B6KIO,8811
TKTRXT6E2,"I cannot see a CAPTCHA.  There is an image, but no CAPTCHA."
0EIFDT1NE,89819
5RFUZ9RW3,6923
2D95QXAQC,6745
J0M3H5AR1,SPSPSP
OF39RIKAL,4345
TPKC1Q9IK,7341
LN8RPSDLR,29957
C0Z9AGFM9,76851
ZMDGDV1Q7,6714
E6IA908E8,6325
TC6EF753B,3397
PD8C6VDP0,8723
PEVINWO9E,8369
85061WVCT,12345
AV1NMEI4S,8763
QFFHW1ZMW,4652
A8C3Y03DT,8doooo
DWBZ5YLR4,888888
1PJN140EK,I see no CAPTCHA.
J2LV480DX,6913
YP4LDMSZ3,6471
CPGDR5AB3,8888PPPp
EI2D7JNO3,888888
R0HCODJKN,888888
TB51MKHA9,6729
TG9UKCDJ0,7542
1FRSMZI22,1333
QT5F3L2B1,64728
FDCDYHWIL,3657
M7AO5KCI5,8943
U25ZF2XDJ,6372
M51JB374Z,6758
GLPDJXYY1,8334
4P34JTIVD,3759
QJ8E25T99,6333
K6UWWAV1Q,4961
K9K47I0YX,8657
I7XRUUU1H,12345
J03RPWBMB,399
8NNYBLA19,6831
LQW3HB4NT,888888888
TNE81VWUN,888888
HO8EQK14G,6522
FT42LUV3U,9628
U2389VUND,8759
NQQK76PM3,8753
HIVIPRQYE,888888
WZWKXK34Z,6521
3Z70WUHIG,6423
LJOJ0Y1BZ,8736
1E3S7LUE0,4258
P2OYFYDS6,888888888
ZIQZM4C9O,9857
8SRK67Y8L,1585
SCD9CQXLW,6541
FYE5Z11U0,I see no CAPTCHA.
27LHBVO3M,8759
6Q7LZCROA,6821
EW0PMKL3W,6522
S0TA47XB2,4567
BEW0W4QF3,7568
3MJ1T4YEI,951853
1KVPUALES,8641
TE7TJHCH9,75423
OVHTNTGJH,2837
87YKTCTPD,888888
QGQ8O4RG5,5728
Q7HNJOTQ1,5426
YJ5FYCIYL,75129
VRW2ZW3I8,87437
HUAYB89IU,8974
LLDXM7053,8473
LR9F26ATJ,888888888
TSAHMBC0R,77636
NTLTGNQSB,888888888
TMMT11LIL,7224
1S7U9DCOL,8374
9TZF929T9,7853
UGKX0Y9F9,85178
WUFV7R0X7,96782
7M057HASC,95743
P5JAW4MP7,76145
CD7V4LTTM,8974
D2ILOBGPO,12345
I77Z6AICB,8369
AAI7PWL5Z,55z555
G1T1Y272N,7628
6RNOAPWTO,6372
RP6LB7UPV,6542
ASN2352KL,8214
N0759K6SM,8479
W79VP5QWD,I cannot see the CAPTCHA.  Please provide the image.
W13A71QM9,6512
