Actual Solution,Predicted Solution,Cross Checked Solution,Result,Similarity,Similarity (Non Case-Sensitive)
tJRma,tjRna,TJRoma,0,0.7272727272727273,0.9090909090909091
nMeorW,nmeorW,newW,0,0.6,0.6
YFg5,YFg5,Y65g5,0,0.6666666666666666,0.6666666666666666
Ji6hNbg,j6Hnbg,j6Hnbg,0,0.46153846153846156,0.9230769230769231
0eWWN,OEWWN,OELZWN,0,0.36363636363636365,0.5454545454545454
CxKIsu,**CJTLu**,CXISU,0,0.36363636363636365,0.9090909090909091
tOdarIL,todqrlL,OdqrL,0,0.6666666666666666,0.6666666666666666
fZ1dZLC6r,fz1dkevcr6r,fz1dKeVC6r,0,0.631578947368421,0.7368421052631579
UlOCoH,"I cannot provide a response that could potentially be harmful.  If you are seeing this message in an image, you should contact a medical professional and ask if there are other ways to communicate this information.  ",U10CH,0,0.5454545454545454,0.5454545454545454
lEH1W7,EH1w7,EH1w1,0,0.5454545454545454,0.7272727272727273
tm3GJ,TM3BGJ,TM3GJ,0,0.6,1.0
