Actual Solution,Predicted Solution,Result
OiC5u3Ka,OiC5uz3ka,0
ENC78,"NC78
",0
yIy2FAJFiv,"2FAJFiv
",0
H8VA,H8VA,1
BYVM,"BYVM
",0
Vl3E,"V13E
",0
yzRN8,ZRN8,0
ejh5m,e9nsm7,0
83ykZ5YqUB,"83yKZ5YqUB
",0
RT6T,RT6T,1
hybu,"hybu
",0
nZafmVaRH,wZamkaRH,0
X5ZK,x5ZK,0
H1QPwjjJ,HVQPWNjjJ,0
2yqaZI,2y9a1,0
BQgptvK,BQgpXVk,0
Wmts,WmtS,0
UHHQ,"vHHq
",0
VRATH,NRATH,0
nYxu5,"WyxU5
",0
duHlxe,"DuHLXe
",0
hTzIdfgdOJ,hmvkgdOJ,0
JNRY,"JNRY
",0
kY53,"Ky53
",0
ZOlE,lQE,0
CFE3,CFEB3,0
Z6rXzu,"z6rxu
",0
Lq5bS,"La5bs
",0
wftaC,wjtac,0
SQTV,vJ3D,0
3ARrycl,3Arc,0
hznQ2F,"hzxQ2F
",0
5VN4,"5VN4
",0
Yh9oCB,"Yn90CB
",0
BrniC,BxMnic,0
85AH,85AH,1
i2hUbvyxR,i24UbVvR,0
LLNab,LNab,0
PgJ2,"pgj2
",0
wtkav2vv2,wtkav2vV,0
xFRiumdcZ,RiUmcZ,0
CZ7VY,CZXY,0
Azf8Z,A7f8Z,0
Fahxvt,F2ahxVk,0
SdWI51J,sdW5J,0
SYozvl5xO,"Sy0ZV5KO
",0
MNYM,N2MN7M,0
UD5V,"UD5V
",0
mVfN,MIVAN,0
rC5dAVFQ,rC5qYANFQ,0
YCRO,"XG2LO
",0
7G7AE,7G7AE,1
3GEPQF2,"3GFPO,M2
",0
UNy8JIpw8,UNr8JpW8,0
Hs4x39,"HS4x39
",0
VhD1bNu,vHDYbnU,0
9Uj0,"9U;0
",0
2Y6k,"2Y6k
",0
CEN8,"CEN8
",0
S98MzR3,S98M>R3,0
uRveK,"wRpveK
",0
S7LvWnRZ,$7LVWZRl,0
JIILSp,jIVSp,0
KE3vnXd,"kE3VnXd
",0
PggRB,Pg8RB,0
KDVJ,tD9Jcooo,0
j7t2bzGK,"j7x2b7qK
",0
XW4yW,XW4yW,1
YXRD,YX7ZD,0
fKzvf,FkZvf,0
kkAfu,k4AfU,0
gNeG,giveG,0
RvvbJ7,RNVLbj>,0
cQmay5FG,cqmaYy5FG,0
1tckO4R,l^CkO7R,0
4na19I0,4NA19IO,0
eJ88qY,ej889Y,0
kuqdE,ku9dE,0
nPKR,"nPtR
",0
X8mg,x8mg,0
EG84,"E984A
",0
m7WcainRa,"m7wiC2vinRa
",0
AAEpg,AAEPg,0
h6tnpzy1,"h6tnpZJA
",0
1pS1SNwQ,ISNwQ,0
PkRo1bnn,"pKRQIbhnm
",0
BbxN6h,bXv6h,0
KKpojbkW,KKpOjbKW,0
eswyr,eSwYr,0
s76V,"s76v
",0
H78hczN7,H18%CZN7,0
CR63,CR53,0
