Actual Solution,Predicted Solution,Result,Similarity,Similarity (Non Case-Sensitive)
mreNFH,mreN^H,0,0.8333333333333334,0.8333333333333334
gBPC,gBPC,1,1.0,1.0
MycA,M^CA,0,0.5,0.75
AmA5,Am45,0,0.75,0.75
6f1N,6f^1W,0,0.6666666666666666,0.6666666666666666
s0hbX44r,s0nbX4Ar,0,0.75,0.75
HmIdNRAi,Hm/dNRai,0,0.75,0.875
ES43bZzLG,E$43bzLG,0,0.8235294117647058,0.8235294117647058
SKNC1pBZ,SkvCrpBz,0,0.5,0.75
4mugcJQ6i,4mu8Cyxq61,0,0.42105263157894735,0.631578947368421
P7DRqxJ,PzDR9xJ,0,0.7142857142857143,0.7142857142857143
wuZfWIk,wuZfwIk,0,0.8571428571428571,1.0
U8I2dz9U,U8rdZgU,0,0.5333333333333333,0.6666666666666666
PDmX,PdmX,0,0.75,1.0
bTXu03,brXuo3,0,0.6666666666666666,0.6666666666666666
Soky,s0ky,0,0.5,0.75
jAXmg0C8,jAXm80C8,0,0.875,0.875
f20SU8wLq,f20Sc8zLq,0,0.7777777777777778,0.7777777777777778
4oaWXB,OawXB,0,0.5454545454545454,0.9090909090909091
r9aq86f,r9a986f,0,0.8571428571428571,0.8571428571428571
S2cfpbVY,s2cfpdyY,0,0.625,0.75
KQ5Ao,KQ5A0,0,0.8,0.8
5fb0DdICz,5fb0DqCZ,0,0.7058823529411765,0.8235294117647058
bXs3Gvw,b+s3GLw,0,0.7142857142857143,0.7142857142857143
ivl17vEAhr,iMVEAr,0,0.5,0.625
SIbw2QT,S1bW2QT,0,0.7142857142857143,0.8571428571428571
EfKNI,EfK7,0,0.6666666666666666,0.6666666666666666
oXltLEgpD,Ox1LEg,0,0.4,0.6666666666666666
TXI3OGuNrA,TX\30GUnrA,0,0.6,0.8
RDaeDXieyE,RdaepXieyz,0,0.7,0.8
AxI13b,Ax/3b,0,0.7272727272727273,0.7272727272727273
oxG0er,0xG0er,0,0.8333333333333334,0.8333333333333334
k5cn,k5Cn,0,0.75,1.0
JxR15USt9,R/3st9,0,0.4,0.5333333333333333
Of3ERv9P,OfERV9p,0,0.6666666666666666,0.9333333333333333
Bb8cAqu,BB8CAQU,0,0.42857142857142855,1.0
R0RVsoI,R0RvS0I,0,0.5714285714285714,0.8571428571428571
6IQvxSC,6IQvXSC,0,0.8571428571428571,1.0
yMHvKwqz,YMWKWa2,0,0.26666666666666666,0.5333333333333333
l39QcBMO,9Q&MO,0,0.6153846153846154,0.6153846153846154
norJ,norJ,1,1.0,1.0
TtnY,TtnY,1,1.0,1.0
nDnC,nDnc,0,0.75,1.0
Y6kez0,e>0,0,0.4444444444444444,0.4444444444444444
a6T2dL8ALw,a62d8Aw,0,0.8235294117647058,0.8235294117647058
Soky,so0ky,0,0.6666666666666666,0.8888888888888888
w34empDx,437emppD1,0,0.5882352941176471,0.5882352941176471
WHXlb,WxALB,0,0.2,0.8
F0HA,F0HA,1,1.0,1.0
FknWp,FknWp,1,1.0,1.0
oAxRGkU,oAxRGku,0,0.8571428571428571,1.0
Myn4oMVt,My4qwt,0,0.5714285714285714,0.5714285714285714
c8t2SeOe,c8Kseoe,0,0.5333333333333333,0.8
SKUzX,sKUzX,0,0.8,1.0
ucs5Czr5q1,ucS5c5q1,0,0.6666666666666666,0.8888888888888888
0SFBxC,0SFBxC,1,1.0,1.0
bK7M09o0j,bK7M09o0j,1,1.0,1.0
S2cfpbVY,s2cfpdY,0,0.6666666666666666,0.8
EKCTxLB,EKCTXLB,0,0.8571428571428571,1.0
dYHHgRYM,DYhHGRyM,0,0.5,1.0
7ChQ0u,7HAoU,0,0.18181818181818182,0.5454545454545454
FXZPRq1o,F+zPRa1O,0,0.5,0.75
y0TQJM,y0T@JM,0,0.8333333333333334,0.8333333333333334
we36D,We36D,0,0.8,1.0
lWDOyI,1wDOyl,0,0.5,0.6666666666666666
qYwFVpl,qYWAWV9,0,0.42857142857142855,0.5714285714285714
M5qbW,M5qbw,0,0.8,1.0
FXZPRq1o,F+zPR^1O,0,0.5,0.75
AQXF,aQ+F,0,0.5,0.75
xD1R2SVh1y,x0JR2SVhy,0,0.7368421052631579,0.7368421052631579
AKSpZ2,Aks2,0,0.4,0.8
7ZumqX,>umqax,0,0.5,0.6666666666666666
mNgzV6Q,MWGZv60,0,0.14285714285714285,0.7142857142857143
uyfZUKtHj,ayUHj,0,0.5714285714285714,0.42857142857142855
gRSl519HgP,gRS519HgP,0,0.9473684210526315,0.9473684210526315
fRY9yKYF,fR9yKYF,0,0.9333333333333333,0.9333333333333333
lGil1,Qyl,0,0.25,0.25
OxxL2F56,OxHl2F56,0,0.75,0.875
qBoG,cBOG,0,0.5,0.75
Gj9fY,Gj9fY,1,1.0,1.0
vlKzCC,vLkZcc,0,0.16666666666666666,1.0
QfcX226NZ,QxCX26Nz,0,0.5882352941176471,0.8235294117647058
OinJ5bmK8t,OiJ5bn8t,0,0.7777777777777778,0.7777777777777778
