Actual Solution,Predicted Solution,Cross Checked Solution,Result,Similarity,Similarity (Non Case-Sensitive)
lQlskUPy,Volksupy,NQlskUPy,0,0.875,0.875
RE83,RE83,Re83,0,0.75,1.0
Qhhosp,QnhOsp,QnhOSp,0,0.5,0.8333333333333334
nm5sttj,nm5Stj,nm5Stj,0,0.7692307692307693,0.9230769230769231
jf4mSA2,jkmSA2,kf4mSA2,0,0.8571428571428571,0.8571428571428571
qfww,afWlz,afWZ,0,0.25,0.5
ldej,lAeJ,jdej,0,0.75,0.75
3NVEpzp,3NVFZPZQ,3NVEpZ,0,0.7692307692307693,0.9230769230769231
K0QBsgp6,K0QBsgp6,K0QBsgP6,0,0.875,1.0
LqsXuE,L&SXuE,LaSXuE,0,0.6666666666666666,0.8333333333333334
S7wtR,SwltR,SwItR,0,0.8,0.8
0eWWN,OezWN,OezWN,0,0.6,0.6
71Yi2,7XYi2,7Ai2,0,0.6666666666666666,0.6666666666666666
uhQruYw,4b0ruw,uhQruYW,0,0.8571428571428571,1.0
CpVp,rVp,rVP,0,0.2857142857142857,0.5714285714285714
h6tnpzy1,h6tnpZzA,h6tnp7JA,0,0.625,0.625
5stvfX,5sTVFfx,5sTVFx,0,0.3333333333333333,1.0
pkL0VZ,pkLOv2,PkLOvL,0,0.3333333333333333,0.6666666666666666
