Actual Solution,Predicted Solution,Result,Similarity,Similarity (Non Case-Sensitive)
BZAQ,6EAQ,0,0.5,0.5
BkqcNgVQc,BKQCNGVC,0,0.35294117647058826,0.9411764705882353
k11Sb1,k7sB,0,0.2,0.6
03AdAR2,O3AdAR2,0,0.8571428571428571,0.8571428571428571
hQbRpNHJ,h9bRPNHJ,0,0.75,0.875
hzcmvwjb,hZCmvWb6,0,0.5,0.875
QHAX,QHAX,1,1.0,1.0
EHl0iticVd,EHVOiC8,0,0.35294117647058826,0.47058823529411764
QWXSIWBy,QWXS8N3v,0,0.5,0.5
stlcp3G,stcp3G,0,0.9230769230769231,0.9230769230769231
PJxc7qUI,pXC7qJI,0,0.4,0.8
EDKR,EDKR,1,1.0,1.0
djIrV8,dj1vz8,0,0.5,0.6666666666666666
oxysKroz,0ky5NvR02,0,0.11764705882352941,0.23529411764705882
PNXZ,PNXJF,0,0.6666666666666666,0.6666666666666666
R9lM,R9vM,0,0.75,0.75
BJr0j5t5T,BJ7oJ5kT,0,0.47058823529411764,0.5882352941176471
KQQ9,KAQ9,0,0.75,0.75
GTBU,GT8w,0,0.5,0.5
ZpTrqUB,zP7YqUB,0,0.42857142857142855,0.7142857142857143
a1Liy7JX,avY7JX,0,0.5714285714285714,0.7142857142857143
GKQY,GwD3i,0,0.2222222222222222,0.2222222222222222
S8YT,S8YT,1,1.0,1.0
ZK3ktTE,zK34TE,0,0.6153846153846154,0.7692307692307693
BwRBqJ,Bw8B9J,0,0.6666666666666666,0.6666666666666666
GhqW,Gh9W,0,0.75,0.75
Pu2S,Fu2S,0,0.75,0.75
Am49pc8,nM9oC8,0,0.3076923076923077,0.6153846153846154
HXLqL9zv6,HxL49W6,0,0.5,0.625
AWYV,AkWYV,0,0.8888888888888888,0.8888888888888888
ERHCP,ERHCP,1,1.0,1.0
BVFA,RjXEd5,0,0.0,0.0
tOWfSf7o,towfSx70,0,0.5,0.75
xC6X,xC6x,0,0.75,1.0
6ue8etyv3,6getyB,0,0.5333333333333333,0.5333333333333333
uZlITJuw,vZ1tJUw,0,0.4,0.6666666666666666
FYPX,eYPK7,0,0.4444444444444444,0.4444444444444444
