Actual Solution,Predicted Solution,Result
5Vkim,5N1km,0
WCTKzRA00,MCTK3RA00,0
NYA5,NYA5,1
Y7IMUKb,V7MUK6,0
bnphWN,b9nPhWnN,0
3s3Pk,3S3pK4,0
s48oL,S4p80L,0
bmdSbFJr,Y0m9sbifT,0
AWN5,AW6C3J8K,0
2beGxwW,2bGxXwN,0
XBEZ,xBEZ,0
v3sbdKF,VQ3BD4F,0
SVQr,5NQ8,0
Duarud,DUA62Ud,0
XrLB9KJzC,Xr18gkJC,0
T0S599r,T0S599f,0
qbIDEDCR,9bDEDCR,0
5dRn,5dRn,1
FocS,FOC5,0
4BiNGBca,48NgBc,0
Pwxw,P7XkN,0
uYCdVt8Gy,UvCdvNz8GY,0
jTI4L9foB,i7TvL4Y9fQB,0
f9aXg3G,fgaxg3G,0
J6XSE,6x5E,0
ZPnMK,LQFmK7x2J6,0
PsXpFu,p5xk9w,0
80IcPwC,80ICPWC,0
HEKP,a3E4P,0
XzWxU42HL,X=w^U42HL,0
Ff0B,Yf0B,0
La4JHmGr,K84JmGr,0
i3OltY,i30/tk1,0
vQR4qoNN,L0R4O1N,0
42UK,42uK,0
m5nq7,m5Ng9I,0
8wcH,8wCH,0
YFYN,YFYA4,0
fBGW,1BcW4,0
Ga4hm,Ga4Jm,0
HsmpK,g5MpK4,0
lSZj,rZj,0
MFSN,M4C54?2C,0
qr4BN,aR4BN,0
R5rvh,R5JvB,0
MAES,IVAA5,0
6SicwqQ,b5LW9Q,0
gDsKb,GDSkB,0
nxwzC,nTwZc,0
ARNS,4RNS,0
ytnHDwE,y7zHDwq,0
3quX9fF3E2,3q4%fF3R,0
6D2DtFY,6Dd9t4Y,0
GYR5,G7B5,0
6EHF,b6HF,0
RcU8J,RcU09,0
NCCRV,NCR4V,0
KDMH,KDMN,0
2eI8adfIZ,2K18aAf71,0
CVSS,CVsS,0
y6c4oZ,Y6c4Oz,0
FRYWFHr,RyZH2,0
HXK4,HxKA4,0
JGSQ,JgD,0
MPAM,MPAM,1
GRFUBtjY,6RFU8FY,0
cTs80B4,c7S8B4,0
SM55,SM55,1
uzOrRg,uZ0Rg,0
brvSn6,bXVn6,0
Ayx8rzrM,AX8rZ1M,0
XYNg,X7NG,0
CZnvklqZif,CvvV1qZif,0
SZQP,5rQP,0
NctrQ,Nc7fQ,0
AzFa7,AzZd,0
614FGSK,6zAfGSK,0
V9o0h,v900h,0
C44Y,Ca9Y,0
3NZCg,3NZC8,0
VDJG,V9sT6G,0
5uWv9WLdm,5uN9VLm,0
13E4,1E4,0
9ACP,9aCP,0
fKa3D5,kA3D5,0
XzTZ,XzTZ,1
OrFvBpK,0RFBBPM,0
aCHZ,aCHz,0
twyiobX,8z)iQ%X,0
YegOxieih,Yeg4xe^,0
Kz3YtMNvvX,K23YMNVbR,0
F55DE,F5DE,0
PPTCq8hPy,pP7-cb8zP',0
Iq9NWcT,a9vWCT,0
VqLFrMkD,VALrAMKO,0
VTFC,VT1FC,0
4TJ3,4T3B,0
W87HU,YB87HU,0
DZ53IZX,D-a531x,0
4JCP,4JqP,0
