Actual Solution,Predicted Solution,Result

Emlii1E1T7,Em2ii\EK7,0

vkBiqU1Q,Vk8iQUb,0

IUwy9nd,Uwyna9nd,0

DjwL44,DjwL44,1

f9VU9dzj1,r9vUgcdZj',0

VBycPkrRO,vByCpkrRO,0

j8q3,j8q3,1

zBePxmpx,7BeXmpX,0

CQOXRXZ,cQOxRXZ,0

v88D,L8sD,0

xsr2gNaC,tSR2gNAc,0

PTKN,PAZN5003,0

qtsYfui,a7SYfui,0

4RJW,RJNW,0

0MLoL,0MLOL,0

RKkp4o6,RvKpA06,0

FPyoN6,PLOw6,0

aKj4l,akjA4/,0

MVMM,NMM,0

jfGPZ,jfGpz,0

AFH3,A1HB,0

F8FH,ABH,0

UC3vDP,uC3VDP,0

NHJJ,500?VEGJ,0

HeZ9oK1,HeZ9o11,0

QK6Kf,pK6Kf,0

6JGnUiw5,6jNjwWS,0

3b8XFv0,3h8XFV0,0

HQzMJm,HQzMJm,1

zy3UCD,ZV8uCD,0

uK4SLZef,uK4Sv1ef,0

TE5V,TE5V,1

0WFYP,OwFYP,0

uJPjQIv,u1Pjρ12,0

QCVMU,qCvMU,0

s05K7PoT3,s05K-7PO73,0

abyPlvlc2,Q6yP/KC2,0

Ha1M,Ha1M,1

8l5JtoiqLo,aA5Jt0i9g<0,0

7d2AtF3Ys,7dk7AF3Ys,0

7JQENu,1QENu,0

2W4xOHc,2w4tOHc,0

B5TE,B5TE,1

uTXq,uT+q,0

3lKejF8Hl,3lKejF8Hl,1

E9jbdOB,E2VdaOB,0

zVhqItoUA,ZWh9ltauA,0

ug3tfuUj,ug3tf\MUj,0

8GYu,8GYu,1

Tvr5,TvR5,0

VrTq,vRTa,0

r6Q7918,r601978,0

PAfbBZF,PAfbBZfF,0

FNbPEEWfh,FNv0PEEwN,0

K34wto7c,K3Nzt0Vc,0

zRQ1,7RQ/,0

YiYTObAkb,yiYTO06Akb,0

2CaZ,2Ca7,0

9kPf,9kPf,1

4Bs8x,4BSst,0

44dcPJ4,A4dcRJA,0

CnZDY,cnzDY,0

MinQ1,MinQ1,1

qxSBq,9xSBq,0

XVHA,c.3XxxX,0

F2gu,F2gu,1

PrtLoCbQX,prtL0cVbqX,0

B4MS,B4MS,1

nmdb,mAd6,0

CT4a,cT4a,0

sKmI4,sKm/4,0

LDNV,LAW007,0

EGaQXT,EGaQXT,1

UMDH3,UMDH3,1

7d1f4Z,7dk4vL,0

xWZE3,xW7xE3,0

2Ye6,2ye6,0

wrZpyv,wrzpJyV,0

kLKf,KlFe,0

9zzL,91Zk,0

KUiTzj9nI,kUkZj9n,0

RI0o3Mu,Rl003Mk,0

9TMbl8Ck,9TMb18Ck,0

QZQ8,QZGB8,0

C8Vz4QX,C8VZ14QX,0

AR1dakRrLT,ARda1aRRt,0

pBQpsjCP,p6Qps2Cp,0

t4WgZ35,t4W8Z35,0

76PS,KPS,0

xloZOD,4ozOD,0

9yqMong1,9yqMonqg,0

7YsSJ,7tSSj,0

0AIOg,0A10ga,0

KTynLa,KyynLa,0

QWu2qczY,QWu2a\CzY,0

DAML,DAAL!2:,0

5qVcF40,5aVCf4o,0

MfxCf1,kfXCf1,0

X9qA,t9aA,0

7U5H,7U5H,1

4PKC,APkc,0

9HtC,9HxXoC,0

QNRVY,gNRVVY,0

xytB5R,XytB5R,0

etA3vV,etA3vV,1

XUaUZ,UxU2Z,0

XwSf0,XwSf0,1

EWtLrJ2,EWtlpR2,0

1vlA,lvnA,0

OJqpdMG4A,QjapMG4A,0

HQCAA,HQcA1A,0

pwcZ,pwcCz,0

VRYRujIT,VRkRuJT,0

KPgGP,Kp9Gqp,0

EgM6,E0M6,0

lbJqu,kbjqu,0

3VGUD,3VGUD,1

85YW,8YV,0

fnhJYIeSN,fnJYiesN,0

EHaiQcC,EHaiQccC,0

HRV3,HRV3,1

DUhCJ,DuHCJ,0

HCrQxq,HCR0xq,0

Nbei,nBEI,0

BWXS,BWXS,1

1Y9igWMUc,JV9igWMUc,0

JG2K,jG2K,0

p15wzZ,p15WzZ,0

VPDI,VPA500R,0

9AKJV,9AyKN,0

K9f9,K9f9,1

CFHU,CRHV,0

kfVnXLjF,kfVnxXjF,0

LoLm,LOLm,0

HBlSXrJ,HB1sxrJ,0

