Actual Solution,Predicted Solution,Result
OiC5u3Ka,öC5u3ka,0
ENC78,NC78,0
yIy2FAJFiv,2FAJFiv,0
H8VA,h8VA,0
BYVM,BYVM,1
Vl3E,Vl3E,1
yzRN8,ZRn8,0
ejh5m,ejnsm,0
83ykZ5YqUB,83yKz5YqUB,0
RT6T,RT6T,1
hybu,hybul,0
nZafmVaRH,nZamKaRH,0
X5ZK,x5ZK,0
H1QPwjjJ,QPWNjjJ,0
2yqaZI,2qazJ,0
BQgptvK,BQgZVVK,0
Wmts,WmTS,0
UHHQ,vHHQ,0
VRATH,NRATH,0
nYxu5,nYxU5,0
duHlxe,DuHLXE,0
hTzIdfgdOJ,kckgdOJ,0
JNRY,JNRY,1
kY53,ky53,0
ZOlE,zQE,0
CFE3,CFE3,1
Z6rXzu,z6rxU,0
Lq5bS,La5bS,0
wftaC,wjtaC,0
SQTV,vf3D,0
3ARrycl,3ArCj,0
hznQ2F,hZQ2F,0
5VN4,5VN4,1
Yh9oCB,k90CB,0
BrniC,BMic,0
85AH,85AH,1
i2hUbvyxR,i2AubvJR,0
LLNab,Nab,0
PgJ2,pgj2,0
wtkav2vv2,WtkaV2V,0
xFRiumdcZ,nRiUnC,0
CZ7VY,CZXlY,0
Azf8Z,A7f8Z,0
Fahxvt,FahXV,0
SdWI51J,sdWL5J,0
SYozvl5xO,SYozLv5xO,0
MNYM,NBNN,0
UD5V,UD5V,1
mVfN,MIVAN,0
rC5dAVFQ,rC5yANFQ,0
YCRO,XGALO,0
WI2HlKtzZb,W2HkTZ1b,0
aWyd,aWyd,1
E2YQ,E2YQ,1
18ZS,18ZS,1
tiIpE,tlPE,0
