Actual Solution,Predicted Solution,Result,Similarity,Similarity (Non Case-Sensitive)
WJhyeSPy2,WhyesPY2,0,0.7058823529411765,0.9411764705882353
LYww,LyzwN,0,0.4444444444444444,0.6666666666666666
gpBrg,gpBr7g,0,0.9090909090909091,0.9090909090909091
VdR4U,vRdRU,0,0.6,0.8
4tYGTiL,AYGTIL,0,0.6153846153846154,0.7692307692307693
qm7hS,qmf5,0,0.4444444444444444,0.4444444444444444
FxdY0A,ExoY0A,0,0.6666666666666666,0.6666666666666666
yRg9LLM,yRg9LLM,1,1.0,1.0
XE5J,XEGU,0,0.5,0.5
SGSR,SGR,0,0.8571428571428571,0.8571428571428571
mzz6,MZ26,0,0.25,0.75
FATX,FATx,0,0.75,1.0
gHBFm,gHBFm,1,1.0,1.0
LrZEjU,WEU,0,0.4444444444444444,0.4444444444444444
5UXK,5JXK,0,0.75,0.75
BpSq2SLn,BPsq2sLh,0,0.5,0.875
hxv9mf,7xV9mf,0,0.6666666666666666,0.8333333333333334
jB2zJ,jbwZi,0,0.2,0.6
0HXYNbBI,OHXYnbVBI,0,0.7058823529411765,0.8235294117647058
VYy7z5J,VyY7Z5J,0,0.7142857142857143,1.0
xpm1,4Yz1,0,0.25,0.25
tjyVSsux,iVLSsux,0,0.6666666666666666,0.6666666666666666
Cn3terew,CN3TEREW,0,0.25,1.0
LPIB,P3tRa,0,0.2222222222222222,0.2222222222222222
tjhg,THG,0,0.0,0.8571428571428571
ct3zMBgEMN,ct3zMBgEMN,1,1.0,1.0
v5S3DII,v5S3DI1I,0,0.9333333333333333,0.9333333333333333
H2b7a,H2b1a,0,0.8,0.8
HWWD,HWND,0,0.75,0.75
YP16q,Pl6q,0,0.6666666666666666,0.6666666666666666
O8G56v,08G56V,0,0.6666666666666666,0.8333333333333334
ybNIz,y6M<,0,0.2222222222222222,0.2222222222222222
dj5J5,DUSJS,0,0.2,0.4
GVgqv,GVgan,0,0.6,0.6
QSOy,OSY,0,0.2857142857142857,0.5714285714285714
VU5w,Nu3w,0,0.25,0.5
LDANixa,LDAxiqa,0,0.7142857142857143,0.7142857142857143
YUMsn1g,YUNSk8o,0,0.2857142857142857,0.42857142857142855
9TzR6jCkM,9TZR6ickKM,0,0.631578947368421,0.8421052631578947
ugKWYqc,U9kWYaC,0,0.2857142857142857,0.7142857142857143
JBME,JANE,0,0.5,0.5
ERPv8V,ERPL8V,0,0.8333333333333334,0.8333333333333334
z4yJRo,ZAYRO,0,0.18181818181818182,0.7272727272727273
sYnT494FI,SwYA94Fl,0,0.47058823529411764,0.5882352941176471
XTYgnaq4,xTY6naq4,0,0.75,0.875
EVWzgqzvg,EVZ9aZVg,0,0.35294117647058826,0.7058823529411765
3BF8,3BF8,1,1.0,1.0
WHtvSy,WHVvY,0,0.5454545454545454,0.7272727272727273
jw6AK,jW6DK,0,0.6,0.8
yCuu,yConf,0,0.4444444444444444,0.4444444444444444
62Ydos,62ydos,0,0.8333333333333334,1.0
sFJwE,SFJWE,0,0.6,1.0
mCSMnY,MuSmy,0,0.18181818181818182,0.7272727272727273
468W,468W,1,1.0,1.0
B5VmE,B5VntE,0,0.7272727272727273,0.7272727272727273
MFW4,MWN4,0,0.75,0.75
5UEQ,5UEQ,1,1.0,1.0
rbRio,rrrRiO,0,0.5454545454545454,0.7272727272727273
uqX719IMO,uqx719IMO,0,0.8888888888888888,1.0
wcV2DpQL,wckzdpQL,0,0.625,0.75
DLhN6xrG,DLNO+TG,0,0.5333333333333333,0.5333333333333333
JlNrNXP,JNNXP,0,0.8333333333333334,0.8333333333333334
f113vao,fy13vdo,0,0.7142857142857143,0.7142857142857143
cLvn3,L1n3,0,0.6666666666666666,0.6666666666666666
wA6QK,NAQK,0,0.6666666666666666,0.6666666666666666
HypY,HNYpy,0,0.4444444444444444,0.8888888888888888
IJbf06ZR,Iybfo6R,0,0.6666666666666666,0.6666666666666666
2A8z9b,2a8e9b,0,0.6666666666666666,0.8333333333333334
fftI,fftJ,0,0.75,0.75
3LbmgEx,3Lbng8Et,0,0.6666666666666666,0.6666666666666666
HOON,44pd6,0,0.0,0.0
m74W3x5Cw,s74W8x5CW,0,0.6666666666666666,0.7777777777777778
yMIntU,NYUItU,0,0.5,0.6666666666666666
uhNDFA,2hNDFA,0,0.8333333333333334,0.8333333333333334
EUWK,EUWK,1,1.0,1.0
2VwdUBh,2VwdCBh,0,0.8571428571428571,0.8571428571428571
vscw,VSCzz,0,0.0,0.6666666666666666
1uoKxNF,UOSKNF,0,0.46153846153846156,0.7692307692307693
Ozh8A,OZh8A,0,0.8,1.0
ILKbH,jL4bH,0,0.6,0.6
MCB3,MCB3,1,1.0,1.0
4VGgoeSu,4VG8oEsu,0,0.625,0.875
zlRlFIB,ZRFIB,0,0.6666666666666666,0.8333333333333334
xMSE,XM5SE,0,0.6666666666666666,0.8888888888888888
FhFEE1rBM,thFEelrBM,0,0.6666666666666666,0.7777777777777778
HXT8gDtT,HXt89GtT,0,0.625,0.875
ZUBN,ZUBN,1,1.0,1.0
2Da6zReQ,2Dab6Req,0,0.75,0.875
ht0rMB,htomB,0,0.5454545454545454,0.7272727272727273
UBcVeRE3n7,UBcVERE3n7,0,0.9,1.0
eWBQVwPP,eWBQVwPP,1,1.0,1.0
BP88Y,BP8y,0,0.6666666666666666,0.8888888888888888
XgxVXn,h8g1fn,0,0.3333333333333333,0.3333333333333333
qpK1nvTRc,apkiwTRC,0,0.35294117647058826,0.5882352941176471
By8ajnMG5O,BJA4nwG5O,0,0.5263157894736842,0.631578947368421
fmK9fBw,fmK9qBw,0,0.8571428571428571,0.8571428571428571
DRN2G,DRN2VG,0,0.9090909090909091,0.9090909090909091
DYVB,Bj8v9,0,0.2222222222222222,0.2222222222222222
BXtim,Bxtim,0,0.8,1.0
hWvu,hwWza,0,0.4444444444444444,0.4444444444444444
cE0mwPlS,cEOMPzIS,0,0.5,0.625
sCFES,SCFES,0,0.8,1.0
7tBgDeS,1tBgDeS,0,0.8571428571428571,0.8571428571428571
OtzmBAF,OtZmBAF,0,0.8571428571428571,1.0
FCcvivo,FCeaL2o,0,0.42857142857142855,0.42857142857142855
69b1oX3rvU,6gbv0x3rvU,0,0.6,0.7
BphM,BAy7,0,0.25,0.25
pqnNXEsH,HWexNaqp,0,0.125,0.125
WNng,Wn9,0,0.5714285714285714,0.5714285714285714
x6WQe7ES,x6zr0fEs,0,0.375,0.5
DvFn,DVfn,0,0.5,1.0
SrXM1,SRXM1,0,0.8,1.0
iMclp,iMClp,0,0.8,1.0
CKBBbgl,CKBBbsL,0,0.7142857142857143,0.8571428571428571
fsW65DY1F,fsW65D1YF,0,0.8888888888888888,0.8888888888888888
