Actual Solution,Predicted Solution,Cross Checked Solution,Result,Similarity,Similarity (Non Case-Sensitive)
CpvO,CPLO,CPLo,0,0.25,0.75
AduEkr,AduEkxr,AduEkxr,0,0.9230769230769231,0.9230769230769231
XuuHE2x,xUuHE2x,xUuHE2x,0,0.7142857142857143,1.0
OrFvBpK,ORL5VBpK,ORL5VBpK,0,0.5333333333333333,0.8
fp5R,AP5R,AP5R,0,0.5,0.75
sKptE,SKIPtE,SKPtE,0,0.6,1.0
srbi6,Srbi6,SXbi6,0,0.6,0.8
9Uj0,9U'io,9Uio,0,0.5,0.5
7l3T,73T,"The correct text extracted from the image is ""73T"".",0,0.10909090909090909,0.10909090909090909
rHO0ssc,rHOOssC,rHO0ssC,0,0.8571428571428571,1.0
dpqdqxTt,dobqdg9XYt,dobqdg9XYt,0,0.4444444444444444,0.5555555555555556
mRgypK,mpgk,mpgK,0,0.6,0.6
Uxpget,rxpget,rxpget,0,0.8333333333333334,0.8333333333333334
YFg5,YFg5,YFg585,0,0.8,0.8
Fcx3x7,FLX3X1,FLK3X1,0,0.3333333333333333,0.5
SnPKQ7p,sMPkQ7p,sNPkQ7e,0,0.42857142857142855,0.8571428571428571
IlzqwQfG,I7ZqWQfG,I7ZqWQfG,0,0.625,0.875
wln1,w1n1,"The correct text extracted from the image is ""w1N7"".",0,0.07142857142857142,0.07142857142857142
Drtq,DrQ,DrQ1,0,0.5,0.75
uE2w7K,UET2WT7,UET2WT7,0,0.46153846153846156,0.7692307692307693
iPRjIP,IPRP,iPiP,0,0.6,0.8
U5uH,USUH,USUH,0,0.5,0.75
hyL1a,hl1a,hZL1Qa,0,0.7272727272727273,0.7272727272727273
3KJHE5DwWv,3KyHE5DNxV,The corrected extracted text from the image is: 3KyFE5DNxV,0,0.14705882352941177,0.17647058823529413
RI5N,RI5N,R15N,0,0.75,0.75
FWAe3t9,FWAe3t9,FWAe3t9,1,1.0,1.0
sNRzI9r,SN1R19r,SNRv9r,0,0.6153846153846154,0.7692307692307693
OjzrO0,Ojr,OJ1r00,0,0.5,0.6666666666666666
KuLisQ,kuLiSQ,kuLiSQ,0,0.6666666666666666,1.0
j7JA,jJyA,jJyA,0,0.75,0.75
0jw1ZgxK,wj^1zgtk,oi^1zgtk,0,0.25,0.5
AWYV,aWKY,"The correct extracted text from the image is ""aWKY"". The previous solution provided was accurate.",0,0.039603960396039604,0.07920792079207921
6Wjv8da,6ljv8dq,6zjv8dq,0,0.7142857142857143,0.7142857142857143
JuAjee,JuAeEe,JuAeEe,0,0.8333333333333334,0.8333333333333334
AL3E,AL3E,AL3E7,0,0.8888888888888888,0.8888888888888888
e39v,e3gV,e3gV,0,0.5,0.75
sFmJzfBP,sFmIZfBP,sFmIZfBP,0,0.75,0.875
rn6xPU,vnn6xpU,vnn6xpU,0,0.6153846153846154,0.7692307692307693
