Actual Solution,Predicted Solution,Result,Similarity,Similarity (Non Case-Sensitive)
1HVnL6,IHVhl6,0,0.5,0.6666666666666666
FBEqqEv,FBEaQE,0,0.6153846153846154,0.7692307692307693
vZQMxTWBV,LZIQMXTWBV,0,0.7368421052631579,0.8421052631578947
6KAHAVZm,6KAHAVK2m,0,0.8235294117647058,0.8235294117647058
5R4M,5R4M,1,1.0,1.0
glBDv,g9BDv,0,0.8,0.8
KhOOf,KhooOf,0,0.7272727272727273,0.9090909090909091
rCEm,random,0,0.4,0.4
bOBF7AncK,bOBfAnCK,0,0.7058823529411765,0.9411764705882353
MN5H,MN5HY,0,0.8888888888888888,0.8888888888888888
OSYsj,OSYsJ,0,0.8,1.0
1tZb3BxJo,17b3Bxj0,0,0.5882352941176471,0.7058823529411765
5YVmnBY,5YAmnBY,0,0.8571428571428571,0.8571428571428571
AHrJ,AHrJ,1,1.0,1.0
L1Qd4X,LoadAX,0,0.5,0.5
Mk6KDKzsys,WMS6KDkZsVs,0,0.5714285714285714,0.7619047619047619
WTXO,WTO,0,0.8571428571428571,0.8571428571428571
wZs9N238,Wzs9N238,0,0.75,1.0
Qp1Cc4,QP1CC4,0,0.6666666666666666,1.0
nbNP6,bNp6,0,0.6666666666666666,0.8888888888888888
j4WGX,j4wGX,0,0.8,1.0
DQB6,DaB6,0,0.75,0.75
OfDo,OfD0,0,0.75,0.75
AkFxea,AkFxe,0,0.9090909090909091,0.9090909090909091
rSGjoOj,rSGjooj,0,0.8571428571428571,1.0
8z9JlJcY,8z9Jx,0,0.6153846153846154,0.6153846153846154
ylRTE,LRTE,0,0.6666666666666666,0.8888888888888888
VCCZm,VGCZRn,0,0.5454545454545454,0.5454545454545454
Vrd1,lrdl,0,0.5,0.5
iz4OJuEZ,I7L4OJUeZ,0,0.47058823529411764,0.8235294117647058
UHrJX6Kw,UHJ7+6k-lv,0,0.4444444444444444,0.5555555555555556
2tgOv,2TGOV,0,0.4,1.0
tUcLG,tuc2G,0,0.6,0.8
rCoE94rvk,rcodesign94rvk,0,0.6086956521739131,0.782608695652174
SjEhG,SjEhq,0,0.8,0.8
nBlg2YhAo,hBlso2Yh0,0,0.5555555555555556,0.5555555555555556
G88ISS,G881sss,0,0.46153846153846156,0.7692307692307693
HkGZF,HKGOLF,0,0.5454545454545454,0.7272727272727273
3BJQhON,3Bjphon,0,0.42857142857142855,0.8571428571428571
RnBTFQ8,RVBKFQ8,0,0.7142857142857143,0.7142857142857143
aic8,a1C8,0,0.5,0.75
MAtIe8E,MATIVE8E,0,0.6666666666666666,0.9333333333333333
QXcgS16CYr,QxcfgS16cYr,0,0.7619047619047619,0.9523809523809523
koUD,kOuD,0,0.5,1.0
PAJP,PAVP,0,0.75,0.75
yq8V,y98V,0,0.75,0.75
zD8YHGiT,ZDsYXGiT,0,0.625,0.75
NV3NzvEjd,NV3NZVEjp,0,0.6666666666666666,0.8888888888888888
A3zSVRF,A3zSRVrf,0,0.6666666666666666,0.9333333333333333
ieYeo,Believe0,0,0.46153846153846156,0.46153846153846156
sgJv,SaV,0,0.0,0.5714285714285714
rpW96NO,password96no,0,0.3157894736842105,0.5263157894736842
PlW26C,Pw26c,0,0.5454545454545454,0.9090909090909091
3JaZL8l4e,aZ8l4e,0,0.8,0.8
QGw2,QGw2,1,1.0,1.0
hUdgqIaw,nUdq7av1,0,0.5,0.5
Up3GOv,UP3GOV,0,0.6666666666666666,1.0
E1NPR,EXPR,0,0.6666666666666666,0.6666666666666666
1mGAp,ImGap,0,0.6,0.8
ELeEpa7,ELEpartment,0,0.5555555555555556,0.5555555555555556
J4c0D2K,J4COD2K,0,0.7142857142857143,0.8571428571428571
HIJB,AJB3R,0,0.4444444444444444,0.4444444444444444
Dg11,dg71,0,0.5,0.75
MH7z,My72,0,0.5,0.5
5F4LW,5FALW,0,0.8,0.8
IHsBxfYuD,IHSBxKWo,0,0.47058823529411764,0.5882352941176471
mb4e,mb4e,1,1.0,1.0
Hv7ir,HN7iK,0,0.6,0.6
N4PK,NETWORK,0,0.36363636363636365,0.36363636363636365
EKJY,E45tH,0,0.2222222222222222,0.2222222222222222
ZL1O,ZxO,0,0.5714285714285714,0.5714285714285714
doGWW,d0Gww,0,0.4,0.8
vKJl,VkJ1,0,0.25,0.75
qjNG,aJVG,0,0.25,0.5
uAsg,uASg,0,0.75,1.0
Pod0,p0d0,0,0.5,0.75
NyhzI,NyHzA,0,0.6,0.8
5hFi,5nF1,0,0.5,0.5
eBoFl,eBOfA,0,0.4,0.8
JS4BO04,Js4BOo4,0,0.7142857142857143,0.8571428571428571
ll6Gc0,II6GCO,0,0.3333333333333333,0.5
oULo,OUILO,0,0.4444444444444444,0.8888888888888888
Nx0cgoFT,NoCoTgOF,0,0.375,0.625
Fmyib,Kmbyi,0,0.6,0.6
hIFijOJAC,hFjvqAC,0,0.625,0.625
BVSW,BVSVW,0,0.8888888888888888,0.8888888888888888
Po0fX,POBox,0,0.4,0.6
SNYU,SNYU,1,1.0,1.0
cARqM9o,CARM90,0,0.6153846153846154,0.7692307692307693
fhMAKGq,FJMAKCGQ,0,0.5333333333333333,0.8
PJmCUm,Pumpkin,0,0.3076923076923077,0.46153846153846156
rljxIMo,IPv40,0,0.16666666666666666,0.16666666666666666
SUSF,Success,0,0.18181818181818182,0.5454545454545454
drO6,dcro6,0,0.6666666666666666,0.8888888888888888
