Actual Solution,Predicted Solution,Result,Similarity,Similarity (Non Case-Sensitive)
8xvikjs,8xVzkS,0,0.46153846153846156,0.7692307692307693
jnZaOFI,jnZaOFl,0,0.8571428571428571,0.8571428571428571
CWFK,CVWFK,0,0.8888888888888888,0.8888888888888888
PaBJ,PABUj,0,0.4444444444444444,0.8888888888888888
wAGZDi,WAGZDi,0,0.8333333333333334,1.0
WCjXX,Wc1xX,0,0.4,0.8
zkTRf,ZlTkTRF,0,0.5,0.8333333333333334
NYSR9,N1SR9,0,0.8,0.8
A8rev2t0K6,48reLyt0k6,0,0.6,0.7
qYwFVpl,qkwav9,0,0.3076923076923077,0.46153846153846156
xpNVsXW,xPIVSxW,0,0.42857142857142855,0.8571428571428571
lKgh8XT,lKg8xT,0,0.7692307692307693,0.9230769230769231
8OszrAml,8051rRAml,0,0.5882352941176471,0.5882352941176471
nIM1qQGYw,nrm19oGYw,0,0.5555555555555556,0.6666666666666666
iFArJ,FARJ,0,0.6666666666666666,0.8888888888888888
udHZV3O,uHZv3O,0,0.7692307692307693,0.9230769230769231
stoThGir,stOThGiv,0,0.75,0.875
sX8YZ,Sx8Yz,0,0.4,1.0
6GI0FURfV,6G9OFVRfV,0,0.6666666666666666,0.6666666666666666
1CBBjTA912,KCBBiTAG912,0,0.7619047619047619,0.7619047619047619
dYHHgRYM,DYHHGAYM,0,0.625,0.875
SOgsRU,sOgSrU,0,0.5,1.0
HTOI,H7d,0,0.2857142857142857,0.2857142857142857
meDuX,meDUl7,0,0.5454545454545454,0.7272727272727273
BNKU,BNKU,1,1.0,1.0
uFemPlut,uFemPlvt,0,0.875,0.875
VUVPP,VUNPP,0,0.8,0.8
p9X0,p9Xo,0,0.75,0.75
ASTK,AskK,0,0.5,0.75
nIyKdO,NiyKdO,0,0.6666666666666666,1.0
P8th,p8rh,0,0.5,0.75
4AXE,4AXE,1,1.0,1.0
sZdHxwT,SZdHxWT,0,0.7142857142857143,1.0
zJErDm,ErDm,0,0.8,0.8
qK5eU1St,qk5euks,0,0.4,0.8
jiw3,jz3,0,0.5714285714285714,0.5714285714285714
Z8NS,Z6wS,0,0.5,0.5
kDKuhc5,kDKWhC5,0,0.7142857142857143,0.8571428571428571
vCAFgrMN,VCAFgVMN,0,0.75,0.875
TtnY,TtnY,1,1.0,1.0
fXR4FYJ,fXR4Fj,0,0.7692307692307693,0.9230769230769231
PB0h4T,PB9n4T,0,0.6666666666666666,0.6666666666666666
5IrOQqj8J,5AroQq;8J,0,0.6666666666666666,0.7777777777777778
MWpsZkh,Mwpszh,0,0.6153846153846154,0.9230769230769231
m52dX,mF52dx,0,0.7272727272727273,0.9090909090909091
S2cfpbVY,s2cfpyY,0,0.6666666666666666,0.8
uf9Nh,wf9Nh,0,0.8,0.8
wTJ8u2,WJ78u2,0,0.6666666666666666,0.8333333333333334
sVAmB,sVAmB,1,1.0,1.0
HPo4sjO,Hp04s0,0,0.46153846153846156,0.6153846153846154
a6T2dL8ALw,a672d8AW,0,0.6666666666666666,0.7777777777777778
7ArrxDt,7ArvxDz,0,0.7142857142857143,0.7142857142857143
rQ9P,rQ9p,0,0.75,1.0
R0RVsoI,RORVSOI,0,0.5714285714285714,0.8571428571428571
xEu7H,xEUH,0,0.6666666666666666,0.8888888888888888
RYTE,RYTE,1,1.0,1.0
bTXu03,bTXu03,1,1.0,1.0
URGF,YRGF,0,0.75,0.75
TylS,TvKS,0,0.5,0.5
X1AXzCp,A4xZcp,0,0.3076923076923077,0.7692307692307693
4mugcJQ6i,4mus8CQ61,0,0.5555555555555556,0.6666666666666666
btj53,btj53,1,1.0,1.0
XZuyOhzS,Xz4YOhZs,0,0.375,0.875
w98Lg,lW98Lg,0,0.7272727272727273,0.9090909090909091
nizc,nizc,1,1.0,1.0
jwNR9ThNfS,jWNR9Thvfs,0,0.7,0.9
oxG0er,0xG0er,0,0.8333333333333334,0.8333333333333334
6IQvxSC,6IQvXSC,0,0.8571428571428571,1.0
SJzizs,SwiLs,0,0.5454545454545454,0.5454545454545454
N6pK,N6pK,1,1.0,1.0
lSlyRYUx,IsIyRyUx,0,0.5,0.75
2AHG5Bkq,2AG5Bk9,0,0.8,0.8
iqkE,iqkE,1,1.0,1.0
eQggb,eQ88b,0,0.6,0.6
oFDKUW8G,QFDUW8G,0,0.8,0.8
lTIMVqAk,1KKMUVQAVK,0,0.3333333333333333,0.5555555555555556
noM87,nOM87,0,0.8,1.0
MHOsMN6v,MHOSMN6V,0,0.75,1.0
WXFFk,WYFfk,0,0.6,0.8
FQMQ,FQMQ,1,1.0,1.0
qBoG,QBOG,0,0.5,1.0
9heIwi,9hE/wI,0,0.5,0.8333333333333334
ImwY,ImW4Y,0,0.6666666666666666,0.8888888888888888
dy2LKhX,dY2lKhlX,0,0.6666666666666666,0.9333333333333333
wS47h44jC,ws47hA4jc,0,0.6666666666666666,0.8888888888888888
0zWI,OZIW,0,0.25,0.5
DOBL,D9b7k2,0,0.2,0.4
05Uj9uC3GB,05uj9u3GB,0,0.8421052631578947,0.9473684210526315
BMurbive,BMurbiVe,0,0.875,1.0
k5cn,k5Cn,0,0.75,1.0
1tYLZn8,ltyl>n8,0,0.42857142857142855,0.7142857142857143
qYz2eHZ,Qy12eHz,0,0.42857142857142855,0.8571428571428571
qcG1Kuhr2,gCGkuhr2,0,0.5882352941176471,0.8235294117647058
pgBFlehnP,pgBFvehnp,0,0.7777777777777778,0.8888888888888888
y0TQJM,yOTqJM,0,0.6666666666666666,0.8333333333333334
ERYm7,ERYm7,1,1.0,1.0
xPud,XpuId,0,0.4444444444444444,0.8888888888888888
FYpfR8kY,FYpfR8ky,0,0.875,1.0
D5TIh,D5T/h,0,0.8,0.8
1t7nU5hmL,t>nUsZmIL,0,0.5555555555555556,0.5555555555555556
3eCO,3eCO,1,1.0,1.0
dhvKcyq8,dhv7Cq8,0,0.6666666666666666,0.8
GyN0,Gv0,0,0.5714285714285714,0.5714285714285714
bqaiG,bqaiG,1,1.0,1.0
xL8wLLY,XL8wLLY,0,0.8571428571428571,1.0
yMHvKwqz,xYVKwa2,0,0.26666666666666666,0.5333333333333333
D6tefAp,D6tefAP,0,0.8571428571428571,1.0
pjR2i6,pjR2i6,1,1.0,1.0
WeY1c,WEy1c,0,0.6,1.0
dod7T,dd7T,0,0.8888888888888888,0.8888888888888888
OxxL2F56,Qx7l2F56,0,0.625,0.75
CXtu4v,Cxlu4D,0,0.5,0.6666666666666666
M6UYyO,M6UXYO,0,0.8333333333333334,0.8333333333333334
e0fY2,e0Y2,0,0.8888888888888888,0.8888888888888888
NdZK,NqdZk,0,0.6666666666666666,0.8888888888888888
i3v6Q98t,i3N6Q98t,0,0.875,0.875
3VFky0rnm,3VFkJQxm,0,0.5882352941176471,0.5882352941176471
FXZPRq1o,FxZPRa1O,0,0.625,0.875
3cvLMS,3CvLMS,0,0.8333333333333334,1.0
fpWDWSF6,fpWDWSlPO,0,0.7058823529411765,0.7058823529411765
xUevLG,xUEVLa,0,0.5,0.8333333333333334
MycA,MyCA,0,0.75,1.0
8K392,88392,0,0.8,0.8
81aj,81aj,1,1.0,1.0
N0JgpI4vM,NOJgpIAVM,0,0.6666666666666666,0.7777777777777778
KQ5Ao,KQ5AO,0,0.8,1.0
187Thpw,7877hbw,0,0.5714285714285714,0.5714285714285714
BVK7,BVk7,0,0.75,1.0
TFMK,TFMK,1,1.0,1.0
GFA8L,GFA8L,1,1.0,1.0
L6jxF,L6jXF,0,0.8,1.0
TyRf5NGd,TYf3VGd,0,0.5333333333333333,0.6666666666666666
eZroHrLHT,ezroHrLT,0,0.8235294117647058,0.9411764705882353
SKUzX,sKuzX,0,0.6,1.0
Gj9fY,GjfY,0,0.8888888888888888,0.8888888888888888
fkF4kpT,fkF4kpk,0,0.8571428571428571,0.8571428571428571
BQ5W,BC5W,0,0.75,0.75
Of3ERv9P,Of3ERv9p,0,0.875,1.0
dZ6r5j,dZ6r5j,1,1.0,1.0
7Evf,T9k,0,0.0,0.0
jwqsuY,/WwqsuY,0,0.7692307692307693,0.7692307692307693
bL3vCMqGk,bL3VCM9Gk,0,0.7777777777777778,0.8888888888888888
yaHo,lQHO,0,0.25,0.5
r5ORx9w,r5oRXow,0,0.5714285714285714,0.8571428571428571
EKCTxLB,EKCTXB,0,0.7692307692307693,0.9230769230769231
BIgQa,Bl8gQa,0,0.7272727272727273,0.7272727272727273
F4SV,F4SV,1,1.0,1.0
frDpC,fryDpC,0,0.9090909090909091,0.9090909090909091
QfU8,Qru8,0,0.5,0.75
RXWP,R4H4p,0,0.2222222222222222,0.4444444444444444
r8wjiXal,r8wjxa,0,0.7142857142857143,0.8571428571428571
PGCS,PGlUS,0,0.6666666666666666,0.6666666666666666
ZlB42D9cV1,V842D9CV,0,0.5555555555555556,0.6666666666666666
HxaxN0T,HxaxNbT,0,0.8571428571428571,0.8571428571428571
oecICPJ5,OFLICAPS,0,0.375,0.5
AmA5,AmnA5,0,0.8888888888888888,0.8888888888888888
dNabH9E5,aNqHb9E3,0,0.5,0.5
oAxRGkU,oAxRGKU,0,0.8571428571428571,1.0
TvIKTt,TVIKTR,0,0.6666666666666666,0.8333333333333334
1sarItn2,ISqxIn2,0,0.4,0.5333333333333333
norJ,norJ,1,1.0,1.0
Yfdqj,xfdqj,0,0.8,0.8
Y6kez0,Y6Ke0,0,0.7272727272727273,0.9090909090909091
5yv6uG,JVBWG,0,0.18181818181818182,0.36363636363636365
MJE1T,MxE1T,0,0.8,0.8
X555,X550,0,0.75,0.75
NFCQ9P,NFCQ9p,0,0.8333333333333334,1.0
M5qbW,M5qbwW,0,0.9090909090909091,0.9090909090909091
FCWN,HJ47K,0,0.0,0.0
ECAF,ESCAF,0,0.8888888888888888,0.8888888888888888
ES43bZzLG,E$43bZ>LG,0,0.7777777777777778,0.7777777777777778
W3SY,W3SY,1,1.0,1.0
FsUCjeB,FSUCjEB,0,0.7142857142857143,1.0
lGil1,Qyl,0,0.25,0.25
Zj15v,ZJ5V,0,0.4444444444444444,0.8888888888888888
C6dFbQR,C6DFBQ9R,0,0.6666666666666666,0.9333333333333333
ZzHA,zAH,0,0.5714285714285714,0.5714285714285714
XLTtTbs9,xLtbs9,0,0.7142857142857143,0.8571428571428571
W1fC67,W1C6,0,0.8,0.8
xxjR2,xJ2,0,0.5,0.75
pvObnobZ,pZObnObZL,0,0.7058823529411765,0.8235294117647058
XYieXV,YieXV,0,0.9090909090909091,0.9090909090909091
hWve4Q,hwVe4Q,0,0.6666666666666666,1.0
mNgzV6Q,MWGZv6c,0,0.14285714285714285,0.7142857142857143
iWsZ8,iwsZ8,0,0.8,1.0
4B5F,4B5F,1,1.0,1.0
oAswXua,O7SWXia,0,0.2857142857142857,0.7142857142857143
ivl17vEAhr,iWVVEArh,0,0.4444444444444444,0.6666666666666666
zvEYQz68Ri,zVEXQzb8R,0,0.631578947368421,0.7368421052631579
eAsGR,eASGR,0,0.8,1.0
WEKM,VHEKM,0,0.6666666666666666,0.6666666666666666
Avlu,AVIu,0,0.5,0.75
URJQ,URBQ,0,0.75,0.75
6HLcB5H,6HLCB5H,0,0.8571428571428571,1.0
Ev7it,Ev>it,0,0.8,0.8
RRYS,r27S,0,0.25,0.5
7ChQ0u,L7Hqou,0,0.3333333333333333,0.6666666666666666
AQXF,ADXF,0,0.75,0.75
OdYXNc,OaXNNC,0,0.5,0.6666666666666666
nDnC,nDnC,1,1.0,1.0
o01YtGHH8f,CoolYtGHH8f,0,0.7619047619047619,0.7619047619047619
liXrd1KT,fxykT,0,0.15384615384615385,0.46153846153846156
OinJ5bmK8t,OiJ5bmw8It,0,0.8,0.8
ihYrhP,i5YxnP,0,0.5,0.5
mreNFH,mreNH,0,0.9090909090909091,0.9090909090909091
OeC09hON,oeco950N,0,0.375,0.625
QRBVM7g,QRBLM7g,0,0.8571428571428571,0.8571428571428571
hsB1j,hSBlj,0,0.6,0.8
FZvmf,FLVmf,0,0.6,0.8
UspAu1Q,Usp7u1Q,0,0.8571428571428571,0.8571428571428571
HK6R,AKTORP,0,0.4,0.4
l5nnOI,I5nmoI,0,0.5,0.6666666666666666
FknWp,FknWp,1,1.0,1.0
MQSJ,MAQ5J,0,0.6666666666666666,0.6666666666666666
ofxaY,ofxav,0,0.8,0.8
OSS5,oSS5,0,0.75,1.0
TAtDCJ,TADsg,0,0.5454545454545454,0.5454545454545454
4izTfF,4izTrF,0,0.8333333333333334,0.8333333333333334
jkJhRApK,J4zRAPk,0,0.4,0.6666666666666666
FpEV,RPDEV,0,0.4444444444444444,0.6666666666666666
Y8FC,K&FC,0,0.5,0.5
we36D,W36D,0,0.6666666666666666,0.8888888888888888
BDcSJPgl,BCSJpgl,0,0.6666666666666666,0.9333333333333333
XQVX,x63x,0,0.0,0.5
cXltBXx,cxlBtx,0,0.6153846153846154,0.7692307692307693
zhCFsJSXQ,ZhcFSjs+q,0,0.3333333333333333,0.8888888888888888
EfMy3,EfM7Y3,0,0.7272727272727273,0.9090909090909091
pPyUmOKa9k,p8yUznOka9k,0,0.6666666666666666,0.7619047619047619
HyXES5P,5YXES5P,0,0.7142857142857143,0.8571428571428571
XCQ3,KCB,0,0.2857142857142857,0.2857142857142857
yc8F4sUJo,Nc8FSUJ0,0,0.5882352941176471,0.7058823529411765
J2qrX,J2qrX,1,1.0,1.0
SUU8,su8,0,0.2857142857142857,0.8571428571428571
475qwO,4759NO,0,0.6666666666666666,0.6666666666666666
GG4oU1,G40UK,0,0.5454545454545454,0.5454545454545454
Fe7iBM,FC7YBM,0,0.6666666666666666,0.6666666666666666
PDmX,PdmX,0,0.75,1.0
eXhh,exhh,0,0.75,1.0
gMt0f,gM4Of,0,0.6,0.6
