Actual Solution,Predicted Solution,Result
OiC5u3Ka,"oiC52K3a
",0
ENC78,"A NC8 
",0
yIy2FAJFiv,"y2F2FAJFiv
",0
H8VA,"h8V4A
",0
BYVM,"BYVM
",0
Vl3E,"V13E
",0
yzRN8,"yZRn8
",0
ejh5m,"ej15n
",0
83ykZ5YqUB,"83yKz5YqUB
",0
RT6T,"RT6T
",0
hybu,"hyvu
",0
nZafmVaRH,"nzamvah
",0
X5ZK,"x5zK
",0
H1QPwjjJ,"HVQpWjJjJ
",0
2yqaZI,"2yqaZl
",0
BQgptvK,"BQgxpXVK
",0
Wmts,"wmtS
",0
UHHQ,"vHQ
",0
VRATH,"NR4TH
",0
nYxu5,"nVy+U5
",0
duHlxe,"DuHLX	
",0
hTzIdfgdOJ,"hrzvLdgdOJ
",0
JNRY,"JNRY
",0
kY53,"ky 
",0
ZOlE,"lQE
",0
CFE3,"CFE3
",0
Z6rXzu,"z6r*u
",0
Lq5bS,"L^5bs
",0
wftaC,"wftac
",0
SQTV,"wD3D
",0
3ARrycl,"3A r a C
",0
hznQ2F,"hznQ2F
",0
5VN4,"5VN4
",0
Yh9oCB,"Kj
A
```",0
BrniC,"BxnIC
",0
85AH,"85AH
",0
i2hUbvyxR,"12hUbν
",0
LLNab,"LLNab
",0
PgJ2,"pgl2
",0
wtkav2vv2,"wtka2vV
",0
xFRiumdcZ,"xRiuidZ
",0
CZ7VY,"CZA
czxY
",0
Azf8Z,"A7f8Z
",0
Fahxvt,"Fah+Vft
",0
SdWI51J,"sdW5I4J
",0
SYozvl5xO,"sYzLx0
",0
MNYM,"NNNN
",0
UD5V,"UD5V
",0
mVfN,"wvA, wvA, mWAN
",0
rC5dAVFQ,"rc5C5dAVFQ
",0
YCRO,"XGGaLO
",0
7G7AE,"7G7AE
",0
3GEPQF2,"3GEPA.
",0
UNy8JIpw8,"UN8rB0H8
",0
Hs4x39,"HS4+t39
",0
VhD1bNu,"vHD7bNuU
",0
9Uj0,"9U\.o
",0
2Y6k,"2Y6k
",0
CEN8,"CEN8
",0
S98MzR3,"S9%M>R-3
",0
uRveK,"wveK
",0
S7LvWnRZ,"sTVWzR
",0
JIILSp,"J/IVSp
",0
KE3vnXd,"kE3Vnxd
",0
PggRB,"pgsoR8B
",0
KDVJ,"CpDk2J
",0
j7t2bzGK,"jIrzb2G K
",0
XW4yW,"X-N4yW
",0
YXRD,"Yh 
X9zld
```",0
fKzvf,"FkZwF
",0
kkAfu,k个A text.,0
gNeG,"gvNEG
",0
RvvbJ7,"RℙV2DJ
",0
cQmay5FG,"cQmaAay5FG
",0
1tckO4R,"19Cz4R
",0
4na19I0,"4W A 19 w lO 
",0
eJ88qY,"ej88qY
",0
kuqdE,"kug9dE
",0
nPKR,"nrR
",0
X8mg,"+8mg
",0
EG84,"EG8A
",0
m7WcainRa,"m7Wczca/nRa
",0
AAEpg,"A AEpg
",0
h6tnpzy1,"h6tnpZ.M
",0
1pS1SNwQ,"lPS/S
SNwQ
",0
PkRo1bnn,"pkR Qlb hn
",0
BbxN6h,"BbxX6h
",0
KKpojbkW,"Kkpoibk^
",0
eswyr,"esSwYr
",0
s76V,"s76v
",0
H78hczN7,"H18%C2Nz7
",0
CR63,"CR63
",0
rQFe,"rOF
",0
znduWBOEh,"znaw
",0
rc8G3EZ,"rc8G.
",0
KQSW6,"KQS
",0
s2xo,"S2X0
",0
GQ4eDrM6,"G24eD,M6
",0
WXUQ,"wkAO
",0
hyL1a,"h➿1a
",0
WI2HlKtzZb,"wDΩHkZ1b
",0
aWyd,"aWyd
",0
E2YQ,"E2YQ
",0
18ZS,"187S
",0
tiIpE,"xE
",0
sWiKLmwP,"sWixLmWp
",0
vWJTOS,"vwhTOs
",0
h6xuu1sw,"hotu1Sw
",0
Mq6Dz,"M96DZ
",0
f89f6PaF35,"f89p@d
paATe35
",0
qr4BN,"ar4BN
",0
wfcRG,"WfRG
",0
aL8grEV,"al8grL
",0
JQex,"JQlert
",0
y0TQJM,"yO@QjM
",0
v6ZP,"26Zp
",0
NDYQ,"NDYQ?Q
",0
VCDA70848,"vCDA1>084d
",0
qjQglhG28,"qPƐg\hG28
",0
G914K,"G9d4K
",0
WsW37eLln,"WSw37el1
",0
CQPP,"CQPX
",0
ALQD,"ALOD
",0
7ula8,"Juvas
",0
MRXWS,"MqXs
",0
s2KkQ,"S2Kkq
",0
aa9z,"aa9z
",0
H2P9j,"H2P9j
",0
M7Xjg1,mXj8l,0
tPkf,"rPk
",0
g4fMAsnM,"g4fMA
",0
JNXJ,"yw
",0
APRVOxN7lh,"AOxN7
",0
o48L,"048L
",0
RrP5D7H,"RrP5D1H
",0
TKAFo81mf,"FKAFO88x0k
",0
9dA4sh,"gdASh
",0
qZoMWk,"qZO
M
WN
",0
htJ96ES,"ntJ96ES
",0
sWQIbmC,"swQ1bmC
",0
2aYg4,"2aYg4
",0
OWXnwuL,"owxⁿwuv
",0
tO5L,"tO5L
",0
xsh6fmv,"xsH6fn2
",0
VMKH,"VMKJH
",0
iP1BtDA,"zB1DDA
",0
2rnb,"r²b
",0
eUSxACdm,"eUs-Acm
",0
pw8Tdu,"pwδTdU
",0
N9TH,"N9tH
",0
ZXZCM,"ZXLCML
",0
6Wjv8da,"6zjw8da
",0
RzbQ3zql,"Rzv0Q3Z9^
",0
lbEeJo,"lBEeJo
",0
jGHXDI,">GHXDI
",0
G9aed,"G9ae
",0
g65vwF,"865VWWF
",0
F8JL,"F8jL
",0
d3hg,"d3Ng
",0
i0N834AJ,"lQON834A
",0
48lq,"4°q
",0
VyzAo9,√τAOm,0
PlKy0CChU,"Pi l K Y J O C C W U
",0
Vi5SEd1Ed1,"V_i5sSEd^Ed1
",0
7K7xoJtB,"K7xO)e1xB
",0
KAJM,?:*A?Jw,0
CBRQ,"CBO
",0
sZKh,"sLknh
",0
dFwRYt,"d FWRt
",0
oVLp0QgCa,"OvLRP00gCa
",0
nqX75Nc,"nqz75Nc
",0
z6PwB,"z6pwB
",0
Bn5Q2,"B h5Q2
",0
sgn56qt,"Sgnt569qt
",0
OOo6DK,"OOO6DK
",0
ub8oW,"ub80w
",0
gDhViph,"gDhv iph
",0
DX9B,"DX9B
",0
SVj8w6,sVj8wσ,0
atzdo,"axZda0
",0
FH3V,"AHBV
",0
7HXM,"YXNM
",0
JhHn,"JHtYn
",0
JKJSDk,"KJSdDK
",0
9mnZ2LT,"g""nZ2kT
",0
oAVpt,"oAVpt
",0
FxMAR,"FxrMAr
",0
yMa7HYfx,"r

yMAaH\x
",0
JCLSn1AYs,"rlsn1AYS
",0
ahMl9NNFL,"qaM9N
",0
MCJq9q8Z,"MCJg98z
",0
GFWB,"CFW B
",0
KYAU,"KYqU
",0
6QwK,"6QwK
",0
IeqGwj80,"Ie9G WZi 80
",0
jOyipvTq,"xoyzTq
",0
d4ZLbvd4,"dXLb6w4
",0
9m37,"9m31
",0
SzWy5,"S2WJ5
",0
CBCR,"CBCR
",0
vbqIflgp,"b0q>f~g
",0
yI4rv,"yA4rZ
",0
VXWT,"vxwT
",0
gk0tZMti,"s0kZ^{mt}i
",0
TWPH,"TnDP
",0
SC9Gf,"sC9GF
",0
BdAG5Ng,"BOA55NG
",0
1i0bh,1i\0b h,0
bGMTq,"bgM Tq
",0
dplW,"qP1W
",0
Sf9OES3,"sF990E5s3B
",0
iMP6,"iM P6
",0
pZdpRXJXpg,"pz>drRXJXpg
",0
RYXkr,"Xxwr
",0
QFLV,"QFvWvK
",0
jQQIZoz,"jQ20Z
",0
4Lfx,"4Lyn
",0
YmAsGU,"YmAs Gu
",0
SBOb,"$B0b
",0
RYub7,"RYwub7
",0
P5WC,"B5^WC
",0
yLj4T,"YlJAT
",0
YQ1aTO5,"Vq1aT05
",0
sEbQl,"sE\bol
",0
pkL0VZ,"pkL0vZ
",0
mNDW,"mN_s
**w
```
mND
```
**
",0
6DzZHJQX,"6s z1HZQx
",0
Rj8Eygh,"Rj8Egh
",0
RG3N,"RG3N
",0
Y8AE,"Y'8AE
",0
zBtBzY,"zBxBxZzY
",0
NM85,"M&G
",0
gnYnbWYss,"gnY 
wNv
wZY
SS
",0
TlJ4,"πJ4
",0
HY6Q,"AYbo
",0
cCMdmgV,"CcMdbb
",0
osjevtv,"osjevry
",0
GQNE,"ROME
",0
hSzgGOpn,"hrSZgZGOopn
",0
SouXSyoPE,"S0OzX syoRE 
",0
Bzca,"BZca
",0
RzBl6Vix,"rZBL6W\x
",0
dY2k4,"dY2KA
",0
Zgwn,"GW""N
",0
UNB5B," I am still analysing.
UNB
",0
lqOkrTAr,"vqOk/ rTA
",0
rJo7x6NRko,"r07^X6NtkO
",0
3v5I,"3N51
",0
VCGK,"vCCkZ
",0
WNSF,"WNSF
",0
VVBY8tY,"AVBY8tY
",0
dFwm6y,"dEwm6y
",0
8XoHBCAv,"8x0HBCAN
",0
FUPy,"FUPY
",0
xgSpBw,"xoasSpB Wz
",0
vn3j5,"lV23j5
",0
I809hjtyWr,"I809hjtv
",0
EbjrSQvE,"Fbi r s qLE
",0
bLrVC,"bLrc
",0
fZ1dZLC6r,"f z1 qE vc 6r
",0
4v4uc,"4L×zUc
",0
cIxrO,"CxrO
",0
M0V3,"MOV3
",0
mBDBMYD,"mbBBMYD
",0
J7KR,"JMR
",0
oSEwPw,"O EWPw
",0
lpJvlQz3,"\pJUv1QlZ3
",0
IQSKe,"qSKe
",0
W6C5,"W6C5
",0
ym6c0v5,"ymσca5
",0
8RPJCr5y,"8RP1Cr5y
",0
nJCy,"n)Cγ
",0
5euEN,"5uEN
",0
DGKqb,"D G K 9 b
",0
VF6T,"VF6T
",0
CPME,"CAE
",0
AHSB6,"AHzB6
",0
7JS6,"7JS6
",0
wjXi,"WjX.i
",0
GZ5d,"Gz5d
",0
J5Rl6,"J5R\6
",0
vdttxGOz,"lotthz oz
",0
y1LfpD0gD,"Y\LfpD0gD
",0
6lfHIbSd,"6fH\VOd
",0
lqYGdyGF,"19YGdtv3
",0
fQiXfMNVs8,"f∅ixfMN-VS8
",0
