Actual Solution,Predicted Solution
QJ8E25T99,CAPTCHA
DCLLCFMST,CAPTCHA
GDIR94RYT,8
WZYFAPKMJ,MMMMMMMMMMM
3OS76CFMC,888
S4M6SFEGT,CAPTCHA
GPX0L3MOK,captcha
DQDH74QY7,captcha
KLQI9OF70,There is no CAPTCHA to solve in the provided text.
H7J2Z0TDZ,#
K7SVFMZR6,888888888888
RGROGS822,#####
YNMX6TB0G,captcha
8CK9U091V,MMMMMMMMMMM
646OQ7RX3,bmmmd'
OVHTNTGJH,88aaaaa88a
JTVY1YLQJ,captcha
51JIT52LE,captcha
XS5GGFV6R,captcha
SC26U0F3U,7
XH75N228S,888888
81B89NH77,CAPTCHA
UE0AABDO8,888ooo888
Z33P9B2OC,PPPPP88p
TGI37JF8K,captcha
RX868HDKV,captcha
N1M7MZHOJ,CAPTCHA
3F7800V3G,captcha
D1YN4UH4P,88
AAI7PWL5Z,7P5Z
AAN44IZZR,captcha
A7MXN6V78,CAPTCHA
7BIXHAY8O,CAPTCHA
K6UWWAV1Q,captcha
KT3QP5AE0,CAPTCHA
6QSZW8XBQ,6
Q7HNJOTQ1,Captcha
4KIEKV1EJ,########
T7HWNBIZG,MMMM
GKGWGJG3H,8o888
PVCXUH485,8
CEZ4TE7ZT,Captcha
UCZ2419XX,8888888888
NBCJO5WD6,captcha
QMSCJSHMI,captcha
N0759K6SM,captcha
FD53IM6TQ,captcha
ID6IM7KVW,8
G8WWJQ7KS,888
UXZS8IEG0,"Y8,_ _,8P"
VRW2ZW3I8,(O)
HO8EQK14G,CAPTCHA
EMNTEXGRT,CAPTCHA
2D95QXAQC,CAPTCHA
TNE81VWUN,888
ZKNKAKF25,captcha
RY1R1UK0H,ooooo
R7K2W61Q9,88888
J2RXHQFDL,captcha
QA1ZOVJJM,captcha
CZKK6X6QD,8
U8BWW109Z,MMMMMMMMMMM
8BA72N2JY,captcha
IWSIRGL23,YMMMM9
UGKX0Y9F9,I cannot see any CAPTCHA to solve.  I need the CAPTCHA image or text.
IAWAPWNXT,8
JK62S50HV,d8p
PY2VPIYZE,captcha
ZCNYW486S,s5SSSSs
243JSPB2Z,CAPTCHA
ZIQZM4C9O,captcha
Y49979WSL,CAPTCHA
LLQQ84HEC,8888888888
I77Z6AICB,captcha
PAH7804OA,CAPTCHA
BWU2LZLRD,captcha
2K0JW07N9,captcha
CR83XS0UI,88
2NY89R1Y9,MM
681RHPD15,8
Q4WCB0XKV,captcha
8TA4AGFV7,CAPTCHA
I74W23WC4,CAPTCHA
E81C7SVFI,88888888b
HH8QRP3FW,MM
85061WVCT,captcha
XKMOEDX4O,CAPTCHA
3JR9I8PPB,captcha
PRQSKHWF5,CAPTCHA
086XSQDG2,There is no CAPTCHA in the provided text.
VC7LIX6LL,captcha
5OOCCMTFO,88888888b
EVEYKP13F,88888888b
LKB19XK4Q,There is no CAPTCHA in the provided text.
HPXVIYG91,captcha
9LQ75CIHE,captcha
C2F5TROB1,CAPTCHA
LCKK75MI4,captcha
TSAHMBC0R,There is no CAPTCHA provided in the image.
6RJVNN2OA,captcha
Q37XPJHGM,captcha
6O0KYFT36,captcha
BTAVEH728,captcha
SN23K71D9,captcha
903PWE092,S
7N732I0G8,######
SHL6JQMCW,captcha
7ISE47EHQ,CAPTCHA
NRHK449HV,7MN
278G2628A,"MMMUP*""^^"
POMJY1986,88888888ba
XNOUOJC85,captcha
5NBA46DXQ,a8
QE7U0KMGK,CAPTCHA
G1T1Y272N,captcha
WNX43OBK6,CAPTCHA
2QCZXFRVI,CAPTCHA
TPKC1Q9IK,CAPTCHA
MT8PGH31G,888
P5JAW4MP7,8
U25ZF2XDJ,88888888888
OM44B6KIO,CAPTCHA
BR2AMULQW,YMMMMM9
PDHFV25GI,5
SCD9CQXLW,8
LN2WW4VMU,There is no CAPTCHA provided.
TB51MKHA9,captcha
P2OYFYDS6,6
N3Y8KZT22,CAPTCHA
