Model,Result,Similarity,Similarity (Non Case-Sensitive)
google_gemma-3-27b-it,0.074,0.571246813609507,0.6805273607197756
google_gemma-3-4b-it,0.034934497816593885,0.5239955668731339,0.659362183610835
meta-llama_llama-3.2-11b-vision-instruct,0.062,0.4523509798631135,0.5892126226450769
meta-llama_llama-3.2-90b-vision-instruct,0.11787819253438114,0.5750811805108926,0.6914992191556382
minimax_minimax-01,0.07818930041152264,0.52521801214325,0.7324272144409361
mistralai_mistral-small-3.1-24b-instruct,0.102,0.5979255200939412,0.7306495981830348
mistralai_pixtral-12b,0.027184466019417475,0.4556188992207508,0.6016766049784775
qwen_qwen-2.5-vl-72b-instruct,0.076,0.5809836573471248,0.7260540216577368
qwen_qwen-2.5-vl-7b-instruct,0.0744466800804829,0.5617740324300116,0.7128833308825023
qwen_qwen-vl-plus,0.09163346613545817,0.5606093899482943,0.6887040726057463
