Actual Solution, Predicted Solution, Result,Similarity,Similarity (Non Case-Sensitive)
VC7VmTv,vc7VMTv,0,0.5714285714285714,1.0
sgpi,sgpi,1,1.0,1.0
86S8,bC9w2,0,0.0,0.0
60Gp,60GP,0,0.75,1.0
grQaTo,grQaTO,0,0.8333333333333334,1.0
A8JnKyX,A8hTyX,0,0.6153846153846154,0.6153846153846154
DOTWO,DOTWO,1,1.0,1.0
WExo0Z,wEX007Z,0,0.46153846153846156,0.7692307692307693
2dEK,2dEK,1,1.0,1.0
DiG1d2ZMi,DzGad2zmi,0,0.5555555555555556,0.7777777777777778
R4gysE2yr,R4g1sE2Y,0,0.7058823529411765,0.8235294117647058
HC5ERNS,HC5FRNS,0,0.8571428571428571,0.8571428571428571
PF6N5B7P,PF6NsB2P,0,0.75,0.75
X5MH,X5MHI,0,0.8888888888888888,0.8888888888888888
bbrXE,6brXE,0,0.8,0.8
QGk0Z0IW,QGko0OKW,0,0.625,0.625
iqajEY,idajEy,0,0.6666666666666666,0.8333333333333334
TBpd4QYWr,TBpA4dWr,0,0.7058823529411765,0.7058823529411765
EWbA,EWbA,1,1.0,1.0
Nk7eI6,NK1Ev6,0,0.3333333333333333,0.6666666666666666
esprwJxl,eSpRwXl,0,0.5333333333333333,0.9333333333333333
psLUM8,pSLUM8,0,0.8333333333333334,1.0
yxfXJUq,yXfKUq,0,0.6153846153846154,0.7692307692307693
W4PEe,WAPTEe,0,0.7272727272727273,0.7272727272727273
4ZaOaLP,4Za0aLP,0,0.8571428571428571,0.8571428571428571
qQRwwECg,q0RwWECg,0,0.75,0.875
7y1Y3B,7Ay3B,0,0.7272727272727273,0.7272727272727273
h2jI,h2jI,1,1.0,1.0
MkrZ,MkRZ,0,0.75,1.0
3NVEpzp,3NVErZp,0,0.7142857142857143,0.8571428571428571
76CE,KC0Ez,0,0.4444444444444444,0.4444444444444444
TjHc,TjHC,0,0.75,1.0
L3gtuKi,L38gtuKi,0,0.9333333333333333,0.9333333333333333
NVFK,NNFK,0,0.75,0.75
0edM,0edM,1,1.0,1.0
R53B,R53B,1,1.0,1.0
SAY8,SAY8,1,1.0,1.0
SVf5,SVf5,1,1.0,1.0
763C,76ac,0,0.5,0.75
v3vCty8m,L3VCty8m,0,0.75,0.875
U456yk,U456Jk,0,0.8333333333333334,0.8333333333333334
8CCK,8Cdk,0,0.5,0.75
8ujuDX,84jVD,0,0.5454545454545454,0.5454545454545454
UL5Eb,UL5Eb,1,1.0,1.0
xwWrSsk,xWZ1SSk,0,0.5714285714285714,0.7142857142857143
KouOf9k,kOwOf9K,0,0.42857142857142855,0.8571428571428571
Lcp2OiW,Lcp20iw,0,0.7142857142857143,0.8571428571428571
HzYq,H2LAa,0,0.2222222222222222,0.2222222222222222
iMmMk,iMmMk,1,1.0,1.0
vBs0sygN,vBS0Sy8Z,0,0.5,0.75
2lqS,2/qS,0,0.75,0.75
2jai5Cg1,2iaisc81,0,0.5,0.625
AkBM,AkBM,1,1.0,1.0
1YzYYq,1yzYN9,0,0.5,0.6666666666666666
eAhmOIX,eAhmOIX,1,1.0,1.0
tv4nOoLqS,tLanOOaqs,0,0.4444444444444444,0.6666666666666666
fAQoKQ,fA0kQ,0,0.5454545454545454,0.7272727272727273
bGWyq,TruWygq,0,0.5,0.5
01HVnL6,lHVhL6,0,0.6153846153846154,0.6153846153846154
FBEqqEv,FBEAaqEv,0,0.8,0.8
vZQMxTWBV,VLzQMXTwBV,0,0.5263157894736842,0.9473684210526315
6KAHAVZm,6kAHAVKm,0,0.75,0.875
5R4M,5R4M,1,1.0,1.0
glBDv,gBDv,0,0.8888888888888888,0.8888888888888888
KhOOf,KhOOsf,0,0.9090909090909091,0.9090909090909091
