Actual Solution,Predicted Solution,Result,Similarity,Similarity (Non Case-Sensitive)
zg3qbz,g3qbzL,0,0.8333333333333334,0.8333333333333334
aSvm9,am9,0,0.75,0.75
vCAFgrMN,VCFgVMN,0,0.6666666666666666,0.8
P7DRqxJ,PDR9XJ,0,0.6153846153846154,0.7692307692307693
BMurbive,BMUrbi ve,0,0.8235294117647058,0.9411764705882353
l5nnOI,15n01,0,0.36363636363636365,0.36363636363636365
sVAmB,SVAmB,0,0.8,1.0
Of3ERv9P,Of3ERV9p,0,0.75,1.0
WJvY,WJVY,0,0.75,1.0
bL3vCMqGk,6L3CN9Gk,0,0.5882352941176471,0.5882352941176471
Zj15v,ZJ5V,0,0.4444444444444444,0.8888888888888888
ZRtxhCd,zRpXhCd,0,0.5714285714285714,0.8571428571428571
VfCbycCQ,VXCBYLCQ,0,0.5,0.75
obLAWMZI4,ObLAWZl4,0,0.7058823529411765,0.8235294117647058
4oaWXB,OawXB,0,0.5454545454545454,0.9090909090909091
FvqKtPZ,FvqktPZ,0,0.8571428571428571,1.0
Ld4LkIc,IdNlkiC,0,0.2857142857142857,0.7142857142857143
LXN7Wj,LW7wj,0,0.5454545454545454,0.7272727272727273
bXs3Gvw,b+s3GLw,0,0.7142857142857143,0.7142857142857143
81aj,81aj,1,1.0,1.0
DZ7bZ,D>b>,0,0.4444444444444444,0.4444444444444444
rPnQmX,rpnQmx,0,0.6666666666666666,1.0
D5TIh,D5T/h,0,0.8,0.8
jAXmg0C8,j4nms0c8,0,0.5,0.625
lEPG,KEPG,0,0.75,0.75
wTJ8u2,WJ8u2,0,0.7272727272727273,0.9090909090909091
xPud,Xpud,0,0.5,1.0
Ld4LkIc,Ld4LKiC,0,0.5714285714285714,1.0
lEPG,KEPG,0,0.75,0.75
ERYm7,ERYm7,1,1.0,1.0
LI40fF2,L/0/F2,0,0.6153846153846154,0.6153846153846154
KQ5Ao,KQ5AO,0,0.8,1.0
K7Qq,K7Qq,1,1.0,1.0
uFemPlut,uFmPltWt,0,0.75,0.75
waEyCQ,waFXQ,0,0.5454545454545454,0.5454545454545454
Q09Rcat,q0&cat,0,0.6153846153846154,0.7692307692307693
F0HA,FOHA,0,0.75,0.75
noM87,nOM87,0,0.8,1.0
xPud,Xpuld,0,0.4444444444444444,0.8888888888888888
EfMy3,EfMy3,1,1.0,1.0
XDl9ZSYgk,XD19zSygk,0,0.6666666666666666,0.8888888888888888
XtdFeef0,7dFeO,0,0.46153846153846156,0.46153846153846156
sX8YZ,Sx8Yz,0,0.4,1.0
s0hbX44r,s0nbX47r,0,0.75,0.75
pbWbSZw,pbwOSZW,0,0.5714285714285714,0.8571428571428571
lGil1,Q1l,0,0.25,0.25
KQ5Ao,KQ5A0,0,0.8,0.8
lGil1,Qyl1,0,0.4444444444444444,0.4444444444444444
eqDZ1,eQZ1A,0,0.6,0.8
hWve4Q,hwVe4Q,0,0.6666666666666666,1.0
4izTfF,4iZTF,0,0.7272727272727273,0.9090909090909091
8i5lU5d,8i5u5a,0,0.6153846153846154,0.7692307692307693
dNabH9E5,aNbH9E3,0,0.6666666666666666,0.6666666666666666
6GI0FURfV,6G0FFRVN,0,0.7058823529411765,0.7058823529411765
AQXF,AQ+F,0,0.75,0.75
eAsGR,eASGR,0,0.8,1.0
xL8wLLY,XL8hVLXY,0,0.5333333333333333,0.6666666666666666
1CBBjTA912,cBTA912,0,0.7058823529411765,0.8235294117647058
sX8YZ,Sx8YZ9,0,0.5454545454545454,0.9090909090909091
p9X0,p9X0,1,1.0,1.0
SHUGDrU90,SHUgDrU90,0,0.8888888888888888,1.0
2iDJui,zDMuI,0,0.36363636363636365,0.5454545454545454
sX8YZ,SX8YZ,0,0.8,1.0
FXZPRq1o,F*ZPR^1O,0,0.625,0.75
p9X0,p9X0,1,1.0,1.0
7ZumqX,>umax,0,0.36363636363636365,0.5454545454545454
juDije7,jKDive7,0,0.7142857142857143,0.7142857142857143
D6tefAp,D6tefAP,0,0.8571428571428571,1.0
sVAmB,SVAmB,0,0.8,1.0
tU3bVH4,TUBBVHA4,0,0.5333333333333333,0.8
meDuX,meDUL+,0,0.5454545454545454,0.7272727272727273
bPLRN,vLRN,0,0.6666666666666666,0.6666666666666666
mNgzV6Q,MWGZv6c,0,0.14285714285714285,0.7142857142857143
X1AXzCp,A4Zcpb,0,0.3076923076923077,0.6153846153846154
udHZV3O,uHZv3O,0,0.7692307692307693,0.9230769230769231
OinJ5bmK8t,OiJ5bmw8It,0,0.8,0.8
SKUzX,sKUZX,0,0.6,1.0
DsdNh,dsd7h,0,0.6,0.8
r9aq86f,q9a86f,0,0.7692307692307693,0.7692307692307693
