Actual Solution,Predicted Solution,Result
OiC5u3Ka,oC5u2Ka,0
ENC78,"NC78
",0
yIy2FAJFiv,2FAJv,0
H8VA,HOVA,0
BYVM,BYVM,1
Vl3E,"V13E
",0
yzRN8,"YZN8
",0
ejh5m,En3m7,0
83ykZ5YqUB,"8zyK5yqUB
",0
RT6T,"RT6T
",0
hybu,hyou,0
nZafmVaRH,NZamkRH,0
X5ZK,X5ZK,1
H1QPwjjJ,"HQPNjjJ
",0
2yqaZI,2qaz1Z,0
BQgptvK,BQgXVVK,0
Wmts,WtS,0
UHHQ,VHHQ,0
VRATH,"NRATHH
",0
nYxu5,"WY×U5
",0
duHlxe,"DUHLXE
",0
hTzIdfgdOJ,"h7vKdgdOJ
",0
JNRY,"JNRY
",0
kY53,KY533,0
ZOlE,1OE,0
CFE3,CFB3,0
Z6rXzu,z6r<U,0
Lq5bS,"Lα5bs
",0
wftaC,"wfitac
",0
SQTV,V3P7Q0,0
3ARrycl,3ArC,0
hznQ2F,"HZQ2F
",0
5VN4,"5VN4
",0
Yh9oCB,"K90CB
",0
BrniC,BNic,0
85AH,85AH,1
i2hUbvyxR,i2UbvlvR,0
LLNab,Nab,0
PgJ2,pg2,0
wtkav2vv2,wtka2vV,0
xFRiumdcZ,RiU'nC_Z,0
CZ7VY,CZXY,0
Azf8Z,"A7f8Z
",0
Fahxvt,"FahaV
",0
SdWI51J,sdW5J,0
SYozvl5xO,SYOZKO,0
MNYM,NOWN,0
UD5V,U5VD,0
mVfN,KVAN,0
rC5dAVFQ,"rC5dyANFQ
",0
YCRO,X6ZLO,0
7G7AE,7G7AE,1
3GEPQF2,3GFPO_22,0
UNy8JIpw8,"UN&1PW8
",0
Hs4x39,HS4+39,0
VhD1bNu,VD7b1U,0
9Uj0,9U10,0
2Y6k,26k,0
CEN8,"CEN8
",0
S98MzR3,S98M≥R3,0
uRveK,WpveK,0
S7LvWnRZ,$TVW≥R_L$,0
JIILSp,"JIVSp
",0
KE3vnXd,KE3VnXd,0
PggRB,"PgRB
",0
KDVJ,DG7Jcoo,0
j7t2bzGK,7x2b1qK,0
XW4yW,XWN4YW,0
YXRD,YXR0,0
fKzvf,FZVF,0
kkAfu,"K4AfU
",0
gNeG,gVeG,0
RvvbJ7,RVLZBJ,0
cQmay5FG,cQmA5FG,0
1tckO4R,1Ck0XR,0
4na19I0,4NA190,0
eJ88qY,"ej88qY
",0
kuqdE,k9uE,0
nPKR,NPRR,0
X8mg,"x8mg
",0
EG84,"E G 8 A
",0
m7WcainRa,"m7cavinRa
",0
AAEpg,AAPg,0
h6tnpzy1,"h6npz4A
",0
1pS1SNwQ,PSNwqQ,0
