Actual Solution,Predicted Solution,Result,Similarity,Similarity (Non Case-Sensitive)
zg3qbz,7g39bZ,0,0.5,0.6666666666666666
aSvm9,aSm9,0,0.8888888888888888,0.8888888888888888
vCAFgrMN,VCAFgvMN,0,0.75,0.875
P7DRqxJ,PzDR9xJ,0,0.7142857142857143,0.7142857142857143
BMurbive,BMuRbive,0,0.875,1.0
l5nnOI,l5nmOl,0,0.6666666666666666,0.6666666666666666
sVAmB,sVAmB,1,1.0,1.0
Of3ERv9P,Of3ERV9p,0,0.75,1.0
WJvY,WJVY,0,0.75,1.0
bL3vCMqGk,dL3CN9Gk,0,0.5882352941176471,0.5882352941176471
Zj15v,ZJ5V,0,0.4444444444444444,0.8888888888888888
ZRtxhCd,zRtxhCd,0,0.8571428571428571,1.0
VfCbycCQ,VFCBNL<Q,0,0.375,0.625
obLAWMZI4,ObLAWZI4,0,0.8235294117647058,0.9411764705882353
4oaWXB,OawXB,0,0.5454545454545454,0.9090909090909091
FvqKtPZ,FvqkTpZ,0,0.5714285714285714,1.0
Ld4LkIc,LdALkIC,0,0.7142857142857143,0.8571428571428571
LXN7Wj,LMW7wj,0,0.5,0.6666666666666666
bXs3Gvw,bxs3GLw,0,0.7142857142857143,0.8571428571428571
81aj,81aj,1,1.0,1.0
DZ7bZ,DL>b,0,0.4444444444444444,0.4444444444444444
rPnQmX,rpnQmx,0,0.6666666666666666,1.0
D5TIh,D5Tlh,0,0.8,0.8
jAXmg0C8,jAxn8Oc8,0,0.375,0.625
lEPG,KEPG,0,0.75,0.75
wTJ8u2,WJ78u2,0,0.6666666666666666,0.8333333333333334
xPud,Xpud,0,0.5,1.0
Ld4LkIc,LdALKIC,0,0.5714285714285714,0.8571428571428571
lEPG,KEPG,0,0.75,0.75
ERYm7,ERYm7,1,1.0,1.0
LI40fF2,L10fF2,0,0.7692307692307693,0.7692307692307693
KQ5Ao,KQ5AO,0,0.8,1.0
K7Qq,k7Qq,0,0.75,1.0
