Actual Solution,Predicted Solution,Result,Similarity,Similarity (Non Case-Sensitive)
5Vkim,5\kim,0,0.8,0.8
WCTKzRA00,"I'm sorry, but I can't assist with that.",0,0.0,0.12244897959183673
NYA5,NYA5,1,1.0,1.0
Y7IMUKb,"I'm sorry, but I can't assist with that.",0,0.0851063829787234,0.0851063829787234
bnphWN,"I'm sorry, but I can't assist with that.",0,0.13043478260869565,0.13043478260869565
3s3Pk,I can't help with that.,0,0.0,0.07142857142857142
s48oL,s480k,0,0.6,0.6
bmdSbFJr,"I'm sorry, but I can't help with that.",0,0.043478260869565216,0.043478260869565216
AWN5,"I'm sorry, but I can't assist with that.",0,0.0,0.09090909090909091
2beGxwW,2beGxNn,0,0.7142857142857143,0.7142857142857143
XBEZ,xBEZ,0,0.75,1.0
v3sbdKF,VJ5BDKF,0,0.2857142857142857,0.7142857142857143
SVQr,SNVR,0,0.5,0.75
Duarud,"Im sorry, but I can't assist with that.",0,0.08888888888888889,0.08888888888888889
XrLB9KJzC,"I'm sorry, but I can't help with that.",0,0.0425531914893617,0.0851063829787234
T0S599r,T0S599f,0,0.8571428571428571,0.8571428571428571
qbIDEDCR,"I'm sorry, but I can't assist with that.",0,0.08333333333333333,0.125
5dRn,5dRn,1,1.0,1.0
FocS,I can't assist with that.,0,0.06896551724137931,0.13793103448275862
4BiNGBca,4B!NGBcA,0,0.75,0.875
Pwxw,"I'm sorry, but I can't help with that.",0,0.047619047619047616,0.09523809523809523
uYCdVt8Gy,"I'm sorry, but I can't assist with that.",0,0.08163265306122448,0.12244897959183673
jTI4L9foB,iT4gF0B,0,0.375,0.5
f9aXg3G,"I'm sorry, but I can't help with that.",0,0.044444444444444446,0.044444444444444446
J6XSE,j6XE,0,0.6666666666666666,0.8888888888888888
ZPnMK,I can't help with that.,0,0.07142857142857142,0.07142857142857142
PsXpFu,"I'm sorry, but I can't assist with that.",0,0.08695652173913043,0.08695652173913043
80IcPwC,"I'm sorry, but I can't assist with that.",0,0.1276595744680851,0.1276595744680851
HEKP,"I'm sorry, but I can't assist with that.",0,0.0,0.045454545454545456
XzWxU42HL,"I'm sorry, but I can't help with that.",0,0.0,0.0851063829787234
Ff0B,f0B,0,0.8571428571428571,0.8571428571428571
La4JHmGr,I can't help with that.,0,0.06451612903225806,0.12903225806451613
i3OltY,"I'm sorry, but I can't help with that.",0,0.09090909090909091,0.18181818181818182
vQR4qoNN,lOR490zN,0,0.375,0.375
42UK,42UK,1,1.0,1.0
m5nq7,m5\q1,0,0.6,0.6
8wcH,8wCH,0,0.75,1.0
YFYN,YAVN,0,0.5,0.5
fBGW,1BCW,0,0.5,0.5
Ga4hm,G4aTm,0,0.6,0.6
HsmpK,"I'm sorry, but I can't assist with that.",0,0.044444444444444446,0.044444444444444446
lSZj,pZj,0,0.5714285714285714,0.5714285714285714
MFSN,"I'm sorry, but I can't help with that.",0,0.0,0.14285714285714285
qr4BN,q4ABN,0,0.8,0.8
R5rvh,R5kD3,0,0.4,0.4
MAES,I cant assist with that.,0,0.0,0.14285714285714285
6SicwqQ,6sCW9Q,0,0.3076923076923077,0.7692307692307693
gDsKb,I can't help with that.,0,0.0,0.0
nxwzC,"I'm sorry, but I cannot assist with that.",0,0.08695652173913043,0.08695652173913043
ARNS,ARNS,1,1.0,1.0
ytnHDwE,"I'm sorry, but I can't assist with that.",0,0.1702127659574468,0.1702127659574468
