Actual Solution,Predicted Solution
Vrq7r,Vz077
wKIA,WIK14
VtkZ,VktZ
ptwO,dOw
TOxNqI,TOXQ9q
4AYM,4AYM
FR3U,FRU3U
LaKn,THANK
XXqj,EXAM
s388w,S38G W
K6s88,K6388
ljRpBpstZZ,Password
QPhbc1z,Quality
Jr58C,J2580C
cThV1,CENT
Xa8s3,Xa8qs3
0XG0,XGo
Iqkw9,Dqblth
WJB04,JB0X
FUnY8,FUN8
CBOa9,CORDOAG
jJlCP,j\/\/IICEP
VMggu,JMU8GQU
RGER,REGRGRR
UKF7,UKF7
fq4occDU,TrickyCode
xXx3x66,fxt3x66
Qn1kSuOR,QUESTION
rZYbt,R Y B T
a7X6V,EXAMPLE
XJnmlK,Xmnzft
FD9W4,FD9U4A
YYMY,MAYDAY
Spia8,spia8
RN7G,PANG
TolJk1O7,tqqkblk67
lHBm,kymb
SHOK,Shadow
3IB0v,BQQ3
NSUxU,NATURE
fNqy7vl,fNnYNkN
KYN4bqr,kNab9
y3lgS,BLU3S
IYWA,TAKECARE
GWIZG6,QnHg66
0IuB93,OneOrb93
HdNyq,Hardqydq
8WRS,BWMS
DpeW,ADREW
4D3mVq,4DOmVq
O85Kb8P9S4,OD8KBPS8S4
zv0JU,zNVOJ
ahWsW7,ah4sh7
bxZs,bXzZs
QTXQ,QCARXCOOY
4cKMYTcI,PRICKY>CI
mRqb,morning
tVAlNJ,VANJ
lq5Rv6oSl,15RV6009
lri9KVU4,IVD9VC4
hNijPYiW,HiddenMessage
L8lwF,LOW/WF
c7bf,CMYf
V2uGFa,v24cGfa
L2vHePp,UNDERSTAND
QA02ck,QAC02Ck
nIT8u2bZ,RunningInstructure
6WF5X,QW5X
OnRdsmiy,OnRdSmy
bOAml3,bomb
FHya,FHAA
M57Q,MORD
GYRA5,GyKA5
Q6PQ,QQ6PQ
hcjQJ,hCjQj
YDPb2YI3v,DORBYBV
pjSa0m,PJS40M
SMA5,SMA55
FTBP,FTP
UyJWefo,UNDERSTAND
dBP6l,dbb61
ljbwrY3A,iJowry3A
jzVFa1U,zufabu
BLdk,OLDARK
D7NKm,D7NKm
R7awX,Parawx
j5Ze,Zle
MIHD0,M1H00
MsYcX,MSKY
brJrx,HelloWorld
yFxL,KEYXL
G0uR,GOURMET
BsAihYVR,BASYVR
GmFY,GMMFY
IPp6dy,IPAP6DY
Q4rtfIi,QxYmflfi
WD4K,WDK4K
YGSH,YGCSH
WJvY,HELLO
RXAV,BATMAN
BJW7,BWWT
swiFbYnwB,SwiftlyWB
3BsT3DD,3BST33DD
d08jI2vHl,don't vvhz
ERq5QRzG,ERRORZGG
37lp6,HELLO
552Jp1Zgq,PASSWORD
8yiT,&lt;it
G2AM,CAM
CECK,CHECK
a5jXb,q5x6
OKYC,README
VQ4A4,VQ444
KnAr,Kitsar
F2fXaJ,AXZ2iaj
hLwWQ,healing
N0OX,Nobody
xFxxJ4JA,TAX/4/4A
FLBD,PROBLEM
bXCB,d4bB
qycR88f,qycR8gSf
DQeU0uqG,Department
VkQIYB4Yvh,HELLO WORLD
dUhEIrZb,E1Zzb
QuwhI,QUWIJ
