Actual Solution,Predicted Solution,Result,Similarity,Similarity (Non Case-Sensitive)
Y317,y317,0,0.75,1.0
ZIgv,zaigv,0,0.4444444444444444,0.8888888888888888
PLdSVZ,atzwps.,0,0.0,0.3076923076923077
FXTG,fkj7G.,0,0.2,0.4
1SiHGF2WM,pHGtI,0,0.2857142857142857,0.2857142857142857
a85o,a850,0,0.75,0.75
45AT,45AT,1,1.0,1.0
MaQ0Xt,MaQQt,0,0.7272727272727273,0.7272727272727273
qFb4od,Fb4 Oa,0,0.5,0.6666666666666666
9NeBTyQ,9NebTJ eoq,0,0.47058823529411764,0.7058823529411765
9w1aHhl,9W1aHm,0,0.6153846153846154,0.7692307692307693
MXtT1jtEG,MYTEG,0,0.5714285714285714,0.5714285714285714
5tI1,5 t1,0,0.75,0.75
oKY0M3wpK,OKtOm3z-pK,0,0.42105263157894735,0.631578947368421
7GAM,7GAM1,0,0.8888888888888888,0.8888888888888888
SENVK,SUPWKR.,0,0.3333333333333333,0.3333333333333333
6QDM,6QDM,1,1.0,1.0
a3HtWeOt,twEOt,0,0.46153846153846156,0.7692307692307693
CYPSY,Gyby.,0,0.0,0.4
djKYv3jGW,qJ*KYV3jGW,0,0.631578947368421,0.8421052631578947
QWRV,btlnd.,0,0.0,0.0
QOGsKRqI,oGSklfdi,0,0.125,0.625
0F6EfGs,7Ef GS,0,0.46153846153846156,0.6153846153846154
zJxFdBg,JXFdB9,0,0.6153846153846154,0.7692307692307693
I7vv,lvv,0,0.5714285714285714,0.5714285714285714
99VD,99Vd.,0,0.6666666666666666,0.8888888888888888
HG6Q,*Answer*: hG5Q,0,0.2222222222222222,0.3333333333333333
gcGLooxS,CG Oats.,0,0.125,0.5
VUEsz,9ksz.,0,0.4,0.4
1U8FY,JUBY.,0,0.4,0.4
GXPOz,**GXxot**,0,0.2857142857142857,0.42857142857142855
YCLQ,oXQtj8HQFx9DG.,0,0.1111111111111111,0.1111111111111111
Kc5e,KCSE,0,0.25,0.75
g3dlPeKC,PCKC,0,0.5,0.5
Wah4j,wah4j,0,0.8,1.0
DNPB,DNPb.,0,0.6666666666666666,0.8888888888888888
GXvqkiVB,EKFBAD.,0,0.13333333333333333,0.26666666666666666
nyAJ,pyAJJ,0,0.6666666666666666,0.6666666666666666
6mor,6mOr.,0,0.6666666666666666,0.8888888888888888
4PME,The CAPTCHA text in the image is: DPMF,0,0.09523809523809523,0.09523809523809523
JjAT,JjAT,1,1.0,1.0
AR6N,The CAPTCHA text is AR6N.,0,0.27586206896551724,0.27586206896551724
SO1r,s01r,0,0.5,0.75
xct0,XcTO,0,0.25,0.75
HJWU,hjjw6,0,0.0,0.6666666666666666
qe9kb6Ss,e9k b6S S,0,0.7058823529411765,0.8235294117647058
1yd4O,wJ rw.,0,0.0,0.0
icxZiUo,4J9zcC2.,0,0.13333333333333333,0.13333333333333333
NM5J,IJ5J,0,0.5,0.5
kR3SVWd,KRSVWD,0,0.6153846153846154,0.9230769230769231
UtWd20XC,The answer is: wd20+C,0,0.27586206896551724,0.41379310344827586
63M5,63M5,1,1.0,1.0
fR5x,The CAPTCHA text is frox.,0,0.13793103448275862,0.20689655172413793
8h13,w3h8,0,0.25,0.25
WCw0,WCW0,0,0.75,1.0
XvBRi0W,toow,0,0.0,0.18181818181818182
Tta7p,tazp,0,0.6666666666666666,0.6666666666666666
T9GPG,"To extract the text from the image we can use an OCR (Optical Character Recognition) algorithm or manually transcribe it. In this case since the text is clear and simple we can try extracting it manually.The text in the image reads ""T9CRG"". **Answer:** T9CRG",0,0.030418250950570342,0.015209125475285171
Qa5e8,qase8,0,0.6,0.8
6CuIfoJI,uifoj,0,0.46153846153846156,0.7692307692307693
Yplkz,HUt.,0,0.0,0.0
l82rQLx,rQLx.,0,0.6666666666666666,0.6666666666666666
NT5I8,NT5 P8,0,0.7272727272727273,0.7272727272727273
1iqnK,iKqJK,0,0.6,0.6
7y6Gx,**7v 6Gx**,0,0.5333333333333333,0.5333333333333333
NTMY,NTMY,1,1.0,1.0
IcnP8ZHN3,vcPANQKZg97.,0,0.2857142857142857,0.2857142857142857
O2qd,o2qd,0,0.75,1.0
toV80,O80,0,0.5,0.75
WJpfeW3,wypfew3,0,0.5714285714285714,0.8571428571428571
wSIemQ,wslemQ,0,0.6666666666666666,0.8333333333333334
SIC4dE,S/C4E.,0,0.6666666666666666,0.6666666666666666
mPM9VYw,9VYW,0,0.5454545454545454,0.7272727272727273
