Actual Solution,Predicted Solution,Result,Similarity,Similarity (Non Case-Sensitive)
OiC5u3Ka,oC5u2Ka,0,0.6666666666666666,0.8
ENC78,NC78,0,0.8888888888888888,0.8888888888888888
yIy2FAJFiv,2FAJv,0,0.6666666666666666,0.6666666666666666
H8VA,HOVA,0,0.75,0.75
BYVM,BYVM,1,1.0,1.0
Vl3E,V13E,0,0.75,0.75
yzRN8,YZN8,0,0.4444444444444444,0.8888888888888888
ejh5m,En3m7,0,0.2,0.4
83ykZ5YqUB,8zyK5yqUB,0,0.631578947368421,0.8421052631578947
RT6T,RT6T,1,1.0,1.0
hybu,hyou,0,0.75,0.75
nZafmVaRH,NZamkRH,0,0.625,0.75
X5ZK,X5ZK,1,1.0,1.0
H1QPwjjJ,HQPNjjJ,0,0.8,0.8
2yqaZI,2qaz1Z,0,0.6666666666666666,0.6666666666666666
BQgptvK,BQgXVVK,0,0.5714285714285714,0.7142857142857143
Wmts,WtS,0,0.5714285714285714,0.8571428571428571
UHHQ,VHHQ,0,0.75,0.75
VRATH,NRATHH,0,0.7272727272727273,0.7272727272727273
nYxu5,WYU5,0,0.4444444444444444,0.6666666666666666
duHlxe,DUHLXE,0,0.16666666666666666,1.0
hTzIdfgdOJ,h7vKdgdOJ,0,0.631578947368421,0.631578947368421
JNRY,JNRY,1,1.0,1.0
kY53,KY533,0,0.6666666666666666,0.8888888888888888
ZOlE,1OE,0,0.5714285714285714,0.5714285714285714
CFE3,CFB3,0,0.75,0.75
Z6rXzu,z6r<U,0,0.36363636363636365,0.7272727272727273
Lq5bS,L5bs,0,0.6666666666666666,0.8888888888888888
wftaC,wfitac,0,0.7272727272727273,0.9090909090909091
SQTV,V3P7Q0,0,0.2,0.2
3ARrycl,3ArC,0,0.5454545454545454,0.7272727272727273
hznQ2F,HZQ2F,0,0.5454545454545454,0.9090909090909091
5VN4,5VN4,1,1.0,1.0
Yh9oCB,K90CB,0,0.5454545454545454,0.5454545454545454
BrniC,BNic,0,0.4444444444444444,0.8888888888888888
85AH,85AH,1,1.0,1.0
i2hUbvyxR,i2UbvlvR,0,0.7058823529411765,0.7058823529411765
LLNab,Nab,0,0.75,0.75
PgJ2,pg2,0,0.5714285714285714,0.8571428571428571
wtkav2vv2,wtka2vV,0,0.75,0.875
xFRiumdcZ,RiU'nC_Z,0,0.35294117647058826,0.5882352941176471
CZ7VY,CZXY,0,0.6666666666666666,0.6666666666666666
Azf8Z,A7f8Z,0,0.8,0.8
Fahxvt,FahaV,0,0.5454545454545454,0.7272727272727273
SdWI51J,sdW5J,0,0.6666666666666666,0.8333333333333334
SYozvl5xO,SYOZKO,0,0.4,0.6666666666666666
MNYM,NOWN,0,0.25,0.25
UD5V,U5VD,0,0.75,0.75
mVfN,KVAN,0,0.5,0.5
rC5dAVFQ,rC5dyANFQ,0,0.8235294117647058,0.8235294117647058
YCRO,X6ZLO,0,0.2222222222222222,0.2222222222222222
7G7AE,7G7AE,1,1.0,1.0
3GEPQF2,3GFPO_22,0,0.5333333333333333,0.5333333333333333
UNy8JIpw8,UN&1PW8,0,0.375,0.625
Hs4x39,HS4+39,0,0.6666666666666666,0.8333333333333334
VhD1bNu,VD7b1U,0,0.46153846153846156,0.6153846153846154
9Uj0,9U10,0,0.75,0.75
2Y6k,26k,0,0.8571428571428571,0.8571428571428571
CEN8,CEN8,1,1.0,1.0
S98MzR3,S98MR3,0,0.9230769230769231,0.9230769230769231
uRveK,WpveK,0,0.6,0.6
S7LvWnRZ,$TVWR_L$,0,0.125,0.375
JIILSp,JIVSp,0,0.7272727272727273,0.7272727272727273
KE3vnXd,KE3VnXd,0,0.8571428571428571,1.0
PggRB,PgRB,0,0.8888888888888888,0.8888888888888888
KDVJ,DG7Jcoo,0,0.36363636363636365,0.36363636363636365
j7t2bzGK,7x2b1qK,0,0.5333333333333333,0.5333333333333333
XW4yW,XWN4YW,0,0.7272727272727273,0.9090909090909091
YXRD,YXR0,0,0.75,0.75
fKzvf,FZVF,0,0.0,0.8888888888888888
kkAfu,K4AfU,0,0.4,0.8
gNeG,gVeG,0,0.75,0.75
RvvbJ7,RVLZBJ,0,0.3333333333333333,0.6666666666666666
cQmay5FG,cQmA5FG,0,0.8,0.9333333333333333
1tckO4R,1Ck0XR,0,0.46153846153846156,0.6153846153846154
4na19I0,4NA190,0,0.6153846153846154,0.9230769230769231
eJ88qY,ej88qY,0,0.8333333333333334,1.0
kuqdE,k9uE,0,0.6666666666666666,0.6666666666666666
nPKR,NPRR,0,0.5,0.75
X8mg,x8mg,0,0.75,1.0
EG84,E G 8 A,0,0.5454545454545454,0.5454545454545454
m7WcainRa,m7cavinRa,0,0.8888888888888888,0.8888888888888888
AAEpg,AAPg,0,0.6666666666666666,0.8888888888888888
h6tnpzy1,h6npz4A,0,0.6666666666666666,0.6666666666666666
1pS1SNwQ,PSNwqQ,0,0.5714285714285714,0.7142857142857143
PkRo1bnn,PKR01bhn,0,0.625,0.75
BbxN6h,bXv6h,0,0.5454545454545454,0.7272727272727273
KKpojbkW,KKPOjbK,0,0.5333333333333333,0.9333333333333333
eswyr,ESWYR,0,0.0,1.0
s76V,S76V,0,0.75,1.0
H78hczN7,H18%CZN7,0,0.5,0.75
CR63,CR53,0,0.75,0.75
rQFe,rOfE,0,0.25,0.75
znduWBOEh,NEWBOEHW,0,0.47058823529411764,0.7058823529411765
rc8G3EZ,RC8G3EZ,0,0.7142857142857143,1.0
KQSW6,KQSW6,1,1.0,1.0
s2xo,S2XO,0,0.25,1.0
GQ4eDrM6,G4EDM6,0,0.7142857142857143,0.8571428571428571
WXUQ,WK4Q0,0,0.4444444444444444,0.4444444444444444
hyL1a,h1a,0,0.75,0.75
WI2HlKtzZb,W2HktZlB,0,0.4444444444444444,0.7777777777777778
aWyd,aWyd,1,1.0,1.0
E2YQ,E2%Q,0,0.75,0.75
18ZS,18ZS,1,1.0,1.0
tiIpE,TXPE1,0,0.2,0.6
sWiKLmwP,S1*L mWP,0,0.25,0.625
vWJTOS,VTOS,0,0.6,0.8
h6xuu1sw,h6ru15w,0,0.6666666666666666,0.6666666666666666
Mq6Dz,M96DZ,0,0.6,0.8
f89f6PaF35,!8qPa^35,0,0.5555555555555556,0.5555555555555556
qr4BN,a4BN,0,0.6666666666666666,0.6666666666666666
wfcRG,WfcRG,0,0.8,1.0
aL8grEV,aL8grE7,0,0.8571428571428571,0.8571428571428571
JQex,JQexr,0,0.8888888888888888,0.8888888888888888
y0TQJM,YOTQJ,0,0.5454545454545454,0.7272727272727273
v6ZP,Z6ZP,0,0.75,0.75
NDYQ,MDYR265,0,0.36363636363636365,0.36363636363636365
VCDA70848,VCD A>0848,0,0.8421052631578947,0.8421052631578947
qjQglhG28,q2gvhg28,0,0.5882352941176471,0.7058823529411765
G914K,G94K,0,0.8888888888888888,0.8888888888888888
WsW37eLln,WSW31el1H7,0,0.42105263157894735,0.631578947368421
CQPP,CQPR2,0,0.6666666666666666,0.6666666666666666
ALQD,ALQD,1,1.0,1.0
7ula8,7uvas,0,0.6,0.6
MRXWS,MPXWS,0,0.8,0.8
