Actual Solution,Predicted Solution,Cross Checked Solution,Result,Similarity,Similarity (Non Case-Sensitive)
zD8YHGiT,ZD8xVGIT,ZD8xVGIT,0,0.5,0.75
fVkX,fvK+,I'm unable to help with identifying or verifying text in images.,0,0.029411764705882353,0.08823529411764706
dLWlz2o,qLw1z20,dLnWzo0,0,0.7142857142857143,0.7142857142857143
bFTgA,BFTGA,BFTGA,0,0.6,1.0
6ue8etyv3,6u8etyv3,6u8etyvB,0,0.8235294117647058,0.8235294117647058
RURbDMzl,rUPPbDMZ,pURbDMZ,0,0.6666666666666666,0.8
HsaYejlFQ,HSAyeFQ,I don't know the hidden text from the image.,0,0.07547169811320754,0.11320754716981132
o4BXO,OBXO,OB^XO,0,0.6,0.8
6t05DfA,6t05DfA,6t05DfA,1,1.0,1.0
XuuHE2x,xUuHE2x,xUUHE2x,0,0.5714285714285714,1.0
rBZdVRWw,rBZqIRWWw,rBZqIRWNw,0,0.7058823529411765,0.7058823529411765
K9lbp,k9'bp,k9/bp,0,0.6,0.8
e4FodmvK,e40dnVK,e4F0dmVK,0,0.75,0.875
FXuEie9,FXukie9,FXukie9,0,0.8571428571428571,0.8571428571428571
ZslK6,ZSlK6,ZSlK6,0,0.8,1.0
wln1,w1n1,wn1N,0,0.75,0.75
JuAjee,JAEe,JuAFe,0,0.7272727272727273,0.7272727272727273
DiON51ylQ,DiON5]y\Q,dION51Y\Q,0,0.5555555555555556,0.8888888888888888
fPyQqodU,fPyoqOdU,fPyoqOdU,0,0.75,0.875
DDPy9ps,DPy9gps,DPY9GpS,0,0.5714285714285714,0.8571428571428571
zH8aRa,ZH8aRda,ZH8aRa,0,0.8333333333333334,1.0
vzDqIAvpe,VZdqVAvpe,VZDqIAVe,0,0.5882352941176471,0.9411764705882353
7INHe,1NHe,1NHe,0,0.6666666666666666,0.6666666666666666
0jw1ZgxK,wj^1zgtk,0jv^1XZgKt,0,0.6666666666666666,0.6666666666666666
kV9wVJ,Kv9wLJ,Kv9wLJ,0,0.5,0.8333333333333334
1d1Xfu,b7XfU,b7XfU,0,0.36363636363636365,0.5454545454545454
u75N,u>5N,u>5N,0,0.75,0.75
U1Ouj,U70uV,U70uV,0,0.4,0.4
e39v,e3gV,e3gV,0,0.5,0.75
OIJfQ,OI\kQ,OIKQ,0,0.6666666666666666,0.6666666666666666
j0G9fIGlb,0GofG\b,0GofG\b,0,0.625,0.625
KE3vnXd,kE3Vnxd,kE3VnxXd,0,0.6666666666666666,0.9333333333333333
Jd3p,Jdzp,Ja2p,0,0.5,0.5
6u3K31Xnw,K31+nw,6uJ3K31+nw,0,0.8421052631578947,0.8421052631578947
wZs9N238,WzS9N238,WzS9N238,0,0.625,1.0
L1Qd4X,LRadAx,LRoOAx,0,0.16666666666666666,0.3333333333333333
twyiobX,tzyiObX,tzyiObX,0,0.7142857142857143,0.8571428571428571
wI5ZdO,W157d0,W15Zd0,0,0.5,0.6666666666666666
vn3j5,Vw23j5,Lx23j5,0,0.5454545454545454,0.5454545454545454
fVkX,fvk+,fVk+,0,0.75,0.75
nMeorW,nMEorW,nMeorW,1,1.0,1.0
MSVMr4N,Ms4x4N,M5x4^N,0,0.46153846153846156,0.46153846153846156
3ZcnB9N3,3cn9N3,3cnb9N3,0,0.8,0.9333333333333333
SCmmuZM,SCnmuZM,SC^rmuZM,0,0.8,0.8
LqsXuE,L&SXuE,LaSXuE,0,0.6666666666666666,0.8333333333333334
Sx0MH8jb,sXOMH8p,sXOMH8p,0,0.4,0.6666666666666666
AduEkr,AdUkEr,qdUExr,0,0.5,0.6666666666666666
rzhc,C,R4hC,0,0.25,0.75
tLoAMQNN6,tLOAMqNN6,tLOANqNN6,0,0.6666666666666666,0.8888888888888888
AkFxea,AkFtea,AkFtea,0,0.8333333333333334,0.8333333333333334
0DxmJ1qB,OD7mJ1aB,OD7mJ1aB,0,0.625,0.625
3NVEpzp,3NVErZp,3NVErZp,0,0.7142857142857143,0.8571428571428571
XiaN1,Xia21,Kia21,0,0.6,0.6
6wkJTelQ4,6wkJTelo4,6wkJTeloQ4,0,0.9473684210526315,0.9473684210526315
uZD7eIduX,uZD7eidx,uZD7eidx,0,0.7058823529411765,0.9411764705882353
65exi,65ex1,6SEx1,0,0.4,0.6
iNKK6,iNK6K6,I'm unable to recognize or extract text from the image you provided.,0,0.0273972602739726,0.0547945205479452
nYxu5,nY+U5,nY+U5,0,0.6,0.8
nVhtWY,ntwY,Nhtwy,0,0.36363636363636365,0.9090909090909091
Hv7ir,HN7iK,HN7iK,0,0.6,0.6
uIkHn5ue,UNKH5ue,UNKHn5ue,0,0.625,0.875
wXzk4p,2Lxk4p,2Lxk4p,0,0.5,0.6666666666666666
0DxmJ1qB,oDtm1B,ODxm19B,0,0.6666666666666666,0.6666666666666666
dFwm6y,dEwm6y,dEwm6y,0,0.8333333333333334,0.8333333333333334
WkkMPZG,WkLMPZG,WkLMPZG,0,0.8571428571428571,0.8571428571428571
W2so,W2S0,W2SO,0,0.5,1.0
RzBl6Vix,pZBL6vIx,pZBL6vIx,0,0.375,0.875
fZ1dZLC6r,fz1dKeVC6r,fz1dKeVC6r,0,0.631578947368421,0.7368421052631579
6IvtUXz8,6IvtUXYZ8,6IvtUXYZ8,0,0.8235294117647058,0.9411764705882353
Tjne,TVNE,TUNE,0,0.25,0.75
NemBlK,NemBk,NemBk,0,0.7272727272727273,0.9090909090909091
yUO3dax,yUo3qax,yUO3dx,0,0.9230769230769231,0.9230769230769231
fp5R,xP5R,xP5R,0,0.5,0.75
foWNL1JU,FOLLOWJU,fOUNNdJU,0,0.5,0.625
3npXrJt,3hpxXrt,3hpxXrt,0,0.7142857142857143,0.7142857142857143
up3o2,Up302,Up3O2,0,0.6,1.0
PjzDk,PjLDk,PjLDk,0,0.8,0.8
Hv7ir,HNV7,HNVik,0,0.4,0.6
e4FodmvK,e4F0dnVK,e4F0dnVK,0,0.625,0.75
XbtM,XbtM,XbtM,1,1.0,1.0
lEH1W7,EH1w1,EH1w1,0,0.5454545454545454,0.7272727272727273
eICrS1u,eCrSk1,"I'm sorry, I can't help with that.",0,0.04878048780487805,0.0975609756097561
zvraLcRJI,ZVCRJI,Zv?a<CRJI,0,0.5555555555555556,0.7777777777777778
YsbYNbDW,YSbryNbDw,YSbyNbDw,0,0.625,1.0
t1zX,HZx,HZ7X,0,0.25,0.5
9iOuWKs,9iouwnks,9iowks,0,0.46153846153846156,0.9230769230769231
CxKIsu,CXIsSu,cXIs5u,0,0.5,0.8333333333333334
UkaB1yj,tKabYj,uKabYj,0,0.3076923076923077,0.9230769230769231
oyb7W,o'b7W,o'b7W,0,0.8,0.8
AweT,AWET,ANET,0,0.5,0.75
ccet,Ceter,Ce9er,0,0.2222222222222222,0.4444444444444444
P5uuIXgC,P5uIixgc,P5uI1X9C,0,0.75,0.75
DZ53IZX,D5311x,D5317x,0,0.46153846153846156,0.6153846153846154
6aEy,6A3Y,6A3Y,0,0.25,0.75
JuAjee,JuAse,JuAfe,0,0.7272727272727273,0.7272727272727273
eICrS1u,eCrSkl,eCrSkl,0,0.6153846153846154,0.6153846153846154
GucMwYI5O,GCMwYI5O,GuCMwYI5O,0,0.8888888888888888,1.0
