Actual Solution,Predicted Solution,Result,Similarity,Similarity (Non Case-Sensitive)
OiC5u3Ka,C5u3ka,0,0.7142857142857143,0.8571428571428571
ENC78,NC78,0,0.8888888888888888,0.8888888888888888
yIy2FAJFiv,2FAJFiv,0,0.8235294117647058,0.8235294117647058
H8VA,h8VA,0,0.75,1.0
BYVM,BYVM,1,1.0,1.0
Vl3E,Vl3E,1,1.0,1.0
yzRN8,ZRn8,0,0.4444444444444444,0.8888888888888888
ejh5m,ejnsm,0,0.6,0.6
83ykZ5YqUB,83yKz5YqUB,0,0.8,1.0
RT6T,RT6T,1,1.0,1.0
hybu,hybul,0,0.8888888888888888,0.8888888888888888
nZafmVaRH,nZamKaRH,0,0.8235294117647058,0.8235294117647058
X5ZK,x5ZK,0,0.75,1.0
H1QPwjjJ,QPWNjjJ,0,0.6666666666666666,0.8
2yqaZI,2qazJ,0,0.5454545454545454,0.7272727272727273
BQgptvK,BQgZVVK,0,0.5714285714285714,0.7142857142857143
Wmts,WmTS,0,0.5,1.0
UHHQ,vHHQ,0,0.75,0.75
VRATH,NRATH,0,0.8,0.8
nYxu5,nYxU5,0,0.8,1.0
duHlxe,DuHLXE,0,0.3333333333333333,1.0
hTzIdfgdOJ,kckgdOJ,0,0.47058823529411764,0.47058823529411764
JNRY,JNRY,1,1.0,1.0
kY53,ky53,0,0.75,1.0
ZOlE,zQE,0,0.2857142857142857,0.5714285714285714
CFE3,CFE3,1,1.0,1.0
Z6rXzu,z6rxU,0,0.36363636363636365,0.9090909090909091
Lq5bS,La5bS,0,0.8,0.8
wftaC,wjtaC,0,0.8,0.8
SQTV,vf3D,0,0.0,0.25
3ARrycl,3ArCj,0,0.5,0.6666666666666666
hznQ2F,hZQ2F,0,0.7272727272727273,0.9090909090909091
5VN4,5VN4,1,1.0,1.0
Yh9oCB,k90CB,0,0.5454545454545454,0.5454545454545454
BrniC,BMic,0,0.4444444444444444,0.6666666666666666
85AH,85AH,1,1.0,1.0
i2hUbvyxR,i2AubvJR,0,0.5882352941176471,0.7058823529411765
LLNab,Nab,0,0.75,0.75
PgJ2,pgj2,0,0.5,1.0
wtkav2vv2,WtkaV2V,0,0.5,0.875
xFRiumdcZ,nRiUnC,0,0.26666666666666666,0.5333333333333333
CZ7VY,CZXlY,0,0.6,0.6
Azf8Z,A7f8Z,0,0.8,0.8
Fahxvt,FahXV,0,0.5454545454545454,0.9090909090909091
SdWI51J,sdWL5J,0,0.6153846153846154,0.7692307692307693
SYozvl5xO,SYozLv5xO,0,0.8888888888888888,0.8888888888888888
MNYM,NBNN,0,0.25,0.25
UD5V,UD5V,1,1.0,1.0
mVfN,MIVAN,0,0.4444444444444444,0.6666666666666666
rC5dAVFQ,rC5yANFQ,0,0.75,0.75
YCRO,XGALO,0,0.2222222222222222,0.2222222222222222
WI2HlKtzZb,W2HkTZ1b,0,0.5555555555555556,0.7777777777777778
aWyd,aWyd,1,1.0,1.0
E2YQ,E2YQ,1,1.0,1.0
18ZS,18ZS,1,1.0,1.0
tiIpE,tlPE,0,0.4444444444444444,0.6666666666666666
SBNK,SBNK,1,1.0,1.0
fT6sloi,t6S/0i,0,0.3076923076923077,0.6153846153846154
MXCJ,MXCJ,1,1.0,1.0
Nleft8Ho0S,NleftoHOs,0,0.631578947368421,0.8421052631578947
L1YovOU,LYOnOU,0,0.6153846153846154,0.7692307692307693
GXDB,GXR8,0,0.5,0.5
A48M,A48M,1,1.0,1.0
ZVWE,ZVWE,1,1.0,1.0
LTST,LTS7,0,0.75,0.75
lQlskUPy,IQlskUPy,0,0.875,0.875
NSCX,NJCX,0,0.75,0.75
TS4b,rs4b,0,0.5,0.75
KPsD2fI,KoSDfl,0,0.46153846153846156,0.6153846153846154
S7wtR,SwltR,0,0.8,0.8
ukMimH0R,ukMzmH,0,0.7142857142857143,0.7142857142857143
LJoh3f72Xn,LJoh3Y2xn,0,0.7368421052631579,0.8421052631578947
aXYYj,aX44j,0,0.6,0.6
V7TzG,V7ZG,0,0.6666666666666666,0.8888888888888888
hf0qz,hf9Z,0,0.4444444444444444,0.6666666666666666
KZCr,KZCr,1,1.0,1.0
UdpjaAEX0,udpaAEX0,0,0.8235294117647058,0.9411764705882353
uTdpD8D,UTDPD8D,0,0.5714285714285714,1.0
C4HA,C4HA,1,1.0,1.0
M3Wgj,M3Wgj,1,1.0,1.0
majS,mdjS,0,0.75,0.75
QGE4,D3Pa,0,0.0,0.0
UQByOSHw,uQBOSHw,0,0.8,0.9333333333333333
rUVW,rUvM,0,0.5,0.75
LaSoHlOG,LasOHIOG,0,0.625,0.875
I2DpJ,I2DpJ,1,1.0,1.0
iLkrXTC,I<<R*TC,0,0.2857142857142857,0.5714285714285714
MJQM,MJQM,1,1.0,1.0
f8O1874,r8018>4,0,0.5714285714285714,0.5714285714285714
bEfk,bfK,0,0.5714285714285714,0.8571428571428571
46izoR,46iZOR,0,0.6666666666666666,1.0
YC6G,Vc6G,0,0.5,0.75
DOBJ,DdBJ,0,0.75,0.75
RbJnL51jp,Rbj nL5lb,0,0.5555555555555556,0.6666666666666666
do5Dga,aQDgA,0,0.36363636363636365,0.5454545454545454
F5kAV6qs,F5kAV6qs,1,1.0,1.0
xrnS1b247,xrwSb241,0,0.7058823529411765,0.7058823529411765
qn3VX,qn34,0,0.6666666666666666,0.6666666666666666
NSNE,NSNE,1,1.0,1.0
Vr4s1FJO,Vr4s1FJO,1,1.0,1.0
2daliro1G,2davirO1G,0,0.7777777777777778,0.8888888888888888
6tkapDE,6tkaDE,0,0.9230769230769231,0.9230769230769231
lfXEgt55,lfXEgt55,1,1.0,1.0
7D18HL1Bk0,7DI8Hl1Bk0,0,0.8,0.9
XjlUssD,KjSSD,0,0.3333333333333333,0.6666666666666666
T5vChA,TsVCHA,0,0.5,0.8333333333333334
BQKX,BQKX,1,1.0,1.0
