Actual Solution,Predicted Solution,Result,Similarity,Similarity (Non Case-Sensitive)
0BWa4Wq,"The hidden text is ""owaaq"".",0,0.11764705882352941,0.17647058823529413
WrRzCItN,"The hidden text is ""WACIN"".",0,0.22857142857142856,0.22857142857142856
qxL93cwn,"The hidden text is ""qwertyuiop"".",0,0.1,0.1
U1xAPtuLR,"The hidden text is ""UXRAPTUR"".",0,0.20512820512820512,0.358974358974359
o5pY1f6jm,"The hidden text is ""5050"".",0,0.05714285714285714,0.05714285714285714
X7XC,"The hidden text is ""17AC"".",0,0.13333333333333333,0.2
D37MB,DBMB,0,0.6666666666666666,0.6666666666666666
wPnM,wnum,0,0.5,0.75
EB4B,"The hidden text is ""G3R3"".",0,0.0,0.06666666666666667
Ek90un,"The hidden text is ""E90un"".",0,0.30303030303030304,0.30303030303030304
9Hp15XA,H15+A,0,0.6666666666666666,0.6666666666666666
AtwoTGB,AT^20TGB,0,0.5333333333333333,0.6666666666666666
Q58ymGT6r,58ymGT6r,0,0.9411764705882353,0.9411764705882353
r2Mqj5,"The hidden text is ""rmgb"".",0,0.0625,0.125
9dhnj,908hnj,0,0.7272727272727273,0.7272727272727273
AUNGogl,AUNGOgi,0,0.7142857142857143,0.8571428571428571
yxCQS5Uhs,MCosSUIS,0,0.35294117647058826,0.47058823529411764
mW1USH,"The hidden text is ""M7VUSH"".",0,0.17647058823529413,0.23529411764705882
hBKbh,hBKBh,0,0.8,1.0
GYyuR,GYLPR,0,0.6,0.6
UOgxpMj,uOgXpMj,0,0.7142857142857143,1.0
hAJD,"The hidden text is ""TAD"".",0,0.20689655172413793,0.20689655172413793
KUMW,KLMWV,0,0.6666666666666666,0.6666666666666666
knV8,4nV8,0,0.75,0.75
FdPqO,f4p90,0,0.0,0.4
1WFZL,1NFZ,0,0.6666666666666666,0.6666666666666666
JMNQ,"The hidden text is ""JAN"".",0,0.13793103448275862,0.13793103448275862
ioxDPy,ioxdA,0,0.5454545454545454,0.7272727272727273
UfRPi,URpi,0,0.6666666666666666,0.8888888888888888
4N9hBnEnYK,"The hidden text is: ""hijklmnopqrstuvwxyz""",0,0.11764705882352941,0.1568627450980392
yh8Rg6,yh8R86,0,0.8333333333333334,0.8333333333333334
ukZom,ukz0m,0,0.6,0.8
J2ZJQ,J2ZQ,0,0.8888888888888888,0.8888888888888888
qbIbAnVK,"The hidden text is ""qw6awx"".",0,0.05555555555555555,0.1111111111111111
RNKK,"The hidden text is ""RISK"".",0,0.13333333333333333,0.13333333333333333
s8IXE,"The hidden text is ""S8I4E"".",0,0.25,0.25
i0Mu0I,"The hidden text is ""iOMv01"".",0,0.11764705882352941,0.11764705882352941
dIYN2FlcB,"The hidden text is ""dylan21cb"".",0,0.15,0.35
FYS8,FYS8,1,1.0,1.0
bSxSJQ,"The hidden text is ""6SxSxSx"".",0,0.17142857142857143,0.17142857142857143
SS6R,"The hidden text is ""SOS"".",0,0.13793103448275862,0.13793103448275862
XlV5iA,"The hidden text is ""x125A"".",0,0.12121212121212122,0.18181818181818182
mvf8,MVAS,0,0.0,0.5
STBF,STBF,1,1.0,1.0
FAUC,FAUC,1,1.0,1.0
VBRBwW,VARBZW,0,0.6666666666666666,0.6666666666666666
4pQeqrA,"The hidden text is ""ApoegA"".",0,0.17142857142857143,0.17142857142857143
KBXPsYT,"The hidden text is ""KBXPSIT"".",0,0.2777777777777778,0.3333333333333333
mtipF,"The hidden text is ""stripF"".",0,0.24242424242424243,0.24242424242424243
JYJO,"The hidden text is ""JXJO"".",0,0.2,0.2
QziDUjsXIo,Qzidujsxp,0,0.5263157894736842,0.8421052631578947
N9C42IqPh1,"The hidden text is ""V9CA2IQ4A"".",0,0.1951219512195122,0.2926829268292683
CjsUKb,"The hidden text is ""C6UKb"".",0,0.24242424242424243,0.24242424242424243
KXfmI,KFM,0,0.25,0.75
TvuPkh,TVUPm,0,0.36363636363636365,0.7272727272727273
U9g1KRqV7,"The hidden text is ""987654321"".",0,0.1,0.1
NXEN,NAIEN,0,0.6666666666666666,0.6666666666666666
7gbXpv,"The hidden text is ""78v+pv"".",0,0.17647058823529413,0.17647058823529413
HCIk,hc1k,0,0.25,0.75
XGRV,"The hidden text is ""KXBN"".",0,0.06666666666666667,0.06666666666666667
U6Yk7uq,uytyuq,0,0.3076923076923077,0.6153846153846154
1Z4A,1Z4A,1,1.0,1.0
OdSv9RtVE0,Od90RtvEO,0,0.631578947368421,0.7368421052631579
RvTB,RVTB,0,0.75,1.0
BQu6,BQub,0,0.75,0.75
G7K5,07K5,0,0.75,0.75
W524,W52p,0,0.75,0.75
GGPv5,Gopvs,0,0.4,0.6
cgQM,C8M,0,0.2857142857142857,0.5714285714285714
2V3j,2V3,0,0.8571428571428571,0.8571428571428571
ZmX1JIiW,"The hidden text is ""ZX15W"".",0,0.22857142857142856,0.22857142857142856
jmx2KIEYX,"The hidden text is ""my2KERT"".",0,0.21052631578947367,0.21052631578947367
QZXG,"The hidden text is ""QXG"".",0,0.20689655172413793,0.20689655172413793
YbHs,BHS,0,0.2857142857142857,0.8571428571428571
EGEg,EGEg,1,1.0,1.0
Z6WX,ZWOW,0,0.5,0.5
Djc7,Djc7,1,1.0,1.0
c8O6,"The hidden text is ""CO6"".",0,0.13793103448275862,0.20689655172413793
4ZUNr0,4LUNrO,0,0.6666666666666666,0.6666666666666666
UujjxY,"The hidden text is ""CUJXY"".",0,0.12121212121212122,0.24242424242424243
Mj5t6,JS16,0,0.2222222222222222,0.4444444444444444
jbNn,"The hidden text is ""jbnh"".",0,0.2,0.2
FyyjpE0,FYjiP0,0,0.46153846153846156,0.7692307692307693
KV8F,KVF,0,0.8571428571428571,0.8571428571428571
JRaV,JRAV,0,0.75,1.0
VpNp,"The hidden text is ""VpNP"".",0,0.2,0.26666666666666666
4AGA,"The hidden text is ""AGA"".",0,0.20689655172413793,0.20689655172413793
5uwfcdBol,5uwfCBOI,0,0.5882352941176471,0.8235294117647058
YeJ19,Yes19,0,0.8,0.8
AN0X6igjg,"The hidden text is ""A0x6i8ojg"".",0,0.3,0.35
u06wdrP,406wMP,0,0.6153846153846154,0.6153846153846154
dX1sp,dS/Sp,0,0.4,0.6
IJS5,"The hidden text is ""s5"".",0,0.07142857142857142,0.21428571428571427
WvHhI,Wahi,0,0.4444444444444444,0.6666666666666666
TylKz8sxO,"The hidden text is ""TVKSSO"".",0,0.16216216216216217,0.21621621621621623
PRnU,PPNU,0,0.5,0.75
3OboiP4N,30abip4n,0,0.5,0.75
QFTQ,"The hidden text is ""1234567890"".",0,0.05555555555555555,0.05555555555555555
olhm3J3v2l,04m33v21,0,0.5555555555555556,0.5555555555555556
Em752,"The hidden text is ""CAPTCHA"".",0,0.0,0.058823529411764705
gjabK,"The hidden text is ""gpbk"".",0,0.12903225806451613,0.1935483870967742
A2VdzF,A2WZLF,0,0.5,0.6666666666666666
RWXY,"The hidden text is ""CAPTCHA"".",0,0.0,0.06060606060606061
THDY,"The hidden text is ""THDY"".",0,0.26666666666666666,0.26666666666666666
8FgH3,"The hidden text is ""safes"".",0,0.0,0.0625
Tq1qpYz,T919PYZ,0,0.42857142857142855,0.7142857142857143
01G6I,01961,0,0.6,0.6
5KYF,"The hidden text is: ""1234567890""",0,0.05555555555555555,0.05555555555555555
ENevr5s9Y5,"The hidden text is ""Everysas"".",0,0.2,0.3
ZRSJ,ZRSJ,1,1.0,1.0
5nTBJXxH6,ENTBLV6,0,0.375,0.5
W3qAitI,W3q4i2Y,0,0.5714285714285714,0.5714285714285714
zwgCyrm,"The hidden text is ""Zwagyrn"".",0,0.2222222222222222,0.2777777777777778
bFCV,"The hidden text is ""WPS"".",0,0.0,0.0
RC7C,"The hidden text is ""RCCT"".",0,0.2,0.2
J9h2D,"The hidden text is ""JohnD"".",0,0.1875,0.1875
DV5D,DVSD,0,0.75,0.75
w7NXT,"The hidden text is ""WORLD"".",0,0.0625,0.1875
VFUL,"The hidden text is ""YEE205"".",0,0.0,0.0
i9xtsfTD,"The hidden text is ""jotxsr"".",0,0.2222222222222222,0.2777777777777778
Pa0lFH3,pa01f3,0,0.46153846153846156,0.7692307692307693
k7iaAftB,k7laAftB,0,0.875,0.875
5l5QliX,"The hidden text is ""55019x"".",0,0.11428571428571428,0.17142857142857143
ktzC5Yx,"The hidden text is: ""kzcvx""",0,0.17647058823529413,0.23529411764705882
B5W5,"The hidden text is ""12345"".",0,0.06451612903225806,0.06451612903225806
YYgiEj,yy&ei*,0,0.16666666666666666,0.5
Mf30,M30,0,0.8571428571428571,0.8571428571428571
FcJQL2,FJQL2,0,0.9090909090909091,0.9090909090909091
bxoj,bXoj,0,0.75,1.0
DWhwv,DwhwW,0,0.6,0.8
A9umwW2,49umW2,0,0.7692307692307693,0.7692307692307693
T2QN,"The hidden text is ""A2ON"".",0,0.2,0.2
loN1J,"The hidden text is ""10N1"".",0,0.12903225806451613,0.12903225806451613
eLfu7IJB,"The hidden text is ""e1fu7mb"".",0,0.21621621621621623,0.2702702702702703
UpS0BjY3V,"The hidden text is ""UPSDBY3I"".",0,0.2564102564102564,0.3076923076923077
aaJF,"The hidden text is ""af"".",0,0.07142857142857142,0.14285714285714285
T6vL,"The hidden text is ""TOVL"".",0,0.13333333333333333,0.2
rkArbAYKQ,"The hidden text is ""KABAYOK"".",0,0.21052631578947367,0.3157894736842105
AkFTd56,AKET956,0,0.5714285714285714,0.7142857142857143
FBQQ,"The hidden text is ""BEC"".",0,0.06896551724137931,0.06896551724137931
qoOt,qoot,0,0.75,1.0
fOdpm02,fodmQ,0,0.5,0.6666666666666666
PU0OFW,"The hidden text is ""PUZZLE"".",0,0.11764705882352941,0.11764705882352941
yh8Ev2vXb,"The hidden text is ""y8h8Ekh8t8b"".",0,0.23809523809523808,0.23809523809523808
RQiAk,Roiax,0,0.4,0.6
V9MBK,"The hidden text is: ""VQMBK""",0,0.25,0.25
0dvanOnBt,odvanoanb,0,0.5555555555555556,0.7777777777777778
5FfPNkS,5FipNkS,0,0.7142857142857143,0.8571428571428571
uYG7nStDN,"The hidden text is: ""Y7ns7DN""",0,0.2631578947368421,0.3157894736842105
5SgG,55gG,0,0.75,0.75
W9JMO2h,W9mO2h,0,0.7692307692307693,0.9230769230769231
nshYOoTW,nsYOOTW,0,0.8,0.9333333333333333
ZVnOu90y,"The hidden text is ""zznou90v"".",0,0.21052631578947367,0.3157894736842105
DRPD,DPDP,0,0.75,0.75
Lmnir,lmnr,0,0.6666666666666666,0.8888888888888888
I0sptI,"The hidden text is ""IOS 11"".",0,0.058823529411764705,0.17647058823529413
kWz1TcC,Kwz1Tl,0,0.46153846153846156,0.7692307692307693
KH6hjl,K6bhV,0,0.5454545454545454,0.36363636363636365
Vzi0y8guU,VZw0y8gu,0,0.7058823529411765,0.8235294117647058
aOrhwIkuL,aOVWkuL,0,0.625,0.75
7bqC,I'm sorry but as an AI language model I don't have the ability to see or extract text from images. However I can help you with any questions or problems you may have. Please let me know how I can assist you further.,0,0.0182648401826484,0.0273972602739726
WGctRkN,WGCTkn,0,0.46153846153846156,0.9230769230769231
iROC,iROC,1,1.0,1.0
frlgTLi,"The hidden text is ""TV"".",0,0.12903225806451613,0.12903225806451613
0u390L2jA,0u390v24,0,0.7058823529411765,0.7058823529411765
bJ1bs,b16s,0,0.6666666666666666,0.6666666666666666
uYQz1YD,"The hidden text is ""YQ1YPD"".",0,0.2857142857142857,0.2857142857142857
urRxuM,"The hidden text is ""urxu"".",0,0.25,0.25
Yuzr,"The hidden text is ""yuZr"".",0,0.13333333333333333,0.26666666666666666
KrJ66v9c,Kv66vC,0,0.5714285714285714,0.7142857142857143
bWOqX,"The hidden text is ""bqow"".",0,0.12903225806451613,0.12903225806451613
AGJB,"The hidden text is ""ABCD"".",0,0.13333333333333333,0.13333333333333333
ETDk55rDL,"The hidden text is ""EXODUSDL"".",0,0.20512820512820512,0.2564102564102564
C1nhDSv,"The hidden text is ""CMDsv"".",0,0.17647058823529413,0.23529411764705882
DU414m1dhX,DU44mdHr,0,0.6666666666666666,0.7777777777777778
7qnE,"The hidden text is ""7one"".",0,0.13333333333333333,0.2
QRMA,"The hidden text is ""QZB"".",0,0.06896551724137931,0.06896551724137931
qIoGQ1,q10g0-1,0,0.3076923076923077,0.3076923076923077
sRNP,SRNP,0,0.75,1.0
A8XE,"The hidden text is ""AXE"".",0,0.20689655172413793,0.20689655172413793
5sbWX,5SbWX,0,0.8,1.0
1ICtq,"The hidden text is ""1Cta"".",0,0.1935483870967742,0.1935483870967742
4343,4343,1,1.0,1.0
KThM3dr,"The hidden text is ""KTWZ"".",0,0.12121212121212122,0.12121212121212122
dLn5mV,"The hidden text is ""d1d1m1n1"".",0,0.16666666666666666,0.16666666666666666
1I2TN4r,112TN4,0,0.7692307692307693,0.7692307692307693
7kWW,7KW,0,0.5714285714285714,0.8571428571428571
Ld8C,id8c,0,0.5,0.75
NAaj,"The hidden text is ""NAAT"".",0,0.13333333333333333,0.2
1TEOA9,KEOA9,0,0.7272727272727273,0.7272727272727273
CVXE,"The hidden text is ""CODE"".",0,0.13333333333333333,0.13333333333333333
X3WR,X3WR,1,1.0,1.0
wz2b,wz26,0,0.75,0.75
utOW1,"The hidden text is ""urow"".",0,0.06451612903225806,0.1935483870967742
3AAmFmngu,34AmFmNg0u,0,0.7368421052631579,0.8421052631578947
TgGJ,TgGJ,1,1.0,1.0
HIwMWd3,"The hidden text is ""34567890"".",0,0.10810810810810811,0.21621621621621623
tvPqHMP8,"The hidden text is ""t29Hyp0"".",0,0.10810810810810811,0.10810810810810811
43PyUd5O,3pyUa50,0,0.5333333333333333,0.6666666666666666
c7syF45,c1s2yf3,0,0.42857142857142855,0.5714285714285714
nUBUP,"The hidden text is ""MGB"".",0,0.13333333333333333,0.13333333333333333
