Actual Solution,Predicted Solution,Result,Similarity,Similarity (Non Case-Sensitive)
BZAQ,6ZAQ,0,0.75,0.75
BkqcNgVQc,BkqCngVqC,0,0.5555555555555556,1.0
k11Sb1,k8h5,0,0.2,0.2
03AdAR2,O3AdAR2,0,0.8571428571428571,0.8571428571428571
hQbRpNHJ,hQoBRPNhJ,0,0.5882352941176471,0.9411764705882353
hzcmvwjb,hCmWib,0,0.42857142857142855,0.7142857142857143
QHAX,I can't extract text from images.,0,0.0,0.10810810810810811
EHl0iticVd,EHV0iticvda,0,0.7619047619047619,0.8571428571428571
QWXSIWBy,QWXS/WBY,0,0.75,0.875
stlcp3G,stcp3G,0,0.9230769230769231,0.9230769230769231
PJxc7qUI,pCxC7qUI,0,0.625,0.875
EDKR,EDKRR,0,0.8888888888888888,0.8888888888888888
djIrV8,djlVz8,0,0.6666666666666666,0.6666666666666666
oxysKroz,0xy5tr0,0,0.4,0.4
PNXZ,PNXZ3,0,0.8888888888888888,0.8888888888888888
R9lM,R9M,0,0.8571428571428571,0.8571428571428571
BJr0j5t5T,BJ0j5T,0,0.8,0.8
KQQ9,KAQQ9,0,0.8888888888888888,0.8888888888888888
GTBU,GTBU,1,1.0,1.0
ZpTrqUB,zpr1aUB,0,0.5714285714285714,0.7142857142857143
a1Liy7JX,a7yJx,0,0.46153846153846156,0.6153846153846154
GKQY,GHDY,0,0.5,0.5
S8YT,S8YT,1,1.0,1.0
ZK3ktTE,zK3tTE,0,0.7692307692307693,0.9230769230769231
BwRBqJ,BWrB9J,0,0.5,0.8333333333333334
GhqW,GqNW,0,0.75,0.75
Pu2S,qZ5sD,0,0.0,0.2222222222222222
Am49pc8,mA9C8,0,0.5,0.6666666666666666
HXLqL9zv6,HxL9w6,0,0.5333333333333333,0.6666666666666666
AWYV,AWYV,1,1.0,1.0
ERHCP,ERHCP,1,1.0,1.0
BVFA,I can't extract the text from the image.,0,0.0,0.09090909090909091
tOWfSf7o,t0WFSr70,0,0.5,0.625
xC6X,xC6X,1,1.0,1.0
6ue8etyv3,6u8etyV3,0,0.8235294117647058,0.9411764705882353
uZlITJuw,uZIlJUw,0,0.6666666666666666,0.8
FYPX,FYRK,0,0.5,0.5
vnxt5p,vnx5p,0,0.9090909090909091,0.9090909090909091
k4uXNK,4UjXN8k,0,0.46153846153846156,0.7692307692307693
3IuveJl,3IuVe1,0,0.6153846153846154,0.7692307692307693
eejA,eeia,0,0.5,0.75
dDZ8,dDZ8,1,1.0,1.0
d6avk,d6QVk,0,0.6,0.8
WHHW,WHRM,0,0.5,0.5
Lk2pgBh,Lk2p8Bh,0,0.8571428571428571,0.8571428571428571
XME3vu,XME3vM,0,0.8333333333333334,0.8333333333333334
awKJUj7ox,awJu0x7,0,0.5,0.625
JQxT,JQHT,0,0.75,0.75
rap8H6,rap8H6,1,1.0,1.0
UkaB1yj,cvabyj,0,0.46153846153846156,0.6153846153846154
sCB1M,sQBm,0,0.4444444444444444,0.6666666666666666
IfjCzGX,ICZGX,0,0.6666666666666666,0.8333333333333334
fllR5,kM7s,0,0.0,0.0
x5JysRYF,x5jysryF,0,0.625,1.0
WSAmK,WSAtK,0,0.8,0.8
10Hy9,10y9,0,0.8888888888888888,0.8888888888888888
ISDP,I can't extract or recognize text from images.,0,0.04,0.08
HT9P,HTQP,0,0.75,0.75
8bfR7wZi,8bfrZTi,0,0.6666666666666666,0.8
2hYxS7Rxa,2hYxSRxa,0,0.9411764705882353,0.9411764705882353
BMXS,BMXsS,0,0.8888888888888888,0.8888888888888888
G3Rj,G3R4,0,0.75,0.75
LKy76,LKY76,0,0.8,1.0
27EZ,27EZ,1,1.0,1.0
KKBE,I can't extract text from images.,0,0.0,0.05405405405405406
rucR5,hUCR5,0,0.4,0.8
