Actual Solution,Predicted Solution,Result,Similarity,Similarity (Non Case-Sensitive)
mreNFH,mreNTH,0,0.8333333333333334,0.8333333333333334
gBPC,gaBPC,0,0.8888888888888888,0.8888888888888888
MycA,MyCA,0,0.75,1.0
AmA5,AmA45,0,0.8888888888888888,0.8888888888888888
6f1N,6f^1W,0,0.6666666666666666,0.6666666666666666
s0hbX44r,s0nbX4Ar,0,0.75,0.75
HmIdNRAi,Hm/dNRAi,0,0.875,0.875
ES43bZzLG,E$43bzLG,0,0.8235294117647058,0.8235294117647058
SKNC1pBZ,SkvCrpBz,0,0.5,0.75
4mugcJQ6i,4mu8Cyxq61,0,0.42105263157894735,0.631578947368421
P7DRqxJ,PzDR9xJ,0,0.7142857142857143,0.7142857142857143
wuZfWIk,wuZfwIk,0,0.8571428571428571,1.0
U8I2dz9U,u8rdZgU,0,0.13333333333333333,0.6666666666666666
PDmX,PDmX,1,1.0,1.0
bTXu03,brXuo03,0,0.7692307692307693,0.7692307692307693
Soky,s0ky,0,0.5,0.75
jAXmg0C8,jAXm80C8,0,0.875,0.875
f20SU8wLq,f20Scs8zLq,0,0.7368421052631579,0.7368421052631579
4oaWXB,OawXB,0,0.5454545454545454,0.9090909090909091
r9aq86f,r9a986f,0,0.8571428571428571,0.8571428571428571
S2cfpbVY,s2cfpdyY,0,0.625,0.75
KQ5Ao,KQ5A0,0,0.8,0.8
5fb0DdICz,5fb0DqCz,0,0.8235294117647058,0.8235294117647058
bXs3Gvw,b+s3GLw,0,0.7142857142857143,0.7142857142857143
ivl17vEAhr,iMVEAr,0,0.5,0.625
SIbw2QT,S1bw2QT,0,0.8571428571428571,0.8571428571428571
EfKNI,EfK7,0,0.6666666666666666,0.6666666666666666
oXltLEgpD,Ox1KEg,0,0.26666666666666666,0.5333333333333333
TXI3OGuNrA,TX\30GUnrA,0,0.6,0.8
RDaeDXieyE,RdaepXieyz,0,0.7,0.8
AxI13b,Ax/3b,0,0.7272727272727273,0.7272727272727273
oxG0er,0xG0er,0,0.8333333333333334,0.8333333333333334
k5cn,k5Cn,0,0.75,1.0
JxR15USt9,4RI3st9,0,0.375,0.5
Of3ERv9P,OBERV9p,0,0.5333333333333333,0.8
Bb8cAqu,BB8CAQU,0,0.42857142857142855,1.0
R0RVsoI,R0RvSOl,0,0.42857142857142855,0.8571428571428571
6IQvxSC,6IQvXSC,0,0.8571428571428571,1.0
yMHvKwqz,YMWKWa2,0,0.26666666666666666,0.5333333333333333
l39QcBMO,B9QCSM0,0,0.4,0.5333333333333333
norJ,norJ,1,1.0,1.0
TtnY,TtnyY,0,0.8888888888888888,0.8888888888888888
nDnC,nDnc,0,0.75,1.0
Y6kez0,>0,0,0.25,0.25
a6T2dL8ALw,a62d68Aw,0,0.7777777777777778,0.7777777777777778
Soky,s0ky,0,0.5,0.75
w34empDx,437emppD1,0,0.5882352941176471,0.5882352941176471
WHXlb,WxALB,0,0.2,0.8
F0HA,F0HA,1,1.0,1.0
FknWp,FknWp,1,1.0,1.0
oAxRGkU,oAxRGku,0,0.8571428571428571,1.0
Myn4oMVt,MyN4qwkt,0,0.5,0.625
c8t2SeOe,c8Kseoe,0,0.5333333333333333,0.8
SKUzX,sKUzX,0,0.8,1.0
ucs5Czr5q1,ucS5cx5q1,0,0.631578947368421,0.8421052631578947
0SFBxC,0SfBxC,0,0.8333333333333334,1.0
bK7M09o0j,bK7M09o0j,1,1.0,1.0
S2cfpbVY,s2cfpdYY,0,0.625,0.75
EKCTxLB,EKCTXLB,0,0.8571428571428571,1.0
dYHHgRYM,DYhHGRyM,0,0.5,1.0
7ChQ0u,7HAoU,0,0.18181818181818182,0.5454545454545454
FXZPRq1o,FtzPRa1O,0,0.5,0.75
y0TQJM,y0T@JM,0,0.8333333333333334,0.8333333333333334
we36D,We36D,0,0.8,1.0
lWDOyI,1wDOyl,0,0.5,0.6666666666666666
qYwFVpl,qYWAWV9,0,0.42857142857142855,0.5714285714285714
M5qbW,M5qbw,0,0.8,1.0
FXZPRq1o,F+zPR^1O,0,0.5,0.75
AQXF,aQF,0,0.5714285714285714,0.8571428571428571
xD1R2SVh1y,x0JR2SVhy,0,0.7368421052631579,0.7368421052631579
AKSpZ2,Aks2,0,0.4,0.8
7ZumqX,74umqx,0,0.6666666666666666,0.8333333333333334
mNgzV6Q,MWGZv6c,0,0.14285714285714285,0.7142857142857143
uyfZUKtHj,ayUtHj,0,0.6666666666666666,0.5333333333333333
gRSl519HgP,gRS/519HgP,0,0.9,0.9
fRY9yKYF,fR9ykYF,0,0.8,0.9333333333333333
lGil1,Gyl1,0,0.6666666666666666,0.6666666666666666
OxxL2F56,QxHl2F56,0,0.625,0.75
qBoG,cBOG,0,0.5,0.75
Gj9fY,Gj9fY,1,1.0,1.0
vlKzCC,vLkZcc,0,0.16666666666666666,1.0
QfcX226NZ,QxCX2v6Nz,0,0.5555555555555556,0.7777777777777778
OinJ5bmK8t,OiBny8t,0,0.5882352941176471,0.5882352941176471
5IrOQqj8J,5ArOoQq;8J,0,0.7368421052631579,0.7368421052631579
gKLZ,gKlz,0,0.5,1.0
w98Lg,w98Lg,1,1.0,1.0
DCfYiR,DCfNiR,0,0.8333333333333334,0.8333333333333334
OeC09hON,OEco960N,0,0.375,0.625
dV2yg,dVg,0,0.75,0.75
W1fC67,W1fC6,0,0.9090909090909091,0.9090909090909091
YNRiSMw,YARISMV,0,0.5714285714285714,0.7142857142857143
BMurbive,BMurbive,1,1.0,1.0
zAsXBe,ZAsXBe,0,0.8333333333333334,1.0
xpNVsXW,xPNVSxW,0,0.5714285714285714,1.0
EKCTxLB,EKcTXLB,0,0.7142857142857143,1.0
4ijSA9o,4ijsA9O,0,0.7142857142857143,1.0
5LLdA,5VLdqA,0,0.7272727272727273,0.7272727272727273
I40D,I40D,1,1.0,1.0
sVAmB,sVAmB,1,1.0,1.0
RjGR,RjGR,1,1.0,1.0
D6tefAp,D6tefAp,1,1.0,1.0
l39QcBMO,9QC8MO,0,0.5714285714285714,0.7142857142857143
vaGqEIg,VaGqEIg,0,0.8571428571428571,1.0
Bb8cAqu,BB8CAQU,0,0.42857142857142855,1.0
SHUGDrU90,SHUGDrUg0,0,0.8888888888888888,0.8888888888888888
TvhIk,Tvh^K,0,0.6,0.8
D5TIh,D5T/h,0,0.8,0.8
kOqJDq,kO9\dq,0,0.5,0.6666666666666666
05Uj9uC3GB,05wj9Uc3GB,0,0.7,0.9
ZlB42D9cV1,V842D9cV,0,0.6666666666666666,0.6666666666666666
1sarItn2,rqScrIrtxn2,0,0.5263157894736842,0.631578947368421
oxG0er,0xG0er,0,0.8333333333333334,0.8333333333333334
66LY,6LY,0,0.8571428571428571,0.8571428571428571
GFA8L,GFA8L,1,1.0,1.0
N767,N167,0,0.75,0.75
xxAzeB,xXA2eB,0,0.6666666666666666,0.8333333333333334
lFT6N1C,zFbN1C,0,0.6153846153846154,0.6153846153846154
iqkE,iqkE,1,1.0,1.0
r8wjiXal,rsWjXa,0,0.5714285714285714,0.7142857142857143
XrLB9KJzC,xrLB9KJ4C,0,0.7777777777777778,0.8888888888888888
bqaiG,bqaiG,1,1.0,1.0
Yfdqj,Jf dqj,0,0.7272727272727273,0.7272727272727273
