Actual Solution,Predicted Solution,Result,Similarity,Similarity (Non Case-Sensitive)
H2b7a,H2b1a,0,0.8,0.8
hbcT14vvX,hbCt14vVx,0,0.5555555555555556,1.0
IAI9mPJB,b pjb,0,0.0,0.46153846153846156
gHrCGciy,ghrcgcicy,0,0.5882352941176471,0.9411764705882353
eJOj,eJoy,0,0.5,0.75
ucou,UCOU.,0,0.0,0.8888888888888888
Z7rdXSf,z7rdXSf,0,0.8571428571428571,1.0
iNKK6,nKk6,0,0.4444444444444444,0.8888888888888888
nOuf0jcU,nOCU,0,0.5,0.6666666666666666
zy5eLND7,zyseLNd7,0,0.75,0.875
yGlaBCHgE,yGlaBC Hoe,0,0.7368421052631579,0.8421052631578947
noMGFfGGn,gfngn,0,0.2857142857142857,0.5714285714285714
cm26Lpl,CMN6LPL,0,0.2857142857142857,0.8571428571428571
rpZuq,pzuq,0,0.6666666666666666,0.8888888888888888
AI5SKORZ,AISORZ,0,0.8571428571428571,0.8571428571428571
Yjya,YMJN,0,0.25,0.5
W34C,w34c,0,0.5,1.0
HWEM,emm,0,0.0,0.5714285714285714
KIKfW,akIkrW,0,0.36363636363636365,0.7272727272727273
7oJWqJ9y,9jw9J9y7,0,0.375,0.625
fUDBq,rqdbq,0,0.2,0.6
0eWWN,OEWWN,0,0.6,0.8
aPOG,aPOG,1,1.0,1.0
YNBK,ynbk,0,0.0,1.0
kio89Og,kl0890g,0,0.5714285714285714,0.5714285714285714
Pw0Sw,Sw,0,0.5714285714285714,0.5714285714285714
caF8S,cafos,0,0.4,0.8
hs2l2x0,H302L2X0,0,0.4,0.8
YUdn0N,yudzon,0,0.3333333333333333,0.6666666666666666
VcbVJ,lcbv,0,0.4444444444444444,0.6666666666666666
1VJ9if6,$\sqrt{9}+6$,0,0.21052631578947367,0.21052631578947367
41QMF2Zult,4qF2zuI9A29,0,0.38095238095238093,0.5714285714285714
9R6msuX62q,9R6mSW6z9,0,0.5263157894736842,0.631578947368421
upyb0,upyso,0,0.6,0.6
OG0YNh,sorwh,0,0.18181818181818182,0.36363636363636365
UXNa2,nan,0,0.25,0.5
OcP7fLQs,opc7o5,0,0.2857142857142857,0.42857142857142855
EAYN,EAYN,1,1.0,1.0
FXAF,STATE,0,0.2222222222222222,0.2222222222222222
cro73q85,cro>3985,0,0.75,0.75
tmdlT0OO,dmndmoo,0,0.26666666666666666,0.5333333333333333
ZOSeO2,Zoseq,0,0.36363636363636365,0.7272727272727273
CCEW,OBENNER,0,0.18181818181818182,0.18181818181818182
ITOy2,I^OY^2,0,0.5454545454545454,0.7272727272727273
Krbs,Kr3S.,0,0.4444444444444444,0.6666666666666666
vVgEpt,vget,0,0.6,0.8
Cqgq,cagq,0,0.5,0.75
x3MVb2Zf,MfZfZr,0,0.42857142857142855,0.42857142857142855
h05GZvXI,7GvX1.,0,0.42857142857142855,0.42857142857142855
Q7NTp7,Q7NTp7,1,1.0,1.0
TJPD,lji3q3v2wb13c0JurzH7JYQYJowPMAelIYWxY5XiP,0,0.08888888888888889,0.08888888888888889
yWXX3,ywx3,0,0.4444444444444444,0.8888888888888888
1rgvLjuC16,dvluCa6,0,0.47058823529411764,0.5882352941176471
J9KK,j9kk,0,0.25,1.0
X6Zz10p6,6Sz10Y,0,0.5714285714285714,0.5714285714285714
572X,572x,0,0.75,1.0
G8JM,G8M,0,0.8571428571428571,0.8571428571428571
UWTB,A978Q,0,0.0,0.0
LOL6,9a6,0,0.2857142857142857,0.2857142857142857
60XpzNQUJ2,6OXRZNQR2,0,0.5263157894736842,0.631578947368421
eU4AV,euaav,0,0.2,0.8
WVCB,wVB-,0,0.5,0.75
SCi9DtkH,SCI9DT4H,0,0.625,0.875
HJM7,hm7,0,0.2857142857142857,0.8571428571428571
GFhoRz,gfhorz,0,0.5,1.0
cqpxw,cqrw,0,0.6666666666666666,0.6666666666666666
1xqzfSeRo,YXqztsERO,0,0.3333333333333333,0.7777777777777778
T4sHv1Ks,ashlvns,0,0.4,0.5333333333333333
7NAZ,7NAE,0,0.75,0.75
XcpFwQ,HCPFWQ,0,0.3333333333333333,0.8333333333333334
WSCQ,wsCq,0,0.25,1.0
