Actual Solution,Predicted Solution,Result,Similarity,Similarity (Non Case-Sensitive)
OiC5u3Ka,oiC52K3a,0,0.625,0.75
ENC78,A NC8 ,0,0.5454545454545454,0.5454545454545454
yIy2FAJFiv,y2F2FAJFiv,0,0.8,0.8
H8VA,h8V4A,0,0.6666666666666666,0.8888888888888888
BYVM,BYVM,1,1.0,1.0
Vl3E,V13E,0,0.75,0.75
yzRN8,yZRn8,0,0.6,1.0
ejh5m,ej15n,0,0.6,0.6
83ykZ5YqUB,83yKz5YqUB,0,0.8,1.0
RT6T,RT6T,1,1.0,1.0
hybu,hyvu,0,0.75,0.75
nZafmVaRH,nzamvah,0,0.5,0.875
X5ZK,x5zK,0,0.5,1.0
H1QPwjjJ,HVQpWjJjJ,0,0.47058823529411764,0.8235294117647058
2yqaZI,2yqaZl,0,0.8333333333333334,0.8333333333333334
BQgptvK,BQgxpXVK,0,0.6666666666666666,0.8
Wmts,wmtS,0,0.5,1.0
UHHQ,vHQ,0,0.5714285714285714,0.5714285714285714
VRATH,NR4TH,0,0.6,0.6
nYxu5,nVy+U5,0,0.36363636363636365,0.7272727272727273
duHlxe,DuHLX	,0,0.3333333333333333,0.8333333333333334
hTzIdfgdOJ,hrzvLdgdOJ,0,0.7,0.7
JNRY,JNRY,1,1.0,1.0
kY53,ky ,0,0.2857142857142857,0.5714285714285714
ZOlE,lQE,0,0.5714285714285714,0.5714285714285714
CFE3,CFE3,1,1.0,1.0
Z6rXzu,z6r*u,0,0.5454545454545454,0.7272727272727273
Lq5bS,L^5bs,0,0.6,0.8
wftaC,wftac,0,0.8,1.0
SQTV,wD3D,0,0.0,0.0
3ARrycl,3A r a C,0,0.4,0.5333333333333333
hznQ2F,hznQ2F,1,1.0,1.0
5VN4,5VN4,1,1.0,1.0
Yh9oCB,"Kj
A
```",0,0.0,0.0
BrniC,BxnIC,0,0.6,0.8
85AH,85AH,1,1.0,1.0
i2hUbvyxR,12hUb,0,0.5714285714285714,0.5714285714285714
LLNab,LLNab,1,1.0,1.0
PgJ2,pgl2,0,0.5,0.75
wtkav2vv2,wtka2vV,0,0.75,0.875
xFRiumdcZ,xRiuidZ,0,0.75,0.75
CZ7VY,"CZA
czxY",0,0.46153846153846156,0.46153846153846156
Azf8Z,A7f8Z,0,0.8,0.8
Fahxvt,Fah+Vft,0,0.6153846153846154,0.7692307692307693
SdWI51J,sdW5I4J,0,0.5714285714285714,0.7142857142857143
SYozvl5xO,sYzLx0,0,0.4,0.6666666666666666
MNYM,NNNN,0,0.25,0.25
UD5V,UD5V,1,1.0,1.0
mVfN,"wvA, wvA, mWAN",0,0.2222222222222222,0.2222222222222222
rC5dAVFQ,rc5C5dAVFQ,0,0.8888888888888888,0.8888888888888888
YCRO,XGGaLO,0,0.2,0.2
7G7AE,7G7AE,1,1.0,1.0
3GEPQF2,3GEPA.,0,0.6153846153846154,0.6153846153846154
UNy8JIpw8,UN8rB0H8,0,0.47058823529411764,0.47058823529411764
Hs4x39,HS4+t39,0,0.6153846153846154,0.7692307692307693
VhD1bNu,vHD7bNuU,0,0.5333333333333333,0.8
9Uj0,9U\.o,0,0.4444444444444444,0.4444444444444444
2Y6k,2Y6k,1,1.0,1.0
CEN8,CEN8,1,1.0,1.0
S98MzR3,S9%M>R-3,0,0.6666666666666666,0.6666666666666666
uRveK,wveK,0,0.6666666666666666,0.6666666666666666
S7LvWnRZ,sTVWzR,0,0.2857142857142857,0.5714285714285714
JIILSp,J/IVSp,0,0.6666666666666666,0.6666666666666666
KE3vnXd,kE3Vnxd,0,0.5714285714285714,1.0
PggRB,pgsoR8B,0,0.5,0.6666666666666666
KDVJ,CpDk2J,0,0.4,0.4
j7t2bzGK,jIrzb2G K,0,0.47058823529411764,0.47058823529411764
XW4yW,X-N4yW,0,0.7272727272727273,0.7272727272727273
YXRD,"Yh 
X9zld
```",0,0.23529411764705882,0.35294117647058826
fKzvf,FkZwF,0,0.0,0.8
kkAfu,kA text.,0,0.3076923076923077,0.3076923076923077
gNeG,gvNEG,0,0.6666666666666666,0.8888888888888888
RvvbJ7,RV2DJ,0,0.36363636363636365,0.5454545454545454
cQmay5FG,cQmaAay5FG,0,0.8888888888888888,0.8888888888888888
1tckO4R,19Cz4R,0,0.46153846153846156,0.6153846153846154
4na19I0,4W A 19 w lO ,0,0.3,0.4
eJ88qY,ej88qY,0,0.8333333333333334,1.0
kuqdE,kug9dE,0,0.7272727272727273,0.7272727272727273
nPKR,nrR,0,0.5714285714285714,0.5714285714285714
X8mg,+8mg,0,0.75,0.75
EG84,EG8A,0,0.75,0.75
m7WcainRa,m7Wczca/nRa,0,0.8,0.8
AAEpg,A AEpg,0,0.9090909090909091,0.9090909090909091
h6tnpzy1,h6tnpZ.M,0,0.625,0.75
1pS1SNwQ,"lPS/S
SNwQ",0,0.5555555555555556,0.6666666666666666
PkRo1bnn,pkR Qlb hn,0,0.4444444444444444,0.5555555555555556
BbxN6h,BbxX6h,0,0.8333333333333334,0.8333333333333334
KKpojbkW,Kkpoibk^,0,0.625,0.75
eswyr,esSwYr,0,0.7272727272727273,0.9090909090909091
s76V,s76v,0,0.75,1.0
H78hczN7,H18%C2Nz7,0,0.23529411764705882,0.23529411764705882
CR63,CR63,1,1.0,1.0
rQFe,rOF,0,0.5714285714285714,0.5714285714285714
znduWBOEh,znaw,0,0.3076923076923077,0.46153846153846156
rc8G3EZ,rc8G.,0,0.6666666666666666,0.6666666666666666
KQSW6,KQS,0,0.75,0.75
s2xo,S2X0,0,0.25,0.75
GQ4eDrM6,"G24eD,M6",0,0.75,0.75
WXUQ,wkAO,0,0.0,0.25
hyL1a,h1a,0,0.75,0.75
WI2HlKtzZb,wDHkZ1b,0,0.35294117647058826,0.5882352941176471
aWyd,aWyd,1,1.0,1.0
E2YQ,E2YQ,1,1.0,1.0
18ZS,187S,0,0.75,0.75
tiIpE,xE,0,0.2857142857142857,0.2857142857142857
sWiKLmwP,sWixLmWp,0,0.625,0.875
vWJTOS,vwhTOs,0,0.5,0.8333333333333334
h6xuu1sw,hotu1Sw,0,0.5333333333333333,0.6666666666666666
Mq6Dz,M96DZ,0,0.6,0.8
f89f6PaF35,"f89p@d
paATe35",0,0.5,0.5833333333333334
qr4BN,ar4BN,0,0.8,0.8
wfcRG,WfRG,0,0.6666666666666666,0.8888888888888888
aL8grEV,al8grL,0,0.6153846153846154,0.7692307692307693
JQex,JQlert,0,0.6,0.6
y0TQJM,yO@QjM,0,0.5,0.6666666666666666
v6ZP,26Zp,0,0.5,0.75
NDYQ,NDYQ?Q,0,0.8,0.8
VCDA70848,vCDA1>084d,0,0.631578947368421,0.7368421052631579
qjQglhG28,qPg\hG28,0,0.7058823529411765,0.7058823529411765
G914K,G9d4K,0,0.8,0.8
WsW37eLln,WSw37el1,0,0.5882352941176471,0.8235294117647058
